date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2005-02-28,42.1100,43.7800,41.0400,43.6100,8.7220,2051300,0.0000
2005-03-31,43.3700,44.6900,42.4100,42.8800,8.5760,1612900,0.0000
2005-04-29,42.6200,43.7300,42.1400,43.4300,8.6860,854300,0.0000
2005-05-31,43.1800,43.2000,41.3800,41.6900,8.3380,606500,0.0000
2005-06-30,41.3900,44.1600,41.3900,43.4600,8.6920,886000,0.0000
2005-07-29,43.3900,43.3900,41.7700,42.8900,8.5780,1383600,0.0000
2005-08-31,43.1200,44.6900,42.8600,43.4300,8.6860,1473600,0.0000
2005-09-30,43.9800,47.2600,43.9400,46.8000,9.3600,1834200,0.0000
2005-10-31,46.6800,47.9000,45.8701,46.4700,9.2940,2101900,0.0000
2005-11-30,46.1400,49.9300,45.3700,49.1400,9.8280,1629100,0.0000
2005-12-30,49.7200,53.7800,48.8201,51.7280,10.3456,3191700,0.0000
2006-01-31,52.3600,57.1200,52.1900,56.7900,11.3580,4047700,0.0000
2006-02-28,56.9100,57.3500,53.4300,56.0500,11.2100,3545800,0.0000
2006-03-31,56.1700,58.7599,53.2300,58.2300,11.6460,3019600,0.0000
2006-04-28,58.5700,65.3300,58.1500,65.1800,13.0360,3263100,0.0000
2006-05-31,65.9500,72.3200,63.2500,64.2000,12.8400,7035400,0.0000
2006-06-30,62.6000,65.3400,55.0600,61.2300,12.2460,5627500,0.0000
2006-07-31,62.2500,66.4900,59.9000,63.2600,12.6520,3725000,0.0000
2006-08-31,63.2800,65.2700,60.3800,62.3200,12.4640,2926300,0.0000
2006-09-29,61.9900,63.6900,56.7000,59.5200,11.9040,3991500,0.0000
2006-10-31,59.8000,60.6200,55.6000,60.1300,12.0260,3013800,0.0000
2006-11-30,61.0900,64.4600,60.7400,64.4200,12.8840,3611500,0.0000
2006-12-29,64.3000,64.6400,60.7500,63.2500,12.6500,3263900,0.0000
2007-01-31,63.7600,64.9800,59.7000,64.8500,12.9700,3661100,0.0000
2007-02-28,65.4400,68.3300,63.8500,66.5400,13.3080,2850000,0.0000
2007-03-30,66.6500,66.6900,62.7800,65.8300,13.1660,2511000,0.0000
2007-04-30,65.4300,68.7600,65.0900,67.2000,13.4400,2099300,0.0000
2007-05-31,66.8500,68.4600,64.5800,65.5900,13.1180,2632100,0.0000
2007-06-29,66.1500,66.9000,63.4081,64.4100,12.8820,1949800,0.0000
2007-07-31,64.9200,68.0000,63.9800,65.9100,13.1820,2186800,0.0000
2007-08-31,65.9100,67.2000,63.5300,66.6360,13.3272,3436300,0.0000
2007-09-28,66.8101,73.8799,66.8101,73.6300,14.7260,4121000,0.0000
2007-10-31,73.6200,78.9500,71.4500,78.6000,15.7200,4160700,0.0000
2007-11-30,78.0600,85.0000,76.6500,77.4900,15.4980,6481200,0.0000
2007-12-31,77.4500,83.1000,77.4100,82.4500,16.4900,2661000,0.0000
2008-01-31,83.6700,92.6300,83.5500,91.5000,18.3000,8763300,0.0000
2008-02-29,91.9600,96.3600,87.4000,96.3600,19.2720,5471600,0.0000
2008-03-31,97.2960,100.4800,88.3100,90.6700,18.1340,11844200,0.0000
2008-04-30,88.0600,93.7400,85.1400,86.4900,17.2980,8450000,0.0000
2008-05-30,84.3500,92.0400,83.5640,87.4700,17.4940,6859900,0.0000
2008-06-30,87.5100,91.9500,84.8600,91.2300,18.2460,5999100,0.0000
2008-07-31,92.8000,97.5600,88.1701,90.1200,18.0240,7911900,0.0000
2008-08-29,89.5500,90.5000,76.6623,81.9700,16.3940,7139900,0.0000
2008-09-30,78.2400,91.2430,72.5800,85.4700,17.0940,14500600,0.0000
2008-10-31,86.3100,91.0000,69.1200,71.5800,14.3160,20216700,0.0000
2008-11-28,71.5500,81.7600,68.9000,80.3400,16.0680,11882400,0.0000
2008-12-31,77.2300,87.1300,72.9600,86.6600,17.3320,10601000,0.0000
2009-01-30,86.0700,91.5100,78.9400,91.3600,18.2720,12837100,0.0000
2009-02-27,89.9700,99.0600,87.5310,92.6600,18.5320,19300900,0.0000
2009-03-31,93.5000,94.7300,86.9400,90.3900,18.0780,17034800,0.0000
2009-04-30,91.4300,91.4400,85.0200,87.3400,17.4680,7165700,0.0000
2009-05-29,86.8600,96.3900,86.7920,96.2800,19.2560,7969100,0.0000
2009-06-30,96.6000,97.0300,90.0500,91.2500,18.2500,8281100,0.0000
2009-07-31,92.3700,94.0800,88.9448,93.5000,18.7000,6008100,0.0000
2009-08-31,94.2500,95.2900,91.3700,93.4500,18.6900,4623800,0.0000
2009-09-30,93.4700,100.1300,93.1600,98.9300,19.7860,5939900,0.0000
2009-10-30,98.9200,104.7600,97.8200,102.6700,20.5340,8562400,0.0000
2009-11-30,103.5800,117.0000,103.3100,115.7400,23.1480,7354800,0.0000
2009-12-31,117.3800,119.5800,105.3800,107.3700,21.4740,10631200,0.0000
2010-01-29,109.8900,113.6300,105.2700,106.0200,21.2040,5051000,0.0000
2010-02-26,106.6100,110.3900,102.3300,109.4600,21.8920,5811000,0.0000
2010-03-31,109.5700,112.2400,106.3201,109.0300,21.8060,2885800,0.0000
2010-04-30,110.0100,115.7800,110.0100,115.4200,23.0840,4902400,0.0000
2010-05-28,116.0100,122.2960,113.4000,118.8900,23.7780,8703200,0.0000
2010-06-30,119.9700,123.5600,12.0100,12.1700,24.3400,15809500,0.0000
2010-07-30,12.1000,12.1100,11.3200,11.5600,23.1200,77075100,0.0000
2010-08-31,11.6300,12.2300,11.5300,12.2200,24.4400,61661800,0.0000
2010-09-30,12.2300,12.8400,12.1300,12.8000,25.6000,62360800,0.0000
2010-10-29,12.8900,13.5000,12.8400,13.2800,26.5600,81236400,0.0000
2010-11-30,13.3100,13.9300,12.9600,13.5600,27.1200,96190000,0.0000
2010-12-31,13.5900,13.9700,13.3000,13.9000,27.8000,101033100,0.0000
2011-01-31,13.8800,13.9200,12.8000,13.0100,26.0200,130184500,0.0000
2011-02-28,13.0600,13.8500,12.9500,13.7900,27.5800,93440600,0.0000
2011-03-31,13.8800,14.1500,13.5500,14.0200,28.0400,101908600,0.0000
2011-04-29,13.9000,15.3300,13.8090,15.2700,30.5400,106791100,0.0000
2011-05-31,15.1800,15.3900,14.2800,14.9900,29.9800,127817300,0.0000
2011-06-30,15.0000,15.5920,14.5500,14.6400,29.2800,101253500,0.0000
2011-07-29,14.5300,15.9500,14.4300,15.8700,31.7400,166593600,0.0000
2011-08-31,15.7900,18.5285,15.7131,17.8200,35.6400,405105100,0.0000
2011-09-30,17.7900,18.6300,15.4500,15.8300,31.6600,284562500,0.0000
2011-10-31,16.1400,17.0700,15.5600,16.7700,33.5400,134446900,0.0000
2011-11-30,16.4500,17.5900,16.2500,17.0600,34.1200,120102700,0.0000
2011-12-30,17.0300,17.1300,14.8700,15.2300,30.4600,139063000,0.0000
2012-01-31,15.5100,17.0400,15.5000,16.9800,33.9600,125108100,0.0000
2012-02-29,17.0300,17.4600,16.4500,16.4800,32.9600,130596700,0.0000
2012-03-30,16.6700,16.8250,15.8600,16.2700,32.5400,147977700,0.0000
2012-04-30,16.2400,16.4100,15.7100,16.2300,32.4600,89760400,0.0000
2012-05-31,16.2700,16.2700,14.9100,15.2100,30.4200,135500600,0.0000
2012-06-29,15.5900,15.9800,15.0700,15.5600,31.1200,119402700,0.0000
2012-07-31,15.5300,15.8510,15.1400,15.7200,31.4400,72547400,0.0000
2012-08-31,15.5800,16.4900,15.4200,16.4800,32.9600,122267000,0.0000
2012-09-28,16.4900,17.3900,16.4300,17.2700,34.5400,180488400,0.0000
2012-10-31,17.3600,17.4800,16.5300,16.7600,33.5200,135650900,0.0000
