ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-02-27,2026-01-20,2026-02-27,2026-03-13,0.08
2025-12-01,2025-10-16,2025-12-01,2025-12-12,0.08
2025-08-29,,,,0.08
2025-05-30,2025-04-14,2025-05-30,2025-06-13,0.32
2025-02-28,2025-01-21,2025-02-28,2025-03-14,0.25
2024-11-29,2024-10-15,2024-11-29,2024-12-13,0.25
2024-08-30,2024-07-16,2024-08-30,2024-09-13,0.25
2024-05-31,2024-04-16,2024-05-31,2024-06-14,0.25
2024-02-29,2024-01-16,2024-03-01,2024-03-14,0.1
2023-11-30,2023-10-17,2023-12-01,2023-12-14,0.1
2023-08-31,2023-07-18,2023-09-01,2023-09-14,0.1
2023-05-31,2023-04-18,2023-06-01,2023-06-14,0.1
2023-02-28,2023-01-17,2023-03-01,2023-03-14,0.1
2022-11-30,2022-10-18,2022-12-01,2022-12-14,0.1
2022-08-31,2022-07-19,2022-09-01,2022-09-14,0.1
2022-05-31,2022-04-19,2022-06-01,2022-06-14,0.1
2022-02-28,2022-01-18,2022-03-01,2022-03-14,0.1
2021-11-30,2021-10-19,2021-12-01,2021-12-14,0.1
2021-08-31,2021-07-20,2021-09-01,2021-09-14,0.1
2021-05-28,,,,0.1
2021-02-26,2021-01-19,2021-03-01,2021-03-12,0.1
2020-11-30,2020-10-20,2020-12-01,2020-12-14,0.1
2020-08-31,2020-07-21,2020-09-01,2020-09-14,0.1
2020-05-29,,,,0.1
2020-02-27,,,,0.1
2019-11-27,,,,0.1
2019-08-29,,,,0.1
2019-05-30,,,,0.1
2019-02-28,,,,0.1
2018-11-29,,,,0.1
2018-08-30,,,,0.1
2018-05-31,,,,0.1
2018-02-28,,,,0.1
2017-11-30,,,,0.1
2017-08-30,,,,0.1
2017-05-30,,,,0.1
2017-02-27,,,,0.1
2016-11-29,,,,0.1
2016-08-30,,,,0.1
2016-05-27,,,,0.1
2016-02-26,,,,0.1
2015-11-27,,,,0.1
2015-08-28,,,,0.1
2015-05-28,,,,0.1
2015-02-25,,,,0.1
2014-11-26,,,,0.1
2014-08-27,,,,0.1
2014-05-28,,,,0.1
2014-02-26,,,,0.1
2013-11-26,,,,0.1
2013-08-28,,,,0.1
2013-05-29,,,,0.1
2013-02-27,,,,0.1
2012-12-19,,,,1.0
2012-11-28,,,,0.1
2012-08-29,,,,0.1
2012-05-30,,,,0.1
2012-02-28,,,,0.1
2011-11-29,,,,0.1
2011-08-30,,,,0.1
2011-05-25,,,,0.1
2010-12-07,,,,1.79
