date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2007-06-29,25.7500,29.0500,25.5200,27.1300,4.8491,16400200,0.0000
2007-07-31,27.2100,27.4000,21.0000,24.2800,4.3397,15879200,0.0000
2007-08-31,24.6100,27.1800,22.3900,26.7600,4.7830,14385800,0.0000
2007-09-28,26.7000,27.9900,25.2600,26.2600,4.6936,6270600,0.0000
2007-10-31,26.1100,32.5600,26.1100,28.8700,5.1602,16503700,0.0000
2007-11-30,28.5200,30.0600,26.8300,29.4000,5.2549,16352100,0.0000
2007-12-31,29.4000,33.3600,29.2100,32.3200,5.7768,13866900,0.0000
2008-01-31,32.4000,35.0000,29.7500,34.8100,6.2219,25394200,0.0000
2008-02-29,34.8000,35.9300,30.8500,31.0700,5.5534,18757100,0.0000
2008-03-31,31.1800,32.9900,20.2500,25.6700,4.5882,33494700,0.0000
2008-04-30,26.1000,32.1400,25.6500,31.5700,5.6427,17292700,0.0000
2008-05-30,31.4900,33.4200,29.6600,32.5700,5.8215,14368100,0.0000
2008-06-30,32.5800,35.2700,31.6100,32.1300,5.7428,12410600,0.0000
2008-07-31,31.9600,34.9300,24.7900,28.0600,5.0154,28945000,0.0000
2008-08-29,28.0000,29.5200,26.1000,27.3000,4.8795,14393800,0.0000
2008-09-30,27.7600,27.8500,18.3300,22.1700,3.9626,26884300,0.0000
2008-10-31,22.7100,24.4700,17.3300,21.3700,3.8196,18136800,0.0000
2008-11-28,21.1100,23.1100,12.7200,18.2400,3.2602,16712700,0.0000
2008-12-31,18.1000,19.1400,15.2800,17.8900,3.1976,10238200,0.0000
2009-01-30,18.1500,19.7100,15.0600,15.2700,2.7293,12222900,0.0000
2009-02-27,15.1000,16.1000,13.9500,14.0500,2.5113,10565300,0.0000
2009-03-31,13.9100,17.2900,12.6800,16.1300,2.8830,13745400,0.0000
2009-04-30,16.0400,17.5800,13.4800,14.7500,2.6364,22142700,0.0000
2009-05-29,14.7500,15.9200,14.0200,14.8700,2.6578,13389300,0.0000
2009-06-30,15.0100,15.7700,14.2700,15.5300,2.7758,18259000,0.0000
2009-07-31,15.5200,19.0300,14.8100,18.7900,3.3585,22810300,0.0000
2009-08-31,18.9400,20.4800,18.3300,18.9800,3.3924,7985500,0.0000
2009-09-30,19.1000,20.3700,17.6300,19.8700,3.5515,8670500,0.0000
2009-10-30,19.9400,20.9900,15.8600,16.0100,2.8616,12998900,0.0000
2009-11-30,16.0500,17.5500,15.9500,16.9300,3.0260,8281400,0.0000
2009-12-31,17.0000,18.0400,16.9600,17.7200,3.1672,6655700,0.0000
2010-01-29,17.8500,17.9200,15.3200,15.9000,2.8419,11526800,0.0000
2010-02-26,16.0200,17.4100,15.8100,17.2300,3.0796,7671800,0.0000
2010-03-31,17.2300,17.5000,15.8700,16.1500,2.8866,6069200,0.0000
2010-04-30,16.2300,17.2800,15.7500,17.1500,3.0653,7702000,0.0000
2010-05-28,17.2700,17.6500,16.0800,16.7700,2.9974,8955300,0.0000
2010-06-30,16.6500,17.8500,16.4500,16.6000,2.9670,8020200,0.0000
2010-07-30,16.5700,18.2900,16.2200,16.5500,2.9581,17379200,0.0000
2010-08-31,16.5700,17.1200,15.7600,16.1900,2.8938,5762800,0.0000
2010-09-30,16.3000,17.4800,16.2100,17.2100,3.0761,4822200,0.0000
2010-10-29,17.2500,18.9400,16.7600,18.7200,3.3460,7007700,0.0000
2010-11-30,18.8200,19.1900,17.4300,18.3100,3.2727,9179000,0.0000
2010-12-31,18.5100,19.4900,16.9200,17.8200,3.5124,9402400,1.7900
2011-01-31,17.8400,18.3300,16.1300,16.1700,3.1872,8318700,0.0000
2011-02-28,16.2600,16.4700,15.2300,15.4500,3.0453,6898700,0.0000
2011-03-31,15.4900,16.2600,15.3000,15.8900,3.1320,8345800,0.0000
2011-04-29,16.0000,17.6100,15.5900,17.5400,3.4572,12554800,0.0000
2011-05-31,17.5800,17.7200,16.3500,17.1600,3.4028,8502100,0.1000
2011-06-30,17.1200,17.2000,14.9800,15.6500,3.1034,10488000,0.0000
2011-07-29,15.6300,16.2000,14.9700,15.1400,3.0022,9890200,0.0000
2011-08-31,15.2800,15.3700,13.0000,15.0100,2.9965,18733800,0.1000
2011-09-30,15.0400,15.0500,13.7400,13.9300,2.7809,14366300,0.0000
2011-10-31,13.8800,16.4200,13.0000,15.3800,3.0703,16729700,0.0000
2011-11-30,15.4900,15.5600,14.0500,14.8700,2.9888,11672600,0.1000
2011-12-30,14.8000,15.2200,14.3800,14.9400,3.0029,8332000,0.0000
2012-01-31,15.1400,16.0600,14.8000,15.1200,3.0390,10361200,0.0000
2012-02-29,15.1900,16.2800,15.0600,15.8600,3.2078,8702200,0.1000
2012-03-30,15.9100,17.4400,15.7100,17.0000,3.4384,9575000,0.0000
2012-04-30,17.0400,17.4900,14.7700,15.1700,3.0682,12031300,0.0000
2012-05-31,15.2100,15.2500,14.0000,14.2600,2.9045,10676300,0.1000
2012-06-29,14.1600,14.8700,13.9600,14.7200,2.9982,5986700,0.0000
2012-07-31,14.7300,14.7700,13.0100,13.8500,2.8210,9403300,0.0000
2012-08-31,13.9700,13.9900,13.2000,13.8200,2.8354,6750900,0.1000
2012-09-28,13.8300,14.5800,13.6900,14.0200,2.8764,4822200,0.0000
2012-10-31,14.0800,14.8000,13.9200,14.2500,2.9236,6175600,0.0000
