date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,85.85,86.58,85.53,86.36,84.7195207005041,15360029,0.0,1.0
2025-11-24,86.21,86.6186,86.105,86.54,84.8961014523115,11555933,0.0,1.0
2025-11-25,86.81,87.57,86.63,87.54,85.8771056290195,11979188,0.0,1.0
2025-11-26,87.92,88.61,87.88,88.46,86.7796294715909,7652076,0.0,1.0
2025-11-28,88.49,88.87,88.42,88.84,87.1524110587399,4678540,0.0,1.0
2025-12-01,88.57,88.8,88.345,88.38,86.7011491374542,17050937,0.0,1.0
2025-12-02,88.635,88.6958,88.35,88.64,86.9562102233983,10534300,0.0,1.0
2025-12-03,88.64,89.11,88.625,89.06,87.3682319776157,13524104,0.0,1.0
2025-12-04,89.545,89.635,89.135,89.29,87.5938629382586,9512810,0.0,1.0
2025-12-05,89.59,89.67,89.135,89.32,87.6232930635598,11785154,0.0,1.0
2025-12-08,89.32,89.345,88.885,89.07,87.3780420193828,10293266,0.0,1.0
2025-12-09,89.11,89.33,88.9,88.94,87.2505114764107,11021596,0.0,1.0
2025-12-10,89.04,90.04,89.01,89.92,88.2118955695846,12096480,0.0000,1.0
2025-12-11,90.07,90.5351,90.04,90.38,88.6631574908703,11486721,0.0000,1.0
2025-12-12,90.39,90.55,89.58,89.9,88.1922754860504,12695131,0.0000,1.0
2025-12-15,90.65,90.7499,90.2228,90.43,88.7122076997057,12177453,0.0000,1.0
2025-12-16,88.61,88.67,88.08,88.34,88.34,14453668,1.7106,1.0
2025-12-17,88.22,88.3875,87.655,87.655,87.655,10941807,0.0000,1.0
2025-12-18,88.45,88.755,88.0826,88.3,88.3,14358196,0.0000,1.0
2025-12-19,88.73,89.1499,88.675,88.85,88.85,12837360,0.0000,1.0
2025-12-22,88.9,89.196,88.85,89.17,89.17,11215064,0.0000,1.0
2025-12-23,89.66,89.83,89.5936,89.75,89.75,8192214,0.0000,1.0
2025-12-24,89.81,89.905,89.655,89.8,89.8,5626517,0.0000,1.0
2025-12-26,89.92,89.975,89.735,89.94,89.94,6879940,0.0000,1.0
2025-12-29,89.64,89.885,89.53,89.73,89.73,11225008,0.0000,1.0
2025-12-30,90.01,90.1852,89.84,89.87,89.87,8619726,0.0000,1.0
2025-12-31,89.76,89.76,89.37,89.46,89.46,15815668,0.0000,1.0
2026-01-02,90.35,90.43,89.91,90.35,90.35,16223270,0.0000,1.0
2026-01-05,90.52,91.45,90.52,91.42,91.42,10998213,0.0000,1.0
2026-01-06,91.52,91.73,91.4,91.56,91.56,11428505,0.0000,1.0
2026-01-07,91.52,91.58,91.23,91.3,91.3,16593182,0.0000,1.0
2026-01-08,91.02,91.36,90.955,91.34,91.34,9934613,0.0000,1.0
2026-01-09,91.78,92.225,91.715,92.14,92.14,11604505,0.0000,1.0
2026-01-12,92.46,92.705,92.405,92.67,92.67,11151150,0.0000,1.0
2026-01-13,92.47,92.47,91.9,92.08,92.08,34342064,0.0000,1.0
2026-01-14,92.39,92.56,92.18,92.52,92.52,15874489,0.0000,1.0
2026-01-15,92.82,92.82,92.46,92.5,92.5,21724647,0.0000,1.0
2026-01-16,92.74,92.7998,92.37,92.75,92.75,11452910,0.0000,1.0
2026-01-20,91.45,92.0299,91.2501,91.42,91.42,16923171,0.0000,1.0
2026-01-21,91.74,92.61,91.33,92.43,92.43,19695597,0.0000,1.0
2026-01-22,92.84,93.03,92.58,92.81,92.81,9829770,0.0000,1.0
2026-01-23,92.63,93.37,92.4401,93.33,93.33,14710893,0.0000,1.0
2026-01-26,93.85,94.14,93.805,93.85,93.85,12462655,0.0000,1.0
2026-01-27,94.73,95.5,94.7,95.33,95.33,14094601,0.0000,1.0
2026-01-28,94.5,94.62,93.91,94.36,94.36,17177147,0.0000,1.0
2026-01-29,95.28,95.315,93.88,94.9,94.9,23659365,0.0000,1.0
