ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-16,2024-07-05,2025-12-16,2025-12-19,1.710585
2025-06-16,2024-07-05,2025-06-16,2025-06-20,1.466507
2024-12-17,2023-12-04,2024-12-17,2024-12-20,1.130479
2024-06-11,2023-12-04,2024-06-11,2024-06-17,1.309636
2023-12-20,2022-11-29,2023-12-21,2023-12-27,0.967811
2023-06-07,2022-11-29,2023-06-08,2023-06-13,1.283963
2022-12-13,2021-12-24,2022-12-14,2022-12-19,0.334573
2022-06-09,2021-12-24,2022-06-10,2022-06-15,1.331936
2021-12-30,2021-12-29,2021-12-31,2022-01-05,0.109692
2021-12-13,2020-12-17,2021-12-14,2021-12-17,1.277222
2021-06-10,2020-12-17,2021-06-11,2021-06-16,1.088359
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.612264
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.699915
2019-12-16,,,,0.880302
2019-06-17,,,,1.196637
2018-12-18,,,,0.751997
2018-06-19,,,,1.151494
2017-12-19,,,,0.730866
2017-06-20,,,,0.96473
2016-12-21,,,,0.594056
2016-06-22,,,,0.995412
2015-12-21,,,,0.430528
2015-06-25,,,,0.999282
2014-12-17,,,,0.546434
2014-06-25,,,,1.168852
2013-12-18,,,,0.539467
2013-06-27,,,,0.776157
2012-12-18,,,,0.170617
