date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,65.11,65.88,64.715,65.58,64.4532445052369,15198982,0.0,1.0
2025-11-24,65.63,66.27,65.58,66.25,65.1117329745646,8850733,0.0,1.0
2025-11-25,66.21,66.48,65.7,66.46,65.3181248828613,12910995,0.0,1.0
2025-11-26,66.72,67.035,66.58,66.93,65.7800496300016,9597722,0.0,1.0
2025-11-28,66.91,67.13,66.825,67.1,65.9471287938609,5200265,0.0,1.0
2025-12-01,66.87,67.22,66.8699,67.04,65.8881596772047,10538219,0.0,1.0
2025-12-02,67.09,67.125,66.756,67.04,65.8881596772047,10605237,0.0,1.0
2025-12-03,66.86,67.105,66.7348,67.1,65.9471287938609,11531142,0.0,1.0
2025-12-04,67.2,67.2,66.905,67.07,65.9176442355328,6618115,0.0,1.0
2025-12-05,67.68,67.94,67.385,67.43,66.27145893547,12227652,0.0,1.0
2025-12-08,67.58,67.5856,67.1499,67.35,66.1928334465951,7702422,0.0,1.0
2025-12-09,67.03,67.34,66.95,67.28,66.1240361438295,6734128,0.0,1.0
2025-12-10,67.42,68.077,67.31,67.93,66.7628682409384,9112444,0.0000,1.0
2025-12-11,67.42,67.715,67.185,67.65,66.4876790298761,12228909,0.0000,1.0
2025-12-12,67.68,67.725,66.705,66.89,65.7407368855641,12914914,0.0000,1.0
2025-12-15,67.365,67.365,66.72,66.72,65.5736577217049,15941169,0.0000,1.0
2025-12-16,65.195,65.345,64.91,65.15,65.15,21542225,1.1389,1.0
2025-12-17,65.51,65.545,64.67,64.72,64.72,18275618,0.0000,1.0
2025-12-18,65.51,65.76,65.31,65.4,65.4,12797929,0.0000,1.0
2025-12-19,65.9,66.26,65.815,66.09,66.09,12108090,0.0000,1.0
2025-12-22,66.41,66.46,66.28,66.44,66.44,10799790,0.0000,1.0
2025-12-23,66.41,66.84,66.3101,66.84,66.84,7232185,0.0000,1.0
2025-12-24,66.94,66.99,66.855,66.94,66.94,4268868,0.0000,1.0
2025-12-26,67.1,67.39,67.01,67.39,67.39,7061772,0.0000,1.0
2025-12-29,67.0,67.22,66.93,67.22,67.22,9574539,0.0000,1.0
2025-12-30,67.48,67.55,67.3401,67.39,67.39,10324803,0.0000,1.0
2025-12-31,67.44,67.505,67.21,67.22,67.22,13750703,0.0000,1.0
2026-01-02,68.62,69.01,68.53,69.0,69.0,19587076,0.0000,1.0
2026-01-05,69.39,69.7,69.115,69.7,69.7,16178120,0.0000,1.0
2026-01-06,70.11,70.38,70.045,70.23,70.23,17977512,0.0000,1.0
2026-01-07,69.97,70.01,69.7,69.77,69.77,14171297,0.0000,1.0
2026-01-08,69.58,69.78,69.455,69.78,69.78,18521266,0.0000,1.0
2026-01-09,69.82,70.075,69.555,70.04,70.04,18488410,0.0000,1.0
2026-01-12,70.15,71.0,70.13,70.96,70.96,15033716,0.0000,1.0
2026-01-13,70.77,70.815,70.32,70.47,70.47,33276398,0.0000,1.0
2026-01-14,70.59,70.81,70.42,70.81,70.81,24104214,0.0000,1.0
2026-01-15,71.215,71.51,70.9945,71.18,71.18,25493628,0.0000,1.0
2026-01-16,71.01,71.08,70.57,70.92,70.92,33370687,0.0000,1.0
2026-01-20,70.36,70.85,70.26,70.37,70.37,15941382,0.0000,1.0
2026-01-21,71.065,71.675,71.005,71.38,71.38,19191059,0.0000,1.0
2026-01-22,71.94,72.22,71.7,71.96,71.96,11911901,0.0000,1.0
2026-01-23,71.8,72.49,71.63,72.4,72.4,14904322,0.0000,1.0
2026-01-26,72.445,72.845,72.405,72.6,72.6,12336906,0.0000,1.0
2026-01-27,73.46,74.0,73.395,73.95,73.95,17442643,0.0000,1.0
2026-01-28,74.59,74.61,74.015,74.45,74.45,14675810,0.0000,1.0
2026-01-29,74.63,74.699,73.05,74.09,74.09,25161144,0.0000,1.0
2026-01-30,73.44,73.695,72.2924,72.56,72.56,23566382,0.0000,1.0
2026-02-02,71.935,73.0201,71.87,72.83,72.83,23827316,0.0000,1.0
2026-02-03,73.67,73.67,72.5145,73.15,73.15,30184592,0.0000,1.0
2026-02-04,73.58,73.62,71.99,72.29,72.29,24222031,0.0000,1.0
2026-02-05,71.99,72.53,71.555,71.87,71.87,18057266,0.0000,1.0
2026-02-06,72.71,73.7,72.66,73.67,73.67,13351605,0.0000,1.0
2026-02-09,73.61,74.4499,73.55,74.24,74.24,16273535,0.0000,1.0
2026-02-10,74.47,74.6099,74.145,74.37,74.37,17265132,0.0000,1.0
2026-02-11,75.015,75.58,74.56,75.49,75.49,14259567,0.0000,1.0
2026-02-12,75.8,75.89,74.46,74.65,74.65,23901845,0.0000,1.0
2026-02-13,74.46,75.065,73.795,74.97,74.97,15633213,0.0000,1.0
2026-02-17,74.455,74.945,73.88,74.69,74.69,17712785,0.0000,1.0
2026-02-18,74.9,75.505,74.725,75.09,75.09,11891378,0.0000,1.0
2026-02-19,74.67,74.935,74.355,74.93,74.93,11523587,0.0000,1.0
2026-02-20,74.85,76.45,74.775,76.44,76.44,22121195,0.0000,1.0
2026-02-23,76.06,76.3299,75.491993,75.64,75.64,16216100,0.0000,1.0
2026-02-24,76.31,77.05,76.15,76.79,76.79,19698265,0.0000,1.0
2026-02-25,77.67,77.68,77.22,77.57,77.57,12628855,0.0000,1.0
2026-02-26,77.515,77.56,76.1397,76.82,76.82,14827134,0.0000,1.0
2026-02-27,76.255,76.865,76.17,76.76,76.76,25776088,0.0000,1.0
2026-03-02,74.65,75.83,74.56,75.43,75.43,18992845,0.0000,1.0
2026-03-03,71.24,72.27,69.73,71.78,71.78,39096176,0.0000,1.0
2026-03-04,71.755,73.04,71.38,72.47,72.47,26322791,0.0000,1.0
2026-03-05,71.4,71.935,69.96,70.89,70.89,21495815,0.0000,1.0
2026-03-06,69.97,70.965,69.595,70.49,70.49,19980576,0.0000,1.0
2026-03-09,69.71,71.99,69.12,71.83,71.83,24136784,0.0000,1.0
2026-03-10,72.1,73.475,71.635,72.11,72.11,21709446,0.0000,1.0
2026-03-11,72.09,72.625,71.7,72.27,72.27,12344894,0.0000,1.0
