ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-16,2024-07-05,2025-12-16,2025-12-19,1.138936
2025-06-16,2024-07-05,2025-06-16,2025-06-20,0.709666
2024-12-17,2023-12-04,2024-12-17,2024-12-20,1.162547
2024-06-11,2023-12-04,2024-06-11,2024-06-17,0.509491
2023-12-20,2022-11-29,2023-12-21,2023-12-27,0.977
2023-06-07,2022-11-29,2023-06-08,2023-06-13,0.483153
2022-12-13,2021-12-24,2022-12-14,2022-12-19,0.658887
2022-06-09,2021-12-24,2022-06-10,2022-06-15,0.604409
2021-12-13,2020-12-17,2021-12-14,2021-12-17,1.361337
2021-06-10,2020-12-17,2021-06-11,2021-06-16,0.470535
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.723499
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.436361
2019-12-16,,,,1.201179
2019-06-17,,,,0.491398
2018-12-18,,,,0.858623
2018-06-19,,,,0.441905
2017-12-19,,,,0.973471
2017-06-20,,,,0.360892
2016-12-21,,,,0.585595
2016-06-22,,,,0.380826
2015-12-21,,,,0.546282
2015-06-25,,,,0.44847
2014-12-17,,,,0.639173
2014-06-25,,,,0.444105
2013-12-18,,,,0.461436
2013-06-27,,,,0.416274
2012-12-27,,,,0.00835
2012-12-18,,,,0.112164
