date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2012-11-30,48.5900,49.3860,47.0000,49.0023,34.9006,1359700,0.0000
2012-12-31,49.2900,52.3210,49.0500,52.2000,37.2656,2480900,0.1205
2013-01-31,52.9100,53.5000,51.6200,52.0800,37.1800,5336700,0.0000
2013-02-28,52.4300,52.5800,50.6900,51.2800,36.6088,6159800,0.0000
2013-03-28,51.3900,52.3900,49.7100,50.7600,36.2376,10192400,0.0000
2013-04-30,50.7900,51.5600,48.6200,51.4700,36.7445,8496400,0.0000
2013-05-31,51.5500,52.6200,49.2200,49.2200,35.1382,11338300,0.0000
2013-06-28,49.4600,49.9700,43.2100,46.0600,33.1822,17708500,0.4163
2013-07-31,46.3000,47.9400,44.3929,46.5400,33.5280,13290900,0.0000
2013-08-30,47.0100,47.8300,44.4300,45.3800,32.6923,8415300,0.0000
2013-09-30,46.1300,51.2500,45.6200,48.6500,35.0481,16974900,0.0000
2013-10-31,48.9800,52.1700,48.8400,50.6350,36.4781,21368900,0.0000
2013-11-29,50.7200,51.1199,48.0900,50.3500,36.2728,10968100,0.0000
2013-12-31,50.2500,50.3200,47.9000,49.8100,36.2200,39063500,0.4614
2014-01-31,48.9400,48.9400,45.1700,45.8300,33.3259,25176400,0.0000
2014-02-28,45.4600,47.8399,44.6000,47.3800,34.4530,21392400,0.0000
2014-03-31,46.7000,49.3300,45.9000,49.0800,35.6892,14190700,0.0000
2014-04-30,49.4800,50.7699,48.7100,49.5600,36.0382,22515500,0.0000
2014-05-30,49.4800,51.6899,49.3300,50.9500,37.0490,25495200,0.0000
2014-06-30,51.1100,52.5000,50.9400,51.7000,37.9180,15424100,0.4441
2014-07-31,51.9200,53.8300,51.9000,52.2200,38.2994,21234000,0.0000
2014-08-29,52.3700,54.8000,51.6100,53.9600,39.5755,25918800,0.0000
2014-09-30,53.9400,54.8900,49.8800,50.0400,36.7005,38708874,0.0000
2014-10-31,49.9200,50.7000,47.8000,50.4300,36.9865,51016136,0.0000
2014-11-28,50.3400,50.7400,49.1100,49.7800,36.5098,31197842,0.0000
2014-12-31,49.2900,49.4199,44.9100,47.0300,34.9734,66953087,0.6392
2015-01-30,46.9600,49.1700,45.4000,47.0200,34.9660,48123049,0.0000
2015-02-27,47.5400,49.2600,47.1300,49.0000,36.4384,32671079,0.0000
2015-03-31,48.9200,48.9700,46.0700,48.3300,35.9402,46905346,0.0000
2015-04-30,48.8500,53.1700,48.6600,51.8400,38.5503,52873217,0.0000
2015-05-29,51.9000,52.3700,49.9500,49.9500,37.1449,31826086,0.0000
2015-06-30,50.0100,50.1900,47.3790,48.0400,36.0521,42977827,0.4485
2015-07-31,48.3500,48.5300,44.0300,44.8900,33.6882,73939109,0.0000
2015-08-31,44.3400,44.8501,36.5100,40.6900,30.5363,117022156,0.0000
2015-09-30,39.8800,42.6100,38.5300,39.8900,29.9359,102961476,0.0000
2015-10-30,40.2400,44.0350,39.8200,42.3400,31.7745,84714089,0.0000
2015-11-30,42.7000,43.9100,40.6700,41.3700,31.0466,84335920,0.0000
2015-12-31,41.5400,41.7000,38.4200,39.3900,29.9692,147324405,0.5463
2016-01-29,38.4200,38.5800,33.9100,37.3400,28.4095,144751625,0.0000
2016-02-29,36.8400,37.7700,34.9728,36.9800,28.1356,133448902,0.0000
2016-03-31,37.7600,42.0100,37.6300,41.6200,31.6658,90812488,0.0000
2016-04-29,40.8400,43.0250,39.9500,41.9000,31.8789,95144954,0.0000
2016-05-31,41.8800,41.9000,38.9000,40.4700,30.7909,153113597,0.0000
2016-06-30,40.3700,42.4500,38.8600,41.8400,32.1273,138218262,0.3808
2016-07-29,42.0500,44.0299,40.6200,43.9700,33.7628,108774672,0.0000
2016-08-31,44.1800,46.0268,43.2500,44.4100,34.1007,121172812,0.0000
2016-09-30,44.4100,46.5400,43.6300,45.6100,35.0221,167935161,0.0000
2016-10-31,45.7000,46.3950,44.2550,45.1400,34.6612,126485807,0.0000
2016-11-30,45.3000,45.7000,41.4600,43.2700,33.2253,199171916,0.0000
2016-12-30,43.0500,44.1650,41.2400,42.4500,33.0517,143505767,0.5856
2017-01-31,42.8600,45.5466,42.7400,45.2400,35.2240,174491611,0.0000
2017-02-28,45.4600,47.4700,45.2000,46.1600,35.9403,119009191,0.0000
2017-03-31,46.5600,48.7400,45.4500,47.7900,37.2094,215993956,0.0000
