date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,64.74,65.31,64.54,65.12,64.4038750416598,266523,0.0,1.0
2025-11-24,64.94,65.19,64.73,64.96,64.2456345624419,343129,0.0,1.0
2025-11-25,65.48,66.0844,65.41,66.07,65.3434278870157,153160,0.0,1.0
2025-11-26,66.25,66.81,66.25,66.75,66.0159499236915,143846,0.0,1.0
2025-11-28,66.69,67.08,66.69,66.99,66.2533106425182,117493,0.0,1.0
2025-12-01,66.87,67.08,66.71,66.74,66.0060598937404,129365,0.0,1.0
2025-12-02,67.0,67.1799,66.87,67.05,66.3126508222249,151485,0.0,1.0
2025-12-03,67.3,67.61,67.26,67.56,66.8170423497318,106829,0.0,1.0
2025-12-04,67.59,67.73,67.4,67.4,66.658801870514,201091,0.0,1.0
2025-12-05,67.66,67.776,67.38,67.43,66.6884719603673,88178,0.0,1.0
2025-12-08,67.48,67.48,67.19,67.37,66.6291317806606,86825,0.0,1.0
2025-12-09,67.25,67.4301,67.11,67.11,66.3719910019316,131598,0.0,1.0
2025-12-10,67.35,68.05,67.27,67.98,67.2324236076786,111327,0.0000,1.0
2025-12-11,68.33,68.58,68.265,68.52,67.7664852250388,68558,0.0000,1.0
2025-12-12,68.46,68.53,67.68,68.01,67.262093697532,152179,0.0000,1.0
2025-12-15,68.51,68.67,68.31,68.6,67.8456054646477,280342,0.0000,1.0
2025-12-16,67.8,67.82,67.32,67.57,67.57,262828,0.7513,1.0
2025-12-17,67.44,67.7,67.14,67.14,67.14,65153,0.0000,1.0
2025-12-18,67.68,68.02,67.54,67.71,67.71,114404,0.0000,1.0
2025-12-19,68.04,68.335,68.02,68.11,68.11,128836,0.0000,1.0
2025-12-22,68.19,68.34,68.0956,68.25,68.25,191693,0.0000,1.0
2025-12-23,68.47,68.68,68.47,68.65,68.65,179657,0.0000,1.0
2025-12-24,68.79,68.87,68.66,68.76,68.76,307970,0.0000,1.0
2025-12-26,68.91,69.0,68.76,69.0,69.0,77244,0.0000,1.0
2025-12-29,69.0,69.0,68.5,68.6,68.6,475056,0.0000,1.0
2025-12-30,68.98,69.16,68.87,68.87,68.87,74852,0.0000,1.0
2025-12-31,68.94,68.94,68.55,68.6,68.6,79055,0.0000,1.0
2026-01-02,69.31,69.43,69.1,69.43,69.43,392966,0.0000,1.0
2026-01-05,69.35,70.11,69.26,69.94,69.94,308636,0.0000,1.0
2026-01-06,70.08,70.28,70.0,70.18,70.18,208617,0.0000,1.0
2026-01-07,70.02,70.02,69.78,69.81,69.81,254480,0.0000,1.0
2026-01-08,69.58,69.855,69.53,69.75,69.75,192863,0.0000,1.0
2026-01-09,70.09,70.335,69.9101,70.27,70.27,129141,0.0000,1.0
2026-01-12,70.52,70.71,70.48,70.67,70.67,111677,0.0000,1.0
2026-01-13,70.59,70.595,70.24,70.42,70.42,230655,0.0000,1.0
2026-01-14,70.55,70.65,70.38,70.62,70.62,327517,0.0000,1.0
2026-01-15,70.64,70.68,70.41,70.48,70.48,490909,0.0000,1.0
2026-01-16,70.62,70.69,70.28,70.64,70.64,227097,0.0000,1.0
2026-01-20,69.65,70.105,69.52,69.58,69.58,353294,0.0000,1.0
2026-01-21,69.71,70.48,69.39,70.32,70.32,348129,0.0000,1.0
2026-01-22,70.6,70.81,70.44,70.62,70.62,229626,0.0000,1.0
2026-01-23,70.58,71.14,70.37,71.11,71.11,337474,0.0000,1.0
2026-01-26,71.51,71.78,71.48,71.69,71.69,280515,0.0000,1.0
2026-01-27,72.27,73.0,72.27,72.84,72.84,319605,0.0000,1.0
2026-01-28,72.04,72.17,71.525,71.88,71.88,429099,0.0000,1.0
2026-01-29,72.52,72.54,71.55,72.35,72.35,312263,0.0000,1.0
2026-01-30,72.15,72.2,71.42,71.73,71.73,269722,0.0000,1.0
2026-02-02,71.9,72.4099,71.9,72.37,72.37,193003,0.0000,1.0
2026-02-03,71.79,72.31,71.56,72.04,72.04,413248,0.0000,1.0
