ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-16,2024-07-05,2025-12-16,2025-12-19,0.75133
2025-06-16,2024-07-05,2025-06-16,2025-06-20,1.121926
2024-12-17,2023-12-04,2024-12-17,2024-12-20,0.380697
2024-06-11,2023-12-04,2024-06-11,2024-06-17,1.235307
2023-12-20,2022-11-29,2023-12-21,2023-12-27,0.359
2023-06-07,2022-11-29,2023-06-08,2023-06-13,1.103328
2022-12-13,2021-12-24,2022-12-14,2022-12-19,0.201382
2022-06-09,2021-12-24,2022-06-10,2022-06-15,1.18395
2021-12-30,2021-12-29,2021-12-31,2022-01-05,0.064342
2021-12-13,2020-12-17,2021-12-14,2021-12-17,0.590073
2021-06-10,2020-12-17,2021-06-11,2021-06-16,0.872054
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.347825
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.493787
2019-12-16,,,,0.305566
2019-06-17,,,,1.129543
2018-12-18,,,,0.28635
2018-06-19,,,,1.057416
2017-12-21,,,,0.30677
2017-06-20,,,,0.824299
2016-12-22,,,,0.291255
2016-06-21,,,,0.904
2015-12-21,,,,0.227587
2015-06-24,,,,0.8979
2014-12-19,,,,0.286502
2014-06-24,,,,1.325483
2013-12-17,,,,0.214296
2013-06-25,,,,0.892123
2012-12-17,,,,0.236466
2012-06-20,,,,0.953271
2011-12-19,,,,0.316063
2011-06-21,,,,0.897854
2010-12-20,,,,0.25363
2010-06-21,,,,0.726282
2009-12-21,,,,0.290921
2009-06-22,,,,0.705382
2008-12-22,,,,0.372581
2008-06-23,,,,2.623608
2007-12-24,,,,3.133222
2006-12-21,,,,2.082828
2005-12-23,,,,1.878636
2004-12-23,,,,1.348
2003-12-22,,,,1.111
2002-12-23,,,,1.0618
2001-12-24,,,,0.1406
2001-10-02,,,,0.1994
2001-06-11,,,,0.5028
2001-03-12,,,,0.088
2000-12-13,,,,0.0092
2000-09-20,,,,0.1756
