date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,105.25,108.77,105.25,108.12,107.424182205316,391093,0.0,1.0
2025-11-24,108.23,109.81,108.0232,109.53,108.825107999891,529422,0.0,1.0
2025-11-25,110.23,112.91,110.23,112.5,111.77599424804,343698,0.0,1.0
2025-11-26,112.44,114.375,112.44,113.19,112.461553679428,193890,0.0,1.0
2025-11-28,113.44,113.47,113.01,113.36,112.630459626291,79257,0.0,1.0
2025-12-01,112.34,113.68,112.34,113.13,112.401939815829,272843,0.0,1.0
2025-12-02,113.49,113.565,112.56,113.15,112.421811103695,449368,0.0,1.0
2025-12-03,113.43,114.91,113.43,114.76,114.021449776934,136086,0.0,1.0
2025-12-04,114.52,114.93,114.11,114.23,113.494860648476,104929,0.0,1.0
2025-12-05,114.29,115.18,114.18,114.24,113.504796292409,139182,0.0,1.0
2025-12-08,114.71,114.77,113.74,113.84,113.107370535083,282990,0.0,1.0
2025-12-09,113.72,115.15,113.72,114.42,113.683637883206,264849,0.0,1.0
2025-12-10,114.42,117.76,114.41,117.08,116.326519169427,213205,0.0000,1.0
2025-12-11,116.92,118.3642,116.92,118.23,117.46911822174,131047,0.0000,1.0
2025-12-12,118.65,118.65,116.73,117.07,116.316583525493,233818,0.0000,1.0
2025-12-15,117.68,117.68,116.34,116.69,115.939029056033,143459,0.0000,1.0
2025-12-16,115.83,116.396,114.79,115.28,115.078829817668,157174,0.5442,1.0
2025-12-17,115.48,116.65,114.97,115.28,115.078829817668,178645,0.0000,1.0
2025-12-18,115.98,116.54,115.27,115.42,115.218585509674,291543,0.0000,1.0
2025-12-19,115.52,115.8149,115.15,115.42,115.218585509674,194443,0.0000,1.0
2025-12-22,115.78,116.55,115.6,115.8,115.597922387977,278160,0.0000,1.0
2025-12-23,115.6,115.72,114.9568,115.06,114.85921373023,87360,0.0000,1.0
2025-12-24,115.07,115.78,114.9069,115.68,115.478131794828,141345,0.0000,1.0
2025-12-26,115.71,115.755,115.12,115.73,115.528044541974,209088,0.0000,1.0
2025-12-29,115.59,115.73,114.9101,115.28,115.078829817668,150184,0.0000,1.0
2025-12-30,115.35,115.41,114.77,114.77,114.569719796788,147385,0.0000,1.0
2025-12-31,114.88,114.88,113.7,113.72,113.521552106742,141374,0.0000,1.0
2026-01-02,114.23,115.11,113.365,114.68,114.479876851927,2782949,0.0000,1.0
2026-01-05,114.87,117.154,114.87,116.29,116.087067309998,761434,0.0000,1.0
2026-01-06,116.1,118.2588,115.7201,118.21,118.003716800369,792233,0.0000,1.0
2026-01-07,118.29,118.56,116.72,117.09,116.885671264319,208704,0.0000,1.0
2026-01-08,116.56,120.035,116.56,119.51,119.301448226141,248111,0.0000,1.0
2026-01-09,119.83,120.595,118.7,120.43,120.21984277361,219159,0.0000,1.0
2026-01-12,119.76,120.4699,119.095,119.96,119.750662950446,310595,0.0000,1.0
2026-01-13,120.49,120.68,119.6,119.86,119.650837456156,219600,0.0000,1.0
2026-01-14,119.73,120.91,119.73,120.73,120.51931925648,160588,0.0000,1.0
2026-01-15,120.93,122.715,120.705,122.56,122.34612580199,160630,0.0000,1.0
2026-01-16,122.37,122.51,121.68,121.91,121.697260089104,124085,0.0000,1.0
2026-01-20,120.22,120.89,119.5994,119.93,119.720715302159,518414,0.0000,1.0
2026-01-21,120.82,123.815,120.82,123.42,123.204625052885,412970,0.0000,1.0
2026-01-22,124.01,125.11,123.54,123.85,123.633874678332,374263,0.0000,1.0
2026-01-23,123.73,123.73,121.36,121.6,121.387801056804,189518,0.0000,1.0
2026-01-26,121.8,122.155,120.795,121.38,121.168184969366,333393,0.0000,1.0
2026-01-27,121.32,121.5,120.62,121.23,121.018446727931,135200,0.0000,1.0
2026-01-28,121.74,122.01,120.355,120.53,120.3196682679,284338,0.0000,1.0
2026-01-29,121.26,121.905,119.96,121.51,121.297958111943,243521,0.0000,1.0
2026-01-30,120.74,121.565,119.99,121.1,120.888673585354,168934,0.0000,1.0
2026-02-02,120.7,122.81,120.52,122.31,122.096562066264,254648,0.0000,1.0
2026-02-03,122.29,124.0,121.19,122.52,122.306195604274,425448,0.0000,1.0
2026-02-04,123.39,125.58,123.39,124.98,124.761902763811,481871,0.0000,1.0
2026-02-05,124.18,125.03,123.06,123.57,123.35436329432,261268,0.0000,1.0
2026-02-06,124.19,126.77,124.19,126.53,126.309197925308,176411,0.0000,1.0
2026-02-09,126.16,126.52,125.27,126.08,125.859983201002,149566,0.0000,1.0
2026-02-10,126.42,127.265,126.26,126.36,126.139494585015,135935,0.0000,1.0
2026-02-11,127.18,127.8474,125.745,126.04,125.820053003286,174421,0.0000,1.0
2026-02-12,126.87,127.22,122.14,123.47,123.25453780003,393640,0.0000,1.0
2026-02-13,123.98,125.46,123.18,124.89,124.67205981895,190862,0.0000,1.0
2026-02-17,124.86,125.78,123.24,124.61,124.392548434938,118206,0.0000,1.0
2026-02-18,124.73,126.27,124.235,125.4,125.18116983983,193907,0.0000,1.0
2026-02-19,124.92,125.2022,124.24,125.17,124.951571202962,119841,0.0000,1.0
2026-02-20,124.71,126.3299,124.15,125.74,125.520576520416,157252,0.0000,1.0
2026-02-23,125.13,125.3699,121.87,122.51,122.296213054845,324743,0.0000,1.0
2026-02-24,122.68,124.155,122.6,123.59,123.374328393178,136664,0.0000,1.0
2026-02-25,124.14,124.14,122.38,123.7,123.484136436897,86992,0.0000,1.0
2026-02-26,123.86,124.75,123.06,124.45,124.232827644073,135245,0.0000,1.0
2026-02-27,123.05,123.05,121.88,122.8,122.585706988286,85603,0.0000,1.0
2026-03-02,121.36,123.7799,121.0,123.41,123.194642503456,255086,0.0000,1.0
2026-03-03,120.95,123.1041,119.5,122.46,122.2463003077,180742,0.0000,1.0
2026-03-04,123.02,123.5899,121.9,123.23,123.014956613734,287561,0.0000,1.0
2026-03-05,122.24,122.75,120.51,121.29,121.078342024505,232641,0.0000,1.0
2026-03-06,119.53,119.53,117.57,118.7,118.492861722391,167705,0.0000,1.0
2026-03-09,117.02,119.09,114.785,118.61,118.403018777529,439340,0.0000,1.0
2026-03-10,118.37,119.88,117.53,118.08,117.873943657792,241004,0.0000,1.0
2026-03-11,117.65,118.2099,116.8,118.0,117.79408326236,163585,0.0000,1.0
2026-03-12,116.55,117.23,115.95,116.09,115.887416321418,416582,0.0000,1.0
2026-03-13,116.98,117.325,115.56,115.93,115.727695530554,191795,0.0000,1.0
2026-03-16,117.02,117.51,116.35,116.35,116.146962606572,190785,0.0000,1.0
