ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-17,2025-09-05,2026-03-17,2026-03-20,0.204616
2025-12-16,2024-07-05,2025-12-16,2025-12-19,0.544229
2025-09-16,2024-07-05,2025-09-16,2025-09-19,0.511064
2025-06-16,2024-07-05,2025-06-16,2025-06-20,0.427953
2025-03-18,2024-07-05,2025-03-18,2025-03-21,0.359311
2024-12-17,2023-12-07,2024-12-17,2024-12-20,0.534964
2024-09-25,2023-12-07,2024-09-25,2024-09-30,0.564942
2024-06-11,2023-12-07,2024-06-11,2024-06-17,0.469531
2024-03-21,2023-12-07,2024-03-22,2024-03-27,0.364509
2023-12-20,2022-11-25,2023-12-21,2023-12-27,0.2183
2023-09-26,2022-11-25,2023-09-27,2023-10-02,0.523033
2023-06-07,2023-06-06,2023-06-08,2023-06-13,0.3943
2023-03-23,2022-11-25,2023-03-24,2023-03-29,0.32973
2022-12-13,2021-12-23,2022-12-14,2022-12-19,0.257752
2022-09-26,2021-12-23,2022-09-27,2022-09-30,0.510586
2022-06-09,2021-12-23,2022-06-10,2022-06-15,0.283479
2022-03-24,2021-12-23,2022-03-25,2022-03-30,0.285537
2021-12-13,2020-12-11,2021-12-14,2021-12-17,0.494152
2021-09-24,2020-12-11,2021-09-27,2021-09-30,0.506704
2021-06-10,2020-12-11,2021-06-11,2021-06-16,0.2482
2021-03-25,2020-12-11,2021-03-26,2021-03-31,0.341047
2020-09-23,2019-12-13,2020-09-24,2020-09-29,0.567323
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.529109
2020-03-25,2019-12-13,2020-03-26,2020-03-31,0.532591
2019-12-16,,,,1.001714
2019-09-24,,,,0.580667
2019-06-17,,,,0.52442
2019-03-20,,,,0.56378
2018-12-17,,,,0.638696
2018-09-26,,,,0.593873
2018-06-26,,,,0.546089
2018-03-22,,,,0.528124
2017-12-19,,,,0.658076
2017-09-26,,,,0.474611
2017-06-27,,,,0.417265
2017-03-24,,,,0.613328
2016-12-21,,,,0.528212
2016-09-26,,,,0.393042
2016-06-21,,,,0.380421
2016-03-23,,,,0.402508
2015-12-24,,,,0.463428
2015-09-25,,,,0.381127
2015-06-24,,,,0.362572
2015-03-25,,,,0.511277
2014-12-24,,,,0.506851
2014-09-24,,,,0.383598
2014-06-24,,,,0.393541
2014-03-25,,,,0.374916
2013-12-23,,,,0.444879
2013-09-24,,,,0.291685
2013-06-26,,,,0.322855
2013-03-25,,,,0.257512
2012-12-19,,,,0.614736
2012-09-25,,,,0.241253
2012-06-19,,,,0.446085
2012-03-26,,,,0.207421
2011-12-22,,,,0.328301
2011-09-26,,,,0.241917
2011-06-23,,,,0.187091
2011-03-25,,,,0.165005
2010-12-23,,,,0.336209
2010-09-24,,,,0.194207
2010-06-23,,,,0.163359
2010-03-25,,,,0.128681
2009-12-24,,,,0.277917
2009-09-23,,,,0.218395
2009-06-23,,,,0.190532
2009-03-25,,,,0.243909
2008-12-24,,,,0.359627
2008-09-25,,,,0.291873
2008-06-24,,,,0.245483
2008-03-25,,,,0.037185
2007-12-27,,,,0.30166
2007-09-26,,,,0.208745
2007-06-29,,,,0.508095
2007-03-26,,,,0.223492
2006-12-21,,,,0.246715
2006-09-27,,,,0.191919
2006-06-23,,,,0.200964
2006-03-27,,,,0.220198
2005-12-23,,,,0.189541
2005-09-26,,,,0.1388
2005-06-21,,,,0.1071
2005-03-28,,,,0.4295
2004-12-27,,,,0.559508
2004-09-27,,,,0.2782
2004-06-28,,,,0.2864
2004-03-29,,,,0.2284
2003-12-15,,,,0.210078
2003-09-15,,,,0.198824
2003-06-16,,,,0.209758
2003-03-10,,,,0.14257
2002-12-16,,,,0.201806
2002-09-16,,,,0.17735
2002-06-17,,,,0.174824
2002-03-11,,,,0.1362
2001-12-17,,,,0.1553
2001-10-02,,,,0.1832
2001-06-11,,,,0.1262
2001-03-12,,,,0.1211
2000-12-13,,,,0.4847
2000-09-20,,,,0.1163
