ex_dividend_date,declaration_date,record_date,payment_date,amount
2024-08-07,2024-08-01,2024-08-07,2024-09-01,0.125
2024-05-06,2024-04-25,2024-05-07,2024-06-01,0.125
2024-02-06,2024-01-25,2024-02-07,2024-03-01,0.125
2023-11-06,2023-10-26,2023-11-07,2023-12-01,0.125
2023-08-04,2023-07-27,2023-08-07,2023-09-01,0.125
2023-05-04,2023-02-22,2023-05-07,2023-06-01,0.125
2023-02-06,2023-01-26,2023-02-07,2023-03-01,0.365
2022-11-04,2022-09-16,2022-11-07,2022-12-01,0.365
2022-08-04,2022-07-14,2022-08-07,2022-09-01,0.365
2022-05-05,2022-04-14,2022-05-07,2022-06-01,0.365
2022-02-04,2022-01-26,2022-02-07,2022-03-01,0.365
2021-11-04,2021-09-17,2021-11-07,2021-12-01,0.3475
2021-08-05,2021-07-15,2021-08-07,2021-09-01,0.3475
2021-05-06,2021-03-11,2021-05-07,2021-06-01,0.3475
2021-02-04,2021-01-21,2021-02-07,2021-03-01,0.3475
2020-11-05,2020-09-18,2020-11-07,2020-12-01,0.33
2020-08-06,2020-07-16,2020-08-07,2020-09-01,0.33
2020-05-06,,,,0.33
2020-02-06,,,,0.33
2019-11-06,,,,0.315
2019-08-06,,,,0.315
2019-05-06,,,,0.315
2019-02-06,,,,0.315
2018-11-06,,,,0.3
2018-08-06,,,,0.3
2018-05-04,,,,0.3
2018-02-06,,,,0.3
2017-11-06,,,,0.2725
2017-08-03,,,,0.2725
2017-05-03,,,,0.2725
2017-02-03,,,,0.26
2016-11-03,,,,0.26
2016-08-03,,,,0.26
2016-05-04,,,,0.26
2016-02-03,,,,0.26
2015-11-04,,,,0.24
2015-08-05,,,,0.24
2015-05-05,,,,0.24
2015-02-04,,,,0.24
2014-11-05,,,,0.225
2014-08-05,,,,0.225
2014-05-05,,,,0.225
2014-02-05,,,,0.225
2013-11-05,,,,0.225
2013-08-05,,,,0.225
2013-05-03,,,,0.225
2013-02-05,,,,0.225
2012-11-05,,,,0.225
2012-08-03,,,,0.225
2012-05-03,,,,0.21
2012-02-03,,,,0.21
2011-11-03,,,,0.21
2011-08-03,,,,0.21
2011-05-04,,,,0.1812
2011-02-03,,,,0.1812
2010-11-03,,,,0.1575
2010-08-04,,,,0.1575
2010-05-05,,,,0.1575
2010-02-03,,,,0.1575
2009-11-04,,,,0.14
2009-08-05,,,,0.14
2009-05-05,,,,0.14
2009-02-04,,,,0.14
2008-11-05,,,,0.14
2008-08-05,,,,0.14
2008-05-05,,,,0.14
2008-02-05,,,,0.1275
2007-11-05,,,,0.1125
2007-08-03,,,,0.1125
2007-05-03,,,,0.1125
2007-02-05,,,,0.1125
2006-11-03,,,,0.1
2006-08-03,,,,0.1
2006-05-03,,,,0.1
2006-02-03,,,,0.1
2005-11-03,,,,0.08
2005-08-03,,,,0.08
2005-05-04,,,,0.08
2005-02-03,,,,0.08
2004-11-03,,,,0.04
2004-08-04,,,,0.04
2004-05-05,,,,0.04
2004-02-04,,,,0.04
2003-11-05,,,,0.02
2003-08-05,,,,0.02
2003-05-05,,,,0.02
2003-02-05,,,,0.02
2002-11-05,,,,0.02
2002-08-05,,,,0.02
2002-05-03,,,,0.02
2002-02-05,,,,0.02
2001-11-05,,,,0.02
2001-08-03,,,,0.02
2001-05-03,,,,0.02
2001-02-05,,,,0.02
2000-11-03,,,,0.02
2000-08-03,,,,0.02
2000-05-03,,,,0.03
2000-02-03,,,,0.03
1999-11-03,,,,0.03
1999-08-04,,,,0.03
1999-05-05,,,,0.03
1999-02-03,,,,0.04
