date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,658.2,667.795,654.04,662.28,658.190176963312,6113783,0.0,1.0
2025-11-24,665.94,673.36,664.87,672.06,667.909781859581,4876146,0.0,1.0
2025-11-25,671.95,679.55,667.7862,678.38,674.19075353079,5414415,0.0,1.0
2025-11-26,680.96,685.075,680.11,683.06,678.841852806305,3883316,0.0,1.0
2025-11-28,684.22,687.13,683.91,686.88,682.638262898713,3784107,0.0,1.0
2025-12-01,682.2,686.4,682.13,683.66,679.438147585218,8243850,0.0,1.0
2025-12-02,685.3,687.23,682.73,684.83,680.600922404097,9107248,0.0,1.0
2025-12-03,684.0,688.32,683.06,687.26,683.015916258691,6579148,0.0,1.0
2025-12-04,688.69,688.76,684.82,687.85,683.602272791288,6652957,0.0,1.0
2025-12-05,688.89,691.81,688.02,689.11,684.854491827004,16119390,0.0,1.0
2025-12-08,690.04,690.061,684.99,687.06,682.817151332387,5907605,0.0,1.0
2025-12-09,686.61,688.8099,686.02,686.51,682.270547785051,6630830,0.0,1.0
2025-12-10,685.97,692.3897,684.74,690.92,686.653314410055,17850745,0.0000,1.0
2025-12-11,688.57,692.71,685.6,692.59,688.313001544695,27041106,0.0000,1.0
2025-12-12,691.64,692.33,682.58,685.17,680.938822778813,14659451,0.0000,1.0
2025-12-15,689.19,689.19,682.66,684.15,679.925121654663,9028417,0.0000,1.0
2025-12-16,680.19,682.06,675.95,679.84,678.04042467285,40598501,2.4136,1.0
2025-12-17,680.9,681.35,672.16,672.41,670.630092307412,32809874,0.0000,1.0
2025-12-18,678.57,681.75,675.88,677.5,675.706618786562,37055702,0.0000,1.0
2025-12-19,679.58,684.13,679.43,683.49,681.680762914284,10176580,0.0000,1.0
2025-12-22,686.93,688.38,685.6901,687.83,686.009274686289,14978219,0.0000,1.0
2025-12-23,686.92,691.21,686.86,690.97,689.140962926864,8736389,0.0000,1.0
2025-12-24,690.97,693.8621,690.82,693.39,691.554557048582,2348171,0.0000,1.0
2025-12-26,693.68,694.7,692.36,693.27,691.434874695439,2763763,0.0000,1.0
2025-12-29,690.56,692.19,689.1,690.91,689.081121750293,5395361,0.0000,1.0
2025-12-30,690.46,691.56,689.59,689.92,688.093742336863,4574533,0.0000,1.0
2025-12-31,690.17,690.39,684.76,684.94,683.126924681428,3845935,0.0000,1.0
2026-01-02,688.74,689.9,682.88,686.19,684.373615860001,7056867,0.0000,1.0
2026-01-05,689.59,692.47,689.42,690.79,688.96143939715,11227873,0.0000,1.0
2026-01-06,690.98,695.35,690.83,694.89,693.050586462869,7654148,0.0000,1.0
2026-01-07,695.25,697.02,692.36,692.63,690.796568812009,7529591,0.0000,1.0
2026-01-08,691.835,693.63,690.5,692.55,690.716780576581,6079988,0.0000,1.0
2026-01-09,693.67,698.37,692.26,697.08,695.234789407729,5758729,0.0000,1.0
2026-01-12,693.72,699.17,693.71,698.23,696.381745292016,6746310,0.0000,1.0
2026-01-13,698.585,699.16,694.44,696.87,695.025345289729,6958726,0.0000,1.0
2026-01-14,694.07,694.75,689.18,693.49,691.654292342868,11674780,0.0000,1.0
2026-01-15,697.67,698.53,694.27,695.32,693.479448228298,7668818,0.0000,1.0
2026-01-16,696.75,697.34,693.17,694.66,692.821195286012,7668853,0.0000,1.0
2026-01-20,684.51,687.789,679.58,680.6,678.798412909423,8507818,0.0000,1.0
2026-01-21,682.66,691.79,681.17,688.32,686.49797762829,8142218,0.0000,1.0
2026-01-22,692.91,694.19,689.98,691.96,690.128342340294,6493602,0.0000,1.0
2026-01-23,691.19,694.04,690.22,692.24,690.407601164295,7893976,0.0000,1.0
2026-01-26,693.56,697.22,693.0,695.89,694.047939405728,7027975,0.0000,1.0
2026-01-27,697.28,699.63,696.66,698.65,696.800633528017,5972412,0.0000,1.0
2026-01-28,700.11,700.97,697.02,698.7,696.85050117516,10289127,0.0000,1.0
2026-01-29,699.47,700.15,687.89,697.09,695.244762937158,7416065,0.0000,1.0
2026-01-30,694.86,697.33,690.2,695.03,693.190215874869,11124794,0.0000,1.0
2026-02-02,692.65,700.06,692.53,698.54,696.690924704302,8246408,0.0000,1.0
2026-02-03,699.3,700.08,687.1,692.57,690.736727635438,6803191,0.0000,1.0
2026-02-04,693.47,694.52,684.79,689.29,687.465409982862,15289234,0.0000,1.0
2026-02-05,683.93,686.71,678.81,680.52,678.718624673994,8108870,0.0000,1.0
2026-02-06,684.49,695.4,683.91,693.78,691.943524696296,7928129,0.0000,1.0
2026-02-09,692.49,698.98,691.4,697.09,695.244762937158,5078591,0.0000,1.0
2026-02-10,698.05,699.66,694.76,695.15,693.309898228012,5057135,0.0000,1.0
2026-02-11,699.51,700.27,692.28,695.05,693.210162933727,7277884,0.0000,1.0
2026-02-12,697.36,698.46,683.44,684.33,682.518539386285,7399980,0.0000,1.0
2026-02-13,684.73,689.35,680.54,684.76,682.947401151714,5509512,0.0000,1.0
2026-02-17,683.17,688.0,678.8,685.84,684.024542330001,7334689,0.0000,1.0
2026-02-18,687.09,692.22,685.91,689.35,687.525251159434,7366827,0.0000,1.0
2026-02-19,686.93,689.26,684.62,687.68,685.85967174486,4774321,0.0000,1.0
2026-02-20,685.32,693.08,684.9,692.5,690.666912929438,6459154,0.0000,1.0
2026-02-23,690.94,693.1,683.43,685.49,683.6754688,5701882,0.0000,1.0
2026-02-24,684.96,691.4382,683.05,690.51,688.682180573149,4646209,0.0000,1.0
2026-02-25,693.26,696.83,693.24,696.25,694.406986465157,7411771,0.0000,1.0
2026-02-26,696.43,696.43,687.46,692.41,690.57715116458,6298727,0.0000,1.0
2026-02-27,686.13,689.93,684.72,689.38,687.55517174772,7614234,0.0000,1.0
2026-03-02,681.76,691.74,681.06,689.45,687.62498645372,6344465,0.0000,1.0
2026-03-03,678.08,685.67,672.65,683.37,681.561080561141,8231250,0.0000,1.0
2026-03-04,684.71,690.19,682.67,688.28,686.458083510575,7473578,0.0000,1.0
2026-03-05,685.1,688.62,678.64,684.46,682.648195268856,7006450,0.0000,1.0
2026-03-06,676.43,679.14,672.75,675.4,673.612177606559,5369122,0.0000,1.0
2026-03-09,669.36,682.99,665.35,681.35,679.546427616567,8305544,0.0000,1.0
2026-03-10,680.85,686.44,677.825,680.12,678.319683496851,13577202,0.0000,1.0
2026-03-11,680.62,683.14,676.38,679.39,677.591615848564,8208080,0.0000,1.0
2026-03-12,674.16,674.64,668.84,668.95,667.179251125123,28564598,0.0000,1.0
2026-03-13,672.24,675.2477,664.31,665.2,663.439177589404,24744011,0.0000,1.0
2026-03-16,671.34,675.05,670.14,671.91,670.131415835983,8237267,0.0000,1.0
2026-03-17,673.61,675.67,671.33,671.99,671.99,23215606,1.7835,1.0
2026-03-18,669.58,670.9,662.45,662.85,662.85,17019863,0.0000,1.0
2026-03-19,658.07,664.1,656.37,660.93,660.93,10220636,0.0000,1.0
2026-03-20,659.49,659.65,647.7,651.3,651.3,12760165,0.0000,1.0
2026-03-23,660.97,665.605,656.94,658.34,658.34,18623438,0.0000,1.0
2026-03-24,654.25,660.0,652.84,656.23,656.23,14784044,0.0000,1.0
2026-03-25,661.63,663.87,657.2,659.74,659.74,19644567,0.0000,1.0
2026-03-26,654.98,657.8,647.69,648.01,648.01,5846553,0.0000,1.0
2026-03-27,645.47,645.57,636.0,636.99,636.99,7237050,0.0000,1.0
2026-03-30,642.98,643.28,632.14,634.93,634.93,11817859,0.0000,1.0
