ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-17,2025-09-05,2026-03-17,2026-03-20,1.783517
2025-12-16,2024-07-04,2025-12-16,2025-12-19,2.413592
2025-09-16,2024-07-04,2025-09-16,2025-09-19,1.994748
2025-06-16,2024-07-04,2025-06-16,2025-06-20,1.866967
2025-03-18,2024-07-04,2025-03-18,2025-03-21,1.764574
2024-12-17,2023-12-04,2024-12-17,2024-12-20,2.134185
2024-09-25,2023-12-04,2024-09-25,2024-09-30,2.234609
2024-06-11,2023-12-04,2024-06-11,2024-06-17,1.611133
2024-03-21,2023-12-04,2024-03-22,2024-03-27,1.665327
2023-12-20,2022-11-25,2023-12-21,2023-12-27,1.9253
2023-09-26,2022-11-25,2023-09-27,2023-10-02,1.986972
2023-06-07,2022-11-25,2023-06-08,2023-06-13,1.338569
2023-03-23,2022-11-25,2023-03-24,2023-03-29,1.647925
2022-12-13,2021-12-20,2022-12-14,2022-12-19,1.723616
2022-09-26,2021-12-20,2022-09-27,2022-09-30,1.90587
2022-06-09,2021-12-20,2022-06-10,2022-06-15,1.282692
2022-03-24,2021-12-20,2022-03-25,2022-03-30,1.481128
2021-12-13,2020-12-15,2021-12-14,2021-12-17,1.498384
2021-09-24,2020-12-15,2021-09-27,2021-09-30,1.69289
2021-06-10,2020-12-15,2021-06-11,2021-06-16,1.224874
2021-03-25,2020-12-15,2021-03-26,2021-03-31,1.311101
2020-12-14,2019-12-12,2020-12-15,2020-12-18,1.610222
2020-09-23,2019-12-12,2020-09-24,2020-09-29,1.505804
2020-06-15,2019-12-12,2020-06-16,2020-06-19,1.260874
2020-03-25,2019-12-12,2020-03-26,2020-03-31,1.531356
2019-12-16,2018-12-24,2019-12-17,2019-12-20,1.602184
2019-09-24,,,,1.482701
2019-06-17,,,,1.777745
2019-03-20,,,,1.129603
2018-12-28,,,,0.322286
2018-12-17,,,,1.442143
2018-09-26,,,,1.277369
2018-06-26,,,,1.281212
2018-03-22,,,,1.228513
2017-12-19,,,,1.272677
2017-09-26,,,,1.283922
2017-06-27,,,,1.116979
2017-03-24,,,,1.032177
2016-12-21,,,,1.30409
2016-09-26,,,,1.103092
2016-06-21,,,,0.997845
2016-03-23,,,,1.118233
2015-12-29,,,,0.190196
2015-12-24,,,,1.187263
2015-09-25,,,,1.081561
2015-06-24,,,,1.180851
2015-03-25,,,,1.001718
2014-12-24,,,,1.103217
2014-09-24,,,,0.933808
2014-06-24,,,,0.915264
2014-03-25,,,,0.830541
2013-12-23,,,,0.958645
2013-09-24,,,,0.835371
2013-06-26,,,,0.808499
2013-03-25,,,,0.742649
2012-12-19,,,,0.929697
2012-09-25,,,,0.798382
2012-06-19,,,,0.639343
2012-03-26,,,,0.632327
2011-12-22,,,,0.770109
2011-09-26,,,,0.629912
2011-06-23,,,,0.605188
2011-03-25,,,,0.598831
2010-12-23,,,,0.616337
2010-09-24,,,,0.626457
2010-06-23,,,,0.496473
2010-03-25,,,,0.49727
2009-12-24,,,,0.597913
2009-09-23,,,,0.525474
2009-06-23,,,,0.479697
2009-03-25,,,,0.556635
2008-12-24,,,,0.661755
2008-09-25,,,,0.678938
2008-06-24,,,,0.632469
2008-03-25,,,,0.68867
2007-12-27,,,,0.797909
2007-09-26,,,,0.686613
2007-06-29,,,,0.66675
2007-03-26,,,,0.641033
2006-12-21,,,,0.707797
2006-09-27,,,,0.61881
2006-06-23,,,,0.528433
2006-03-27,,,,0.518004
2005-12-23,,,,0.513963
2005-09-26,,,,0.5037
2005-06-21,,,,0.387
2005-03-28,,,,0.741
2004-12-27,,,,0.8448
2004-09-27,,,,0.4645
2004-06-28,,,,0.405
2004-03-29,,,,0.3891
2003-12-15,,,,0.5145
2003-09-15,,,,0.4212
2003-06-16,,,,0.3671
2003-03-10,,,,0.3354
2002-12-16,,,,0.4226
2002-09-16,,,,0.3944
2002-06-17,,,,0.3725
2002-03-11,,,,0.2929
2001-12-17,,,,0.3398
2001-10-02,,,,0.3934
2001-06-11,,,,0.3524
2001-03-12,,,,0.2433
2000-12-13,,,,0.439
2000-09-20,,,,0.2766
2000-06-21,,,,0.1194
