date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2000-06-30,143.9000,149.0000,143.6000,145.5000,91.6296,3683300,0.1194
2000-07-31,145.5000,151.9000,141.5000,142.9000,89.9922,8460400,0.0000
2000-08-31,143.3000,153.0000,142.9000,152.3000,95.9119,5156700,0.0000
2000-09-29,153.0000,153.5000,142.3000,143.7000,90.6686,2701500,0.2766
2000-10-31,144.5000,145.7000,131.0000,143.1000,90.2901,2921000,0.0000
2000-11-30,142.7000,144.3000,129.9000,132.3000,83.4757,3381700,0.0000
2000-12-29,132.9000,139.3000,125.7000,131.4000,83.1759,2888400,0.4390
2001-01-31,131.5000,138.4000,127.8000,136.9000,86.6574,2672900,0.0000
2001-02-28,136.8000,137.9000,122.0000,124.1000,78.5550,2017900,0.0000
2001-03-30,124.0000,127.2000,108.4000,116.7000,74.0234,9610200,0.2433
2001-04-30,116.1000,127.3000,109.5000,125.2000,79.4150,11260300,0.0000
2001-05-31,125.1000,132.0000,123.5000,125.7000,79.7321,11307200,0.0000
2001-06-29,126.2000,129.2000,120.7000,122.7000,78.0472,8452500,0.3524
2001-07-31,123.0000,124.2000,116.7000,121.3000,77.1567,8972700,0.0000
2001-08-31,122.0000,123.1000,112.9000,114.2000,72.6405,2628400,0.0000
2001-09-28,114.0000,116.1000,94.2500,104.4000,66.4069,5869700,0.0000
2001-10-31,104.1000,111.1000,103.3000,105.9000,67.6122,4821600,0.3934
2001-11-30,106.6000,116.6000,105.9000,114.1000,72.8476,3264200,0.0000
2001-12-31,113.9000,117.9000,111.9000,114.3000,73.1930,5547500,0.3398
2002-01-31,115.0000,118.0000,108.5000,113.1000,72.4245,4699500,0.0000
2002-02-28,113.3000,113.3000,107.8000,111.0000,71.0798,3872500,0.0000
2002-03-28,111.6000,117.8000,111.5000,114.5000,73.5047,4699100,0.2929
2002-04-30,115.0000,115.0000,106.7000,108.0000,69.3320,5141100,0.0000
2002-05-31,108.0000,111.2000,104.9000,107.1000,68.7542,7202600,0.0000
2002-06-28,107.1000,107.6000,95.2400,99.0200,63.7953,4460400,0.3725
2002-07-31,99.1700,99.5500,77.7700,91.3300,58.8409,11207600,0.0000
2002-08-30,91.1000,96.9900,83.6000,91.7600,59.1179,4778800,0.0000
2002-09-30,90.3500,93.2200,80.1300,81.8900,52.9916,7050300,0.3944
2002-10-31,82.3000,91.3300,77.0500,88.7000,57.3984,8073100,0.0000
2002-11-29,88.1000,94.7200,87.5900,93.7800,60.6857,11185200,0.0000
2002-12-31,95.4700,96.0100,87.0900,88.3500,57.4366,17106000,0.4226
2003-01-31,89.1900,93.7700,84.3400,86.1700,56.0194,18096000,0.0000
2003-02-28,85.9300,86.7800,81.0000,84.9700,55.2393,4042900,0.0000
2003-03-31,85.4000,89.8200,79.0600,84.8100,55.3636,12538600,0.3354
2003-04-30,85.2000,92.7200,84.9410,92.0100,60.0637,10338000,0.0000
2003-05-30,91.9500,97.0200,90.5500,96.9900,63.3146,10693500,0.0000
2003-06-30,97.6100,101.8000,96.9500,97.7800,64.0615,15700100,0.3671
2003-07-31,97.3400,101.8800,96.5000,99.4600,65.1622,7436600,0.0000
2003-08-29,99.3100,101.7500,96.4500,101.3300,66.3873,7824900,0.0000
2003-09-30,101.8000,104.3500,99.2600,99.9000,65.7215,8747800,0.4212
2003-10-31,100.2000,105.8800,100.2000,105.3000,69.2740,9098200,0.0000
2003-11-28,105.9200,106.9100,103.7400,106.5800,70.1161,4475600,0.0000
2003-12-31,106.9900,111.5800,106.0500,111.2200,73.5200,16350200,0.5145
2004-01-30,111.6300,116.0000,110.8100,113.6100,75.0998,14379600,0.0000
2004-02-27,113.7400,116.4800,112.8700,115.0400,76.0451,7021900,0.0000
2004-03-31,115.4900,117.0000,108.4800,113.2300,75.1072,14486700,0.3891
2004-04-30,113.2200,115.4500,110.9600,111.1100,73.7010,12980000,0.0000
2004-05-28,111.4600,113.2300,108.1300,112.9700,74.9347,9276500,0.0000
2004-06-30,112.5600,115.3600,111.9500,114.5700,76.2672,9531500,0.4050
2004-07-30,114.3900,114.4300,108.2400,110.9800,73.8774,14111300,0.0000
2004-08-31,110.2300,111.6700,106.6400,111.2000,74.0239,7684500,0.0000
2004-09-30,111.0400,113.9700,110.5000,111.8000,74.7352,7105900,0.4645
2004-10-29,112.3500,114.6800,109.4100,113.2000,75.6711,9305400,0.0000
2004-11-30,113.5800,119.5200,113.2600,118.2200,79.0268,13129300,0.0000
2004-12-31,118.5500,122.2600,118.1700,121.0000,81.4513,17184200,0.8448
2005-01-31,121.7000,121.8985,116.5300,118.2900,79.6271,15538300,0.0000
2005-02-28,118.4500,121.6500,118.2100,120.7500,81.2831,14345600,0.0000
2005-03-31,121.0300,123.3600,116.1800,117.8200,79.8120,16610600,0.7410
2005-04-29,118.6000,119.1800,113.5300,115.7000,78.3759,14907600,0.0000
2005-05-31,115.9600,120.1500,114.7000,119.3400,80.8417,9850900,0.0000
2005-06-30,119.4200,122.2500,118.8000,119.1100,80.9429,13387000,0.3870
2005-07-29,119.5000,124.6300,118.3000,123.7000,84.0621,16575100,0.0000
2005-08-31,123.8500,124.7300,120.3700,122.5000,83.2467,17598000,0.0000
2005-09-30,122.4800,124.7100,120.9800,123.0000,83.9328,14881300,0.5037
2005-10-31,122.9600,123.3200,116.8800,120.3600,82.1313,22537600,0.0000
2005-11-30,120.6000,127.4300,120.1800,125.3700,85.5500,17225200,0.0000
2005-12-30,126.0700,128.1100,124.6400,124.6700,85.4168,30735300,0.5140
2006-01-31,125.4100,129.6300,124.6200,127.7500,87.5270,26454000,0.0000
2006-02-28,127.9500,130.2100,125.4000,128.4300,87.9929,23127900,0.0000
2006-03-31,128.8000,131.7000,127.3700,129.9200,89.3678,24925500,0.5180
2006-04-28,130.2500,132.0600,128.2100,131.6000,90.5234,24424700,0.0000
2006-05-31,131.7500,133.0000,124.9900,127.7500,87.8751,29452100,0.0000
2006-06-30,127.6800,129.5600,122.5500,127.5500,88.1094,31603900,0.5284
2006-07-31,127.5500,128.3800,122.7100,128.0500,88.4548,20565100,0.0000
2006-08-31,127.6500,131.2800,126.5600,130.8700,90.4028,15413500,0.0000
2006-09-29,131.4300,134.4600,129.7500,133.7500,92.8191,17306800,0.6188
2006-10-31,133.7800,139.2000,132.8600,138.0400,95.7962,17181000,0.0000
2006-11-30,138.4400,141.3700,136.4300,140.7500,97.6769,14660200,0.0000
2006-12-29,140.7100,143.8700,139.2000,142.0000,99.0357,26043200,0.7078
2007-01-31,142.5300,144.4200,140.5500,144.0300,100.4515,26633900,0.0000
2007-02-28,144.5000,146.7800,139.4600,141.3000,98.5475,25174300,0.0000
2007-03-30,139.5000,144.6600,137.0300,142.3400,99.7166,36756300,0.6410
2007-04-30,142.4699,150.0215,141.7300,148.4800,104.0179,18893400,0.0000
2007-05-31,148.7500,154.0900,147.8700,153.5500,107.5697,30948600,0.0000
2007-06-29,154.2800,154.6000,148.9000,150.5100,105.9072,52229700,0.6667
2007-07-31,151.2100,155.7500,145.2600,145.7100,102.5296,64096300,0.0000
2007-08-31,145.4400,150.7700,137.4700,147.6200,103.8736,80707800,0.0000
2007-09-28,147.6900,154.5800,144.5300,152.9700,108.1226,44671200,0.6866
2007-10-31,152.8800,157.7900,148.9500,155.1300,109.6494,64159800,0.0000
2007-11-30,153.5900,153.6700,140.9700,148.7500,105.1398,66317700,0.0000
2007-12-31,148.3900,153.1500,144.2800,146.7400,104.2778,49377000,0.7979
2008-01-31,146.8500,147.2500,124.9800,137.5400,97.7400,78695800,0.0000
2008-02-29,138.1900,139.8500,131.9700,133.7500,95.0467,56197300,0.0000
2008-03-31,133.6800,136.7100,126.3300,132.2300,94.4448,71592700,0.6887
2008-04-30,133.8800,140.7600,132.5600,138.6100,99.0017,59749300,0.0000
2008-05-30,138.5500,144.4400,137.7500,140.3900,100.2730,73837200,0.0000
