date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2000-06-30,97.1100,106.0000,97.1100,103.4000,37.0071,1581800,0.0599
2000-07-31,103.1000,109.2000,97.3800,100.5000,35.9692,1101300,0.0000
2000-08-31,99.7500,108.3000,98.0600,107.5000,38.4745,2795900,0.0000
2000-09-29,108.0000,108.8000,100.0000,103.6000,37.2057,1316400,0.3558
2000-10-31,104.4000,104.4000,91.2500,99.0000,35.5538,2740700,0.0000
2000-11-30,98.6900,102.2000,87.9400,89.1300,32.0092,2236800,0.0000
2000-12-29,90.3800,99.2200,87.5000,95.7500,34.5464,5361800,0.4333
2001-01-31,95.7500,103.1000,90.6900,100.9000,36.4045,8873600,0.0000
2001-02-28,101.0000,102.5000,92.4500,94.1500,33.9691,6773000,0.0000
2001-03-30,94.0500,97.2000,83.1500,89.6000,32.3942,7190800,0.1939
2001-04-30,89.5500,98.1000,84.2500,97.0000,35.0697,5513800,0.0000
2001-05-31,96.6500,103.8000,95.4700,99.1000,35.8289,5997700,0.0000
2001-06-29,99.7500,103.5000,95.8500,101.9000,36.9440,9251900,0.2842
2001-07-31,101.6000,101.6000,93.4900,96.2300,34.8883,8433900,0.0000
2001-08-31,97.0500,98.5000,92.6100,93.8900,34.0399,13497600,0.0000
2001-09-28,93.7000,94.4900,73.5000,80.2000,29.0766,14041800,0.0000
2001-10-31,80.2000,87.6500,78.0500,85.1000,30.9672,10539300,0.2939
2001-11-30,85.3400,92.7000,84.5000,91.6000,33.3325,5303500,0.0000
2001-12-31,91.4100,98.5300,90.6000,96.3500,35.1618,12321100,0.2700
2002-01-31,97.1000,100.1000,92.8000,96.2000,35.1070,13788900,0.0000
2002-02-28,96.3700,96.3700,90.7500,93.2000,34.0122,11891000,0.0000
2002-03-28,93.6500,101.4000,93.3000,100.1000,36.5726,12499900,0.1150
2002-04-30,100.8000,104.8000,98.0000,101.3000,37.0110,25995400,0.0000
2002-05-31,101.5000,102.8000,96.0400,96.5000,35.2573,27745300,0.0000
2002-06-28,96.9500,97.0000,87.9000,90.6500,33.2073,27972900,0.2414
2002-07-31,90.9000,91.6300,69.5000,78.5500,28.7747,31680900,0.0000
2002-08-30,78.3000,82.2500,72.9700,78.0500,28.5916,29276300,0.0000
2002-09-30,76.6500,80.0000,70.4800,71.5500,26.2968,23412000,0.2559
2002-10-31,72.5000,75.4000,64.6000,74.5000,27.3810,46341400,0.0000
2002-11-29,74.2700,82.2300,73.5800,80.8100,29.7001,27605500,0.0000
2002-12-31,82.5000,82.7600,75.3000,75.8100,28.0003,27594800,0.3810
2003-01-31,76.5000,79.6300,72.6500,74.2400,27.4204,31884200,0.0000
2003-02-28,74.4000,74.4800,69.9400,72.0100,26.5968,33552400,0.0000
2003-03-31,72.5000,75.0000,68.2300,72.0000,26.6535,32861800,0.1600
2003-04-30,72.7000,79.9000,72.2200,79.4000,29.3929,23800000,0.0000
2003-05-30,79.5000,88.1500,78.4900,88.0300,32.5876,34060600,0.0000
2003-06-30,88.7500,93.0800,86.9800,88.9000,32.9645,41028500,0.1496
2003-07-31,88.8100,96.3000,87.7500,94.6800,35.1078,45314900,0.0000
2003-08-29,94.7500,99.8500,89.6300,99.2100,36.7875,49619600,0.0000
2003-09-30,99.7500,103.9000,95.7600,97.0500,36.0707,64899600,0.2371
2003-10-31,97.3700,107.2500,97.3000,105.5000,39.2114,86996200,0.0000
2003-11-28,106.1900,109.4900,103.5700,109.4500,40.6795,64734000,0.0000
2003-12-31,109.8700,112.9900,104.8900,110.8000,41.3228,73023800,0.3747
2004-01-30,111.1670,120.0600,111.1600,115.6000,43.1130,81568800,0.0000
2004-02-27,115.8400,119.1000,112.3000,116.7000,43.5232,84089100,0.0000
2004-03-31,117.0020,120.4300,110.7200,117.6000,43.9392,171375400,0.2090
2004-04-30,117.5800,121.1500,111.1100,111.1100,41.5143,128865900,0.0000
2004-05-28,111.6000,114.9200,105.5100,113.5000,42.4073,176580200,0.0000
2004-06-30,113.0000,117.9900,111.2300,117.9900,44.2000,119699000,0.3046
2004-07-30,117.8200,118.0800,105.7100,110.0000,41.2069,142929900,0.0000
2004-08-31,109.2000,110.2500,102.6700,108.3400,40.5851,146643100,0.0000
2004-09-30,109.0900,115.3500,109.0900,113.8500,42.7494,130828500,0.2647
2004-10-29,114.5700,118.2600,112.0700,116.1900,43.6280,144117300,0.0000
2004-11-30,116.5400,127.0800,115.7200,126.8800,47.6420,129029800,0.0000
2004-12-31,126.8100,130.6600,123.9000,129.5000,48.7805,130128700,0.4111
2005-01-31,130.1900,130.4200,120.1700,124.2400,46.7992,216005100,0.0000
2005-02-28,124.2500,127.8000,122.7700,126.2800,47.5676,170063900,0.0000
2005-03-31,126.6600,129.2800,119.8500,122.1500,46.2184,209699000,0.5481
2005-04-29,122.7300,123.6100,112.9900,115.2400,43.6039,311549300,0.0000
2005-05-31,115.5600,123.4100,114.8900,122.6900,46.4227,274935500,0.0000
2005-06-30,122.6800,125.7500,61.3600,63.7000,48.3157,366634200,0.1464
2005-07-29,63.7000,68.2600,63.4400,67.8900,51.4938,476500200,0.0000
2005-08-31,67.9400,68.5200,64.2000,66.5300,50.4622,505783100,0.0000
2005-09-30,66.4200,68.0800,64.1000,66.3900,50.5088,498320200,0.1977
2005-10-31,66.4900,67.1000,61.0500,63.7800,48.5231,781908400,0.0000
2005-11-30,64.0500,68.3500,63.6000,67.4500,51.3152,563361900,0.0000
2005-12-30,67.7900,69.1600,66.4600,66.7200,50.9547,540843900,0.2609
2006-01-31,67.2100,73.2400,66.0500,72.3500,55.2544,606806300,0.0000
2006-02-28,72.5900,73.8800,70.3100,72.5800,55.4301,624886400,0.0000
2006-03-31,72.7800,76.2400,70.8800,75.9700,58.1497,759713500,0.1687
2006-04-28,76.1200,77.3500,73.4500,76.2000,58.3257,804776200,0.0000
2006-05-31,76.3200,78.0200,69.1100,71.8700,55.0114,1168132900,0.0000
2006-06-30,71.8700,73.8400,66.5500,71.7300,54.9889,1676784600,0.1052
2006-07-31,71.9800,72.6300,66.3500,69.6800,53.4174,1249650800,0.0000
2006-08-31,69.1700,72.2400,67.0300,71.7700,55.0196,1016776600,0.0000
2006-09-29,72.1000,73.5700,69.6500,72.0000,55.3720,885451600,0.2310
2006-10-31,71.9700,77.1500,70.6800,76.2300,58.6251,962538500,0.0000
2006-11-30,76.4600,79.1100,74.1000,78.0700,60.0402,1029019300,0.0000
2006-12-29,78.1500,79.7600,76.8500,78.0300,60.2628,868854100,0.3292
2007-01-31,78.6500,79.7700,76.1900,79.3500,61.2822,946046600,0.0000
2007-02-28,79.6900,82.4900,77.4700,78.0500,60.2782,1021092000,0.0000
2007-03-30,77.5300,81.1200,75.1500,79.5100,61.5233,1552576100,0.1535
2007-04-30,79.5700,83.1700,79.1500,80.7400,62.4750,980630300,0.0000
2007-05-31,80.9900,84.4500,80.1300,84.2700,65.2065,1598071300,0.0000
2007-06-29,84.5400,85.1700,81.4100,82.9600,64.3152,1897708900,0.1590
2007-07-31,83.3800,85.7400,76.4300,77.1000,59.7722,2156511500,0.0000
2007-08-31,77.1000,80.1200,73.2400,78.7400,61.0436,3295713200,0.0000
2007-09-28,78.6600,82.1000,75.6200,80.0400,62.2030,1537137500,0.1950
2007-10-31,80.1400,84.8900,78.3500,82.3200,63.9749,1831384800,0.0000
2007-11-30,81.3600,81.4000,72.9900,76.5800,59.5141,2183223200,0.0000
2007-12-31,76.5300,79.8400,73.3500,75.9200,59.2049,1557140400,0.2672
2008-01-31,76.1600,76.5000,64.1900,70.9400,55.3213,2507796300,0.0000
2008-02-29,71.3100,72.8800,68.0400,68.8600,53.6993,1690886800,0.0000
2008-03-31,68.3900,70.4300,64.1000,68.2900,53.3388,1891849400,0.1104
