date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,112.65,113.54,112.06,113.31,112.303732583345,12442,0.0,1.0
2025-11-24,113.45,113.865,113.2801,113.7243,112.714353326521,10010,0.0,1.0
2025-11-25,114.5771,115.45,114.56,115.18,114.157125751916,16855,0.0,1.0
2025-11-26,115.4,116.54,115.4,116.11,115.078866739495,46588,0.0,1.0
2025-11-28,116.25,117.0721,116.25,116.9123,115.874041787166,8750,0.0,1.0
2025-12-01,116.29,117.1599,116.1667,116.1667,115.135063206157,30264,0.0,1.0
2025-12-02,116.28,116.9095,116.12,116.47,115.435669702428,34725,0.0,1.0
2025-12-03,116.21,117.37,116.21,117.21,116.169098015125,26068,0.0,1.0
2025-12-04,117.99,117.99,117.52,117.56,116.515989784644,31157,0.0,1.0
2025-12-05,117.78,118.44,117.64,117.76,116.714213652941,47942,0.0,1.0
2025-12-08,117.64,117.64,117.1,117.38,116.337588303177,10139,0.0,1.0
2025-12-09,117.24,118.26,117.22,117.22,116.17900920854,16245,0.0,1.0
2025-12-10,117.33,119.04,117.33,118.64,117.586398673445,59148,0.0000,1.0
2025-12-11,119.75,120.7,119.42,120.42,119.350591101283,25693,0.0000,1.0
2025-12-12,120.98,120.98,119.75,120.49,119.419969455187,19498,0.0000,1.0
2025-12-15,120.88,121.33,120.65,120.95,119.875884352269,45890,0.0000,1.0
2025-12-16,119.87,119.9,119.02,119.34,119.34,18179,1.0693,1.0
2025-12-17,119.46,119.9,118.84,119.24,119.24,12909,0.0000,1.0
2025-12-18,119.8,120.0953,119.1667,119.61,119.61,12391,0.0000,1.0
2025-12-19,119.99,120.55,119.99,120.05,120.05,25172,0.0000,1.0
2025-12-22,120.42,121.58,120.42,121.45,121.45,81611,0.0000,1.0
2025-12-23,121.49,122.15,121.49,121.97,121.97,24543,0.0000,1.0
2025-12-24,121.95,122.54,121.95,122.44,122.44,21743,0.0000,1.0
2025-12-26,122.41,122.49,122.03,122.43,122.43,38062,0.0000,1.0
2025-12-29,122.11,122.11,121.465,121.81,121.81,39520,0.0000,1.0
2025-12-30,121.99,122.0299,121.52,121.537,121.537,37032,0.0000,1.0
2025-12-31,121.47,121.47,120.79,120.79,120.79,14237,0.0000,1.0
2026-01-02,121.55,121.72,120.72,121.72,121.72,39438,0.0000,1.0
2026-01-05,121.43,124.32,121.43,123.85,123.85,75262,0.0000,1.0
2026-01-06,123.57,124.13,123.5,123.94,123.94,44983,0.0000,1.0
2026-01-07,123.84,123.84,122.04,122.18,122.18,18597,0.0000,1.0
2026-01-08,121.81,123.12,121.81,122.828,122.828,16618,0.0000,1.0
2026-01-09,123.1,123.1,122.63,122.66,122.66,16043,0.0000,1.0
2026-01-12,121.98,122.46,121.9,122.46,122.46,36604,0.0000,1.0
2026-01-13,122.63,122.63,120.8204,121.09,121.09,16228,0.0000,1.0
2026-01-14,121.12,121.2,120.33,121.2,121.2,11602,0.0000,1.0
2026-01-15,121.41,122.27,121.41,121.77,121.77,23731,0.0000,1.0
2026-01-16,121.5,122.3099,121.4832,121.94,121.94,44470,0.0000,1.0
2026-01-20,120.17,121.19,119.4401,119.78,119.78,46369,0.0000,1.0
2026-01-21,119.69,121.03,119.55,120.4,120.4,45236,0.0000,1.0
2026-01-22,120.66,121.44,120.66,121.18,121.18,8859,0.0000,1.0
2026-01-23,120.6,120.6,119.93,120.42,120.42,10226,0.0000,1.0
2026-01-26,120.7,121.1998,120.62,120.86,120.86,21096,0.0000,1.0
2026-01-27,121.65,121.92,121.17,121.75,121.75,46296,0.0000,1.0
2026-01-28,121.02,121.28,120.6,121.1133,121.1133,28809,0.0000,1.0
2026-01-29,122.32,122.57,121.185,122.53,122.53,26196,0.0000,1.0
2026-01-30,122.55,122.55,121.1035,121.72,121.72,10941,0.0000,1.0
2026-02-02,121.72,122.93,121.33,122.82,122.82,20949,0.0000,1.0
2026-02-03,123.31,123.31,121.69,122.5024,122.5024,59717,0.0000,1.0
2026-02-04,122.9,123.5407,122.71,123.18,123.18,17172,0.0000,1.0
2026-02-05,122.23,122.23,121.03,121.03,121.03,40422,0.0000,1.0
2026-02-06,122.71,123.49,122.71,123.49,123.49,7812,0.0000,1.0
2026-02-09,123.7,124.32,123.7,124.09,124.09,9600,0.0000,1.0
2026-02-10,124.01,124.32,122.88,123.1,123.1,13898,0.0000,1.0
2026-02-11,123.5,123.99,122.06,122.3,122.3,15173,0.0000,1.0
2026-02-12,122.77,122.77,120.08,120.52,120.52,7448,0.0000,1.0
2026-02-13,119.72,120.1444,119.195,119.78,119.78,18511,0.0000,1.0
2026-02-17,119.81,121.08,119.81,120.7,120.7,11287,0.0000,1.0
2026-02-18,121.11,121.945,121.11,121.3,121.3,53764,0.0000,1.0
2026-02-19,120.57,120.95,120.2065,120.95,120.95,9269,0.0000,1.0
2026-02-20,120.63,121.83,120.4,121.83,121.83,11538,0.0000,1.0
2026-02-23,121.85,122.04,119.22,119.295,119.295,24516,0.0000,1.0
2026-02-24,118.59,119.57,117.99,119.15,119.15,168763,0.0000,1.0
2026-02-25,119.62,121.3799,119.62,121.06,121.06,16195,0.0000,1.0
2026-02-26,121.2,122.199,120.63,121.92,121.92,21271,0.0000,1.0
2026-02-27,120.72,121.035,119.565,119.78,119.78,27797,0.0000,1.0
2026-03-02,116.98,119.19,116.88,118.43,118.43,144098,0.0000,1.0
2026-03-03,114.93,117.46,114.0,116.763,116.763,554337,0.0000,1.0
2026-03-04,117.34,117.86,117.12,117.81,117.81,25028,0.0000,1.0
2026-03-05,116.66,117.07,115.5001,116.46,116.46,29241,0.0000,1.0
2026-03-06,114.03,114.995,113.38,114.83,114.83,22135,0.0000,1.0
2026-03-09,113.23,115.35,112.44,114.95,114.95,215144,0.0000,1.0
2026-03-10,115.19,116.84,114.84,115.31,115.31,26108,0.0000,1.0
2026-03-11,114.49,114.95,113.9,114.6,114.6,12820,0.0000,1.0
2026-03-12,112.62,112.895,111.985,112.04,112.04,12161,0.0000,1.0
2026-03-13,112.39,113.2491,111.39,111.39,111.39,16235,0.0000,1.0
2026-03-16,112.81,113.79,112.64,113.36,113.36,82773,0.0000,1.0
2026-03-17,113.96,114.92,113.78,113.78,113.78,23185,0.0000,1.0
2026-03-18,113.35,113.9,112.31,112.35,112.35,24093,0.0000,1.0
2026-03-19,111.0,113.095,111.0,112.45,112.45,197487,0.0000,1.0
2026-03-20,111.585,111.795,110.58,111.33,111.33,26930,0.0000,1.0
2026-03-23,113.17,114.165,112.7261,112.98,112.98,93471,0.0000,1.0
2026-03-24,111.7,113.215,111.7,112.61,112.61,11269,0.0000,1.0
2026-03-25,113.5326,114.123,112.96,113.59,113.59,16974,0.0000,1.0
2026-03-26,112.62,113.41,112.01,112.01,112.01,16084,0.0000,1.0
2026-03-27,111.67,111.67,109.99,110.033,110.033,13051,0.0000,1.0
2026-03-30,110.8,111.4415,110.3201,110.82,110.82,100242,0.0000,1.0
2026-03-31,112.36,114.15,112.2001,114.0,114.0,106634,0.0000,1.0
2026-04-01,115.29,115.7999,114.72,115.03,115.03,33177,0.0000,1.0
2026-04-02,113.0,115.1412,112.9507,114.79,114.79,76256,0.0000,1.0
2026-04-06,114.59,115.85,114.59,115.54,115.54,18491,0.0000,1.0
2026-04-07,114.83,115.72,114.54,115.72,115.72,16946,0.0000,1.0
2026-04-08,119.56,119.56,118.82,119.41,119.41,14740,0.0000,1.0
2026-04-09,118.76,120.28,118.6801,119.8168,119.8168,26505,0.0000,1.0
2026-04-10,119.91,119.91,118.8728,119.2526,119.2526,16453,0.0000,1.0
2026-04-13,118.26,121.04,118.26,121.04,121.04,12638,0.0000,1.0
2026-04-14,121.0,121.79,121.0,121.5973,121.5973,11216,0.0000,1.0
2026-04-15,121.99,122.35,121.47,122.215,122.215,19382,0.0000,1.0
2026-04-16,122.18,122.18,121.48,121.685,121.685,10468,0.0000,1.0
2026-04-17,123.21,123.995,122.92,123.35,123.35,17883,0.0000,1.0
2026-04-20,122.33,123.264,122.3,122.82,122.82,7916,0.0000,1.0
2026-04-21,122.61,123.53,121.53,121.53,121.53,25294,0.0000,1.0
2026-04-22,121.75,121.81,120.97,121.05,121.05,30096,0.0000,1.0
2026-04-23,120.55,121.0,118.84,119.9255,119.9255,15438,0.0000,1.0
2026-04-24,119.73,120.0864,119.58,119.7752,119.7752,9492,0.0000,1.0
2026-04-27,119.68,120.5188,119.68,120.19,120.19,14054,0.0000,1.0
2026-04-28,120.75,121.03,120.5671,120.5955,120.5955,11219,0.0000,1.0
2026-04-29,120.6,120.66,119.7849,119.9742,119.9742,10878,0.0000,1.0
2026-04-30,119.89,121.8,119.89,121.8,121.8,9219,0.0000,1.0
2026-05-01,121.6,122.135,121.1653,121.1653,121.1653,6180,0.0000,1.0
2026-05-04,120.51,121.1,119.47,119.6418,119.6418,10451,0.0000,1.0
2026-05-05,120.25,120.67,119.78,120.33,120.33,103604,0.0000,1.0
