date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2001-12-31,52.4300,53.0000,51.4400,52.3000,28.9665,35600,0.0429
2002-01-31,52.1200,53.0400,49.5700,49.8100,27.5874,28400,0.0000
2002-02-28,49.8100,50.7300,47.9100,49.2900,27.2994,1300,0.0000
2002-03-28,49.2900,54.2900,49.2900,53.1000,29.4096,33300,0.0000
2002-04-30,53.1000,54.5600,52.8500,53.1900,29.4594,7800,0.0000
2002-05-31,53.4200,54.5000,53.3000,53.8900,29.8471,43100,0.0000
2002-06-28,53.9900,53.9900,49.0000,51.0300,28.2631,54700,0.0000
2002-07-31,51.0300,51.0300,39.3100,45.3500,25.1172,24600,0.0000
2002-08-30,45.0000,48.5900,43.0900,46.4600,25.7320,118600,0.0000
2002-09-30,45.4100,45.7000,39.2500,39.2500,21.7387,137700,0.0000
2002-10-31,40.3100,44.8500,36.5100,43.5100,24.0981,70900,0.0000
2002-11-29,44.1500,46.7900,42.8400,46.2600,25.6212,182600,0.0000
2002-12-31,46.1500,46.1500,42.7200,42.8600,24.0469,89400,0.5715
2003-01-31,43.6400,45.8500,41.3500,42.1500,23.6485,41000,0.0000
2003-02-28,42.5000,42.7500,39.9000,41.1000,23.0594,19400,0.0000
2003-03-31,41.1000,43.0500,37.2500,40.1000,22.4984,118400,0.0000
2003-04-30,41.1500,45.8500,41.1500,45.7500,25.6683,46600,0.0000
2003-05-30,45.3600,48.2800,45.2000,48.0500,26.9588,34200,0.0000
2003-06-30,48.5000,51.8400,48.4600,49.1400,27.5703,49400,0.0000
2003-07-31,49.1400,51.8000,49.1400,51.0100,28.6195,16400,0.0000
2003-08-29,50.5500,51.5900,49.6900,50.2900,28.2155,19200,0.0000
2003-09-30,51.2500,53.5400,51.2200,51.8500,29.0908,283300,0.0000
2003-10-31,51.9800,55.9900,51.9800,55.7400,31.2733,73200,0.0000
2003-11-28,55.9600,56.3400,54.5100,56.3400,31.6099,45300,0.0000
2003-12-31,56.7200,58.3400,56.2100,58.3400,33.4870,95100,1.3111
2004-01-30,58.6900,61.4400,58.4600,60.1700,34.5375,166800,0.0000
2004-02-27,60.2500,62.7400,59.7800,61.5800,35.3468,102400,0.0000
2004-03-31,61.8200,62.5900,58.6100,60.9400,34.9794,139700,0.0000
2004-04-30,61.2100,61.9800,57.4100,57.5600,33.0393,201800,0.0000
2004-05-28,57.7600,58.8200,54.6600,58.5100,33.5846,253000,0.0000
2004-06-30,58.2900,60.0400,58.2900,59.4000,34.0955,107800,0.0000
2004-07-30,59.3000,59.3000,56.6100,57.5300,33.0221,68000,0.0000
2004-08-31,57.3500,59.2900,56.4500,59.2300,33.9979,74600,0.0000
2004-09-30,59.2500,60.7500,59.0000,59.8500,34.3538,111600,0.0000
2004-10-29,60.8400,61.4000,58.9500,61.3500,35.2148,275700,0.0000
2004-11-30,61.3400,65.1600,61.3100,64.6100,37.0860,192500,0.0000
2004-12-31,64.7000,67.0400,64.4500,66.9500,38.9474,160400,0.8951
2005-01-31,66.9400,66.9900,64.2000,65.1600,37.9061,169100,0.0000
2005-02-28,65.3000,67.2000,65.0400,66.4100,38.6333,125500,0.0000
2005-03-31,66.6000,67.6000,63.6600,64.0400,37.2546,161500,0.0000
2005-04-29,64.6800,65.2000,62.3500,63.5000,36.9404,237600,0.0000
2005-05-31,63.6700,64.9300,62.6500,63.8500,37.1441,123500,0.0000
2005-06-30,64.0000,65.6900,63.8000,65.1000,37.8712,175400,0.0000
2005-07-29,65.0100,67.1000,63.6000,66.6500,38.7729,135200,0.0000
2005-08-31,66.8000,67.9400,65.2500,66.7000,38.8020,110100,0.0000
2005-09-30,66.8500,69.1600,66.8200,68.7000,39.9655,146300,0.0000
2005-10-31,68.8100,69.4800,66.3000,69.4800,40.4192,291300,0.0000
