date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,81.39,82.1536,81.015,81.93,80.4108407787123,1939113,0.0,1.0
2025-11-24,81.85,82.365,81.78,82.27,80.7445364440945,1826231,0.0,1.0
2025-11-25,82.53,83.065,82.15,83.05,81.5100735587948,1140321,0.0,1.0
2025-11-26,83.35,84.02,83.35,83.9,82.3443127222503,818444,0.0,1.0
2025-11-28,83.96,84.29,83.855,84.26,82.6976375444196,450323,0.0,1.0
2025-12-01,84.025,84.245,83.86,83.92,82.3639418790375,1812446,0.0,1.0
2025-12-02,84.12,84.12,83.75,84.03,82.471902241367,1275053,0.0,1.0
2025-12-03,84.0,84.325,83.9555,84.28,82.7172667012068,2631854,0.0,1.0
2025-12-04,84.59,84.67,84.305,84.48,82.9135582690787,2699553,0.0,1.0
2025-12-05,84.94,85.025,84.51,84.57,83.001889474621,2573471,0.0,1.0
2025-12-08,84.74,84.74,84.22,84.45,82.8841145338979,4696085,0.0,1.0
2025-12-09,84.32,84.585,84.29,84.36,82.7957833283556,1676495,0.0,1.0
2025-12-10,84.5,85.415,84.41,85.28,83.6987245405662,2352152,0.0000,1.0
2025-12-11,85.24,85.61,85.0926,85.5,83.9146452652252,2573071,0.0000,1.0
2025-12-12,85.58,85.645,84.56,84.89,83.315955983216,1760987,0.0000,1.0
2025-12-15,85.59,85.59,85.045,85.15,83.5711350214495,1918597,0.0000,1.0
2025-12-16,83.34,83.43,82.89,83.11,83.11,2444724,1.5702,1.0
2025-12-17,83.19,83.28,82.5413,82.57,82.57,9442259,0.0000,1.0
2025-12-18,83.365,83.685,83.115,83.28,83.28,3332471,0.0000,1.0
2025-12-19,83.74,84.187763,83.65,83.9,83.9,2093479,0.0000,1.0
2025-12-22,84.145,84.33,84.053,84.28,84.28,2920932,0.0000,1.0
2025-12-23,84.61,84.82,84.51,84.8,84.8,2371456,0.0000,1.0
2025-12-24,84.88,84.975,84.7727,84.93,84.93,591064,0.0000,1.0
2025-12-26,85.1,85.23,84.965,85.23,85.23,995518,0.0000,1.0
2025-12-29,84.875,85.03,84.73,84.94,84.94,2080872,0.0000,1.0
2025-12-30,85.19,85.3471,84.965,84.97,84.97,8726574,0.0000,1.0
2025-12-31,85.0,85.0,84.59,84.64,84.64,2566055,0.0000,1.0
2026-01-02,85.68,85.86,85.37,85.85,85.85,5156370,0.0000,1.0
2026-01-05,86.115,86.785,86.0368,86.78,86.78,2904919,0.0000,1.0
2026-01-06,87.04,87.215,86.925,87.06,87.06,1133358,0.0000,1.0
2026-01-07,86.93,86.96,86.6,86.72,86.72,939890,0.0000,1.0
2026-01-08,86.425,86.725,86.365,86.72,86.72,1168186,0.0000,1.0
2026-01-09,87.0,87.4,86.89,87.34,87.34,1486988,0.0000,1.0
2026-01-12,87.65,88.11,87.61,88.08,88.08,1743806,0.0000,1.0
2026-01-13,87.96,87.96,87.3979,87.59,87.59,1342342,0.0000,1.0
2026-01-14,87.89,88.03,87.64,88.03,88.03,2396723,0.0000,1.0
2026-01-15,88.34,88.455,88.1046,88.14,88.14,1719205,0.0000,1.0
2026-01-16,88.22,88.24,87.79,88.21,88.21,1401956,0.0000,1.0
2026-01-20,87.29,87.745,87.01,87.15,87.15,2418370,0.0000,1.0
2026-01-21,87.655,88.41,87.35,88.13,88.13,1992384,0.0000,1.0
2026-01-22,88.66,88.9,88.44,88.65,88.65,1013611,0.0000,1.0
2026-01-23,88.54,89.2854,88.375,89.24,89.24,1206401,0.0000,1.0
2026-01-26,89.571,89.9,89.56,89.59,89.59,1455859,0.0000,1.0
2026-01-27,90.49,91.115,90.41,91.02,91.02,1897851,0.0000,1.0
2026-01-28,90.84,90.89,90.19,90.65,90.65,1798131,0.0000,1.0
2026-01-29,91.53,91.53,89.73,90.89,90.89,2002117,0.0000,1.0
2026-01-30,90.27,90.44,89.05,89.41,89.41,12931271,0.0000,1.0
2026-02-02,89.19,89.945,89.0,89.84,89.84,1709002,0.0000,1.0
2026-02-03,90.09,90.32,89.34,90.11,90.11,3290232,0.0000,1.0
2026-02-04,90.86,90.885,89.5712,89.99,89.99,2367935,0.0000,1.0
2026-02-05,89.16,89.71,88.81,88.88,88.88,1466285,0.0000,1.0
2026-02-06,90.07,90.9799,90.0,90.93,90.93,2516513,0.0000,1.0
2026-02-09,91.33,92.26,91.26,92.14,92.14,6166081,0.0000,1.0
2026-02-10,92.64,92.67,92.36,92.47,92.47,1638983,0.0000,1.0
2026-02-11,93.04,93.35,92.37,93.17,93.17,1576322,0.0000,1.0
2026-02-12,93.48,93.51,92.03,92.24,92.24,1958915,0.0000,1.0
2026-02-13,92.08,92.675,91.54,92.54,92.54,3886075,0.0000,1.0
2026-02-17,91.86,92.59,91.3899,92.41,92.41,2383241,0.0000,1.0
2026-02-18,92.65,93.16,92.46,92.67,92.67,2326207,0.0000,1.0
2026-02-19,92.13,92.55,91.89,92.55,92.55,3779821,0.0000,1.0
2026-02-20,92.46,93.62,92.405,93.62,93.62,3139064,0.0000,1.0
2026-02-23,93.43,93.755,92.86,93.13,93.13,3664337,0.0000,1.0
2026-02-24,93.139,93.85,93.05,93.65,93.65,2325409,0.0000,1.0
2026-02-25,94.35,94.615,94.08,94.47,94.47,2001221,0.0000,1.0
2026-02-26,94.47,94.4745,93.45,94.24,94.24,2369806,0.0000,1.0
2026-02-27,94.04,94.425,93.805,94.04,94.04,8692913,0.0000,1.0
2026-03-02,91.81,92.835,91.8,92.46,92.46,3254000,0.0000,1.0
2026-03-03,88.28,89.625,87.02,89.21,89.21,6967961,0.0000,1.0
2026-03-04,89.6,90.405,89.21,90.21,90.21,2577573,0.0000,1.0
2026-03-05,88.87,89.4,87.38,88.29,88.29,3936813,0.0000,1.0
2026-03-06,86.88,88.05,86.63,87.61,87.61,3421744,0.0000,1.0
2026-03-09,86.38,88.8,85.675,88.51,88.51,3215472,0.0000,1.0
2026-03-10,89.04,90.225,88.54,88.77,88.77,3681822,0.0000,1.0
2026-03-11,88.35,89.0,88.0651,88.64,88.64,1690823,0.0000,1.0
2026-03-12,87.72,87.76,86.56,86.85,86.85,2811793,0.0000,1.0
2026-03-13,87.24,87.65,85.8761,86.05,86.05,1836473,0.0000,1.0
2026-03-16,87.32,88.065,87.22,87.8,87.8,1850478,0.0000,1.0
2026-03-17,88.38,88.62,87.98,88.13,88.13,3533879,0.0000,1.0
2026-03-18,87.54,87.82,86.48,86.55,86.55,2658150,0.0000,1.0
2026-03-19,84.905,86.78,84.8,86.34,86.34,4984247,0.0000,1.0
2026-03-20,85.82,85.83,83.35,83.8,83.8,4545205,0.0000,1.0
2026-03-23,85.39,86.86,85.075,85.98,85.98,4187307,0.0000,1.0
2026-03-24,84.62,85.75,84.5,85.24,85.24,2806869,0.0000,1.0
2026-03-25,86.7,86.92,86.02,86.49,86.49,2072590,0.0000,1.0
2026-03-26,85.32,85.93,84.385,84.41,84.41,3084778,0.0000,1.0
2026-03-27,84.1,84.66,83.5199,83.8,83.8,2545200,0.0000,1.0
2026-03-30,84.489,84.6,83.34,83.74,83.74,4485157,0.0000,1.0
2026-03-31,84.72,86.68,84.45,86.64,86.64,4846082,0.0000,1.0
2026-04-01,87.52,88.245,87.26,87.61,87.61,5422350,0.0000,1.0
2026-04-02,85.53,87.45,85.49,87.09,87.09,1755517,0.0000,1.0
2026-04-06,87.32,87.73,87.21,87.58,87.58,2710692,0.0000,1.0
2026-04-07,87.15,87.66,86.25,87.62,87.62,3478887,0.0000,1.0
2026-04-08,91.72,91.7999,90.68,91.35,91.35,1866101,0.0000,1.0
2026-04-09,90.39,91.48,90.135,91.11,91.11,3246221,0.0000,1.0
2026-04-10,91.59,91.8,91.042,91.33,91.33,996687,0.0000,1.0
2026-04-13,90.73,92.065,90.575,92.02,92.02,2399657,0.0000,1.0
2026-04-14,92.62,93.17,92.49,93.1,93.1,1666347,0.0000,1.0
2026-04-15,92.77,93.0,92.6,92.93,92.93,2644841,0.0000,1.0
2026-04-16,93.29,93.29,92.6599,92.89,92.89,1100025,0.0000,1.0
2026-04-17,94.28,95.02,94.11,94.25,94.25,2518563,0.0000,1.0
2026-04-20,93.76,93.87,93.205,93.87,93.87,1626363,0.0000,1.0
2026-04-21,93.51,93.635,91.9099,91.98,91.98,2334578,0.0000,1.0
2026-04-22,92.81,92.93,92.52,92.81,92.81,933371,0.0000,1.0
2026-04-23,92.25,92.645,90.83,91.76,91.76,1940176,0.0000,1.0
2026-04-24,92.3,92.83,92.11,92.67,92.67,1209252,0.0000,1.0
2026-04-27,92.91,93.01,92.41,92.55,92.55,2459514,0.0000,1.0
2026-04-28,91.98,92.19,91.565,91.98,91.98,1259511,0.0000,1.0
2026-04-29,91.64,91.72,90.84,91.21,91.21,1630585,0.0000,1.0
2026-04-30,92.33,93.4499,92.105,93.18,93.18,3544638,0.0000,1.0
2026-05-01,93.19,93.905,93.15,93.22,93.22,1471909,0.0000,1.0
2026-05-04,92.96,93.32,92.06,92.38,92.38,3087759,0.0000,1.0
2026-05-05,93.32,93.85,93.13,93.7,93.7,1187908,0.0000,1.0
