date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2012-11-30,48.8330,49.4590,46.4610,49.3700,34.2833,44900,0.0000
2012-12-31,49.6700,51.9080,49.3200,51.9080,36.1677,197200,0.1724
2013-01-31,52.3100,53.0100,51.4400,52.7400,36.7474,808900,0.0000
2013-02-28,53.0000,53.7200,51.3401,52.0700,36.2805,448900,0.0000
2013-03-28,51.6600,53.1399,51.6100,52.3999,36.5104,491800,0.0000
2013-04-30,52.1200,54.3200,51.2000,54.2500,37.7995,945800,0.0000
2013-05-31,54.2500,55.8000,52.5700,52.5866,36.6405,883900,0.0000
2013-06-28,52.4500,53.1399,48.5000,49.8500,35.3442,1258400,0.8752
2013-07-31,50.2000,53.2500,49.4800,52.3100,37.0884,860700,0.0000
2013-08-30,52.4900,53.6100,51.2100,51.2100,36.3085,684400,0.0000
2013-09-30,52.0600,56.6400,51.8200,55.1000,39.0665,627500,0.0000
2013-10-31,55.2700,57.9500,54.4100,56.8900,40.3357,2808600,0.0000
2013-11-29,56.8200,57.5400,55.4600,57.2900,40.6193,2149600,0.0000
2013-12-31,56.9600,57.6900,55.0038,57.6500,41.1095,1964000,0.3216
2014-01-31,57.0500,57.4100,54.0300,54.7700,39.0558,2851800,0.0000
2014-02-28,54.6600,57.8000,53.4100,57.5656,41.0493,1526900,0.0000
2014-03-31,56.7600,58.2600,55.5154,57.8000,41.2165,1495200,0.0000
2014-04-30,58.2300,58.6400,56.7400,58.5800,41.7727,1412100,0.0000
2014-05-30,58.7700,59.7500,58.2600,59.6800,42.5571,1284300,0.0000
2014-06-30,59.8700,60.9800,59.0591,59.6400,43.2197,1448200,0.9649
2014-07-31,59.8600,60.9400,58.6000,58.6000,42.4661,1189800,0.0000
2014-08-29,58.5700,59.6360,57.2300,59.3300,42.9951,1350700,0.0000
2014-09-30,59.3500,59.8300,56.0000,56.2700,40.7776,2303099,0.0000
2014-10-31,56.0600,56.0774,51.5700,55.9300,40.5312,1989965,0.0000
2014-11-28,55.7500,56.5000,54.7700,55.8200,40.4515,1368886,0.0000
2014-12-31,55.7300,55.8100,51.9500,53.2700,39.0488,3610263,0.6066
2015-01-30,53.4200,54.3499,51.1700,53.0500,38.8876,10728087,0.0000
2015-02-27,53.3700,56.4200,53.3700,56.1000,41.1233,3426344,0.0000
2015-03-31,56.1500,56.7000,53.7100,55.4000,40.6102,2325632,0.0000
2015-04-30,55.7700,59.2380,55.4400,57.8600,42.4135,4200205,0.0000
2015-05-29,58.2100,59.3298,57.2200,57.5500,42.1862,3742709,0.0000
2015-06-30,57.6100,58.0400,54.8800,55.1100,40.9795,3280206,0.8155
2015-07-31,55.6600,55.8200,52.6001,54.7900,40.7415,4591516,0.0000
2015-08-31,54.6200,55.1600,47.0000,50.8200,37.7894,5004768,0.0000
2015-09-30,49.5400,51.8200,47.5300,48.8400,36.3171,7473448,0.0000
2015-10-30,49.1200,52.9100,48.5400,51.8700,38.5702,9209674,0.0000
2015-11-30,51.9700,52.6326,50.0401,51.2700,38.1241,3429262,0.0000
2015-12-31,51.4800,51.7000,48.4900,49.4800,37.2243,12289636,0.5739
2016-01-29,48.4500,48.6300,43.0200,46.7000,35.1329,14627072,0.0000
2016-02-29,46.2900,46.7300,43.2550,45.8000,34.4558,6263571,0.0000
2016-03-31,46.4500,50.0999,46.3100,49.4400,37.1942,4724926,0.0000
2016-04-29,48.5300,51.7519,47.7756,50.6500,38.1045,3998235,0.0000
2016-05-31,50.8300,50.9199,48.5301,50.1200,37.7058,4462627,0.0000
2016-06-30,49.9000,51.6999,45.7000,48.9600,37.3924,8273973,0.7541
2016-07-29,48.9200,51.0700,47.3308,50.9900,38.9428,7903333,0.0000
2016-08-31,50.9900,52.3600,50.0700,51.2900,39.1719,6960678,0.0000
2016-09-30,51.5000,53.1499,50.6800,52.2200,39.8821,5779576,0.0000
2016-10-31,52.1600,52.4800,50.4900,51.2800,39.1642,10703815,0.0000
2016-11-30,51.3500,51.3500,49.3200,50.1100,38.2707,7351313,0.0000
2016-12-30,50.1000,51.9200,49.7834,50.4900,38.9808,11351333,0.5466
2017-01-31,50.7300,53.0899,50.6500,52.5600,40.5789,9892777,0.0000
2017-02-28,52.8600,54.1200,52.5910,53.3200,41.1657,13018427,0.0000
2017-03-31,53.5800,55.3000,53.0000,54.7500,42.2697,9945481,0.0000
2017-04-28,54.8600,56.2900,54.2200,56.0400,43.2656,19447367,0.0000
2017-05-31,56.2900,58.0547,56.1600,57.6200,44.4855,13502328,0.0000
2017-06-30,57.9700,58.6700,56.9400,57.3600,44.8583,10093495,0.7388
2017-07-31,57.4600,59.6100,56.8600,59.4000,46.4536,8088657,0.0000
2017-08-31,59.8600,59.9300,58.3600,59.8100,46.7743,9196513,0.0000
2017-09-29,60.1600,61.3800,59.3600,60.9800,47.6893,7559909,0.0000
2017-10-31,60.8800,62.3600,60.8400,62.1900,48.6356,6300291,0.0000
2017-11-30,62.5200,63.2200,61.0710,62.5500,48.9171,7689114,0.0000
2017-12-29,62.3800,63.3300,61.6100,63.0800,49.9498,9767047,0.7783
2018-01-31,63.4600,67.9300,63.3500,66.6000,52.7371,20822783,0.0000
2018-02-28,66.4600,66.8000,60.1200,63.2500,50.0844,12523192,0.0000
2018-03-29,63.0900,64.5700,61.5400,63.0400,49.9182,10675925,0.0000
