date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,94.11,95.41,93.8,95.07,93.9377350710065,9471782,0.0,1.0
2025-11-24,95.14,95.35,94.515,95.2,94.0661867966742,6191812,0.0,1.0
2025-11-25,95.51,96.47,95.45,96.09,94.9455870723994,10669004,0.0,1.0
2025-11-26,95.84,97.03,95.814,96.52,95.3704658573004,5241217,0.0,1.0
2025-11-28,96.41,97.18,96.41,96.9,95.7459401323291,4506191,0.0,1.0
2025-12-01,95.97,96.36,95.73,95.79,94.6491600131662,7781774,0.0,1.0
2025-12-02,96.0,96.16,95.14,95.49,94.352732953933,7746241,0.0,1.0
2025-12-03,95.48,95.96,95.295,95.77,94.6293982092173,5558152,0.0,1.0
2025-12-04,95.6,96.195,95.415,95.53,94.3922565618308,5834140,0.0,1.0
2025-12-05,95.4,95.93,95.27,95.47,94.3329711499841,6028713,0.0,1.0
2025-12-08,95.44,95.44,94.61,94.65,93.52273718808,7461427,0.0,1.0
2025-12-09,94.96,95.44,94.11,94.16,93.0385729913324,6305668,0.0,1.0
2025-12-10,94.55,95.125,94.32,94.51,93.3844045604378,6049281,0.0000,1.0
2025-12-11,94.76,95.26,94.57,94.89,93.7598788354666,6968062,0.0000,1.0
2025-12-12,95.34,95.65,94.51,94.76,93.6314271097988,6818522,0.0000,1.0
2025-12-15,95.14,95.29,94.38,95.08,93.9476159729809,5864968,0.0000,1.0
2025-12-16,94.33,94.51,93.31,93.42,93.1592138639893,6298823,0.8621,1.0
2025-12-17,93.48,94.19,93.32,93.85,93.5880134996296,6696885,0.0000,1.0
2025-12-18,94.27,94.46,93.25,93.33,93.0694651030414,6719583,0.0000,1.0
2025-12-19,93.15,93.65,92.99,93.02,92.7603304819984,7238241,0.0000,1.0
2025-12-22,92.92,93.73,92.68,93.61,93.348683470435,6096221,0.0000,1.0
2025-12-23,93.71,93.71,93.2,93.54,93.2788788785866,5873530,0.0000,1.0
2025-12-24,93.61,94.35,93.61,94.22,93.9569806279713,2939105,0.0000,1.0
2025-12-26,94.16,94.38,93.88,94.32,94.056701473469,2635092,0.0000,1.0
2025-12-29,94.71,94.79,94.235,94.5,94.2361989953649,5173275,0.0000,1.0
2025-12-30,94.59,94.75,94.365,94.71,94.4456127709102,3506831,0.0000,1.0
2025-12-31,94.71,94.71,93.87,93.89,93.6279018378287,4916516,0.0000,1.0
2026-01-02,93.87,94.3,93.24,93.99,93.7276226833265,5553571,0.0000,1.0
2026-01-05,93.73,94.515,93.285,94.13,93.8672318670233,8210559,0.0000,1.0
2026-01-06,93.86,95.02,93.702,94.79,94.5253894473084,8150486,0.0000,1.0
2026-01-07,95.21,95.47,93.77,93.78,93.5182089077812,10601567,0.0000,1.0
2026-01-08,93.44,94.96,93.27,94.58,94.3159756717631,5441871,0.0000,1.0
2026-01-09,94.67,95.33,94.67,94.74,94.4755290245595,5267272,0.0000,1.0
2026-01-12,94.89,95.3,94.615,94.89,94.6251102928061,5247320,0.0000,1.0
2026-01-13,94.94,95.51,94.05,95.43,95.1636028584939,7050411,0.0000,1.0
2026-01-14,95.43,96.38,95.38,96.35,96.0810346370731,6304279,0.0000,1.0
2026-01-15,96.85,97.42,96.51,97.03,96.7591363864578,5639633,0.0000,1.0
2026-01-16,96.76,98.46,96.73,98.31,98.0355632088289,7273502,0.0000,1.0
2026-01-20,97.46,97.72,96.33,96.41,96.1408671443718,7988111,0.0000,1.0
2026-01-21,97.08,97.25,95.94,96.65,96.3801971735664,12414751,0.0000,1.0
2026-01-22,96.78,97.03,95.72,95.76,95.4926816486365,5703755,0.0000,1.0
2026-01-23,95.7,96.14,95.325,96.04,95.7719000160301,4445267,0.0000,1.0
2026-01-26,96.29,96.585,95.8,95.94,95.6721791705324,4752688,0.0000,1.0
2026-01-27,96.08,96.19,95.57,96.03,95.7619279314804,6109407,0.0000,1.0
2026-01-28,95.97,96.25,94.85,95.08,94.8145798992518,7390725,0.0000,1.0
2026-01-29,95.59,96.385,95.03,96.27,96.0012579606749,7191769,0.0000,1.0
2026-01-30,96.02,96.3,95.11,96.21,95.9414254533763,9894212,0.0000,1.0
2026-02-02,96.45,96.645,95.19,95.23,94.9641611674984,10102178,0.0000,1.0
2026-02-03,95.06,95.59,94.41,95.0,94.7348032228536,11092469,0.0000,1.0
2026-02-04,95.52,96.795,95.205,96.36,96.0910067216229,10556484,0.0000,1.0
2026-02-05,96.15,96.74,95.57,96.14,95.8716208615279,9699908,0.0000,1.0
2026-02-06,96.83,97.77,96.655,97.66,97.3873777130935,6132585,0.0000,1.0
2026-02-09,97.5,98.1499,96.95,98.06,97.7862610950845,4903568,0.0000,1.0
2026-02-10,98.0,99.565,98.0,99.32,99.042743748356,7641439,0.0000,1.0
2026-02-11,99.635,99.73,98.785,98.93,98.6538324509149,9283194,0.0000,1.0
2026-02-12,100.18,100.83,98.76,98.87,98.5939999436162,20971125,0.0000,1.0
2026-02-13,99.255,100.625,98.85,100.22,99.9402313578357,9641140,0.0000,1.0
2026-02-17,100.63,101.27,100.005,101.21,100.927467728263,7926049,0.0000,1.0
2026-02-18,100.91,101.15,99.805,100.01,99.7308175822905,8551078,0.0000,1.0
2026-02-19,99.79,100.45,99.37,99.83,99.5513200603945,6579562,0.0000,1.0
2026-02-20,99.89,100.55,99.75,100.54,100.259338063428,7190890,0.0000,1.0
2026-02-23,100.34,101.36,100.13,100.51,100.229421809779,7073932,0.0000,1.0
2026-02-24,100.27,100.905,100.05,100.76,100.478723923524,5886765,0.0000,1.0
2026-02-25,100.61,100.95,99.98,100.37,100.089812626082,6401597,0.0000,1.0
2026-02-26,100.93,101.205,100.44,101.05,100.767914375467,5522073,0.0000,1.0
2026-02-27,100.82,101.79,100.68,101.28,100.997272320112,7241322,0.0000,1.0
2026-03-02,100.47,101.8,100.11,101.54,101.256546518406,12055703,0.0000,1.0
2026-03-03,100.03,101.325,99.16,100.96,100.678165614519,12429479,0.0000,1.0
2026-03-04,100.72,101.155,100.0,101.06,100.777886460017,10181736,0.0000,1.0
2026-03-05,100.04,100.29,99.34,100.18,99.9003430196366,12793844,0.0000,1.0
2026-03-06,99.34,99.37,98.5,99.02,98.7435812118628,11883897,0.0000,1.0
2026-03-09,97.96,99.54,96.89,99.23,98.9529949874081,9613632,0.0000,1.0
2026-03-10,98.73,99.98,98.46,99.12,98.8433020573606,9056432,0.0000,1.0
2026-03-11,98.61,98.71,97.73,98.01,97.7364006723356,8628945,0.0000,1.0
2026-03-12,97.15,98.07,97.0,97.32,97.0483268384012,8282582,0.0000,1.0
2026-03-13,98.29,98.74,97.41,97.5,97.2278243602972,8073315,0.0000,1.0
2026-03-16,98.34,98.98,98.12,98.25,97.9757307015302,7510080,0.0000,1.0
2026-03-17,98.63,99.125,98.285,98.37,98.37,9420941,0.2754,1.0
2026-03-18,98.03,98.08,96.79,96.84,96.84,8072625,0.0000,1.0
2026-03-19,96.51,97.02,95.97,96.47,96.47,10670600,0.0000,1.0
2026-03-20,96.48,96.49,92.985,93.45,93.45,12543292,0.0000,1.0
2026-03-23,94.91,95.375,94.07,94.11,94.11,9426472,0.0000,1.0
2026-03-24,93.49,94.45,93.205,93.49,93.49,8481895,0.0000,1.0
2026-03-25,93.83,94.2,93.03,93.49,93.49,7197053,0.0000,1.0
2026-03-26,93.3,94.155,92.93,93.34,93.34,7426777,0.0000,1.0
2026-03-27,93.19,93.675,92.45,92.61,92.61,7776794,0.0000,1.0
2026-03-30,93.61,94.33,92.72,93.06,93.06,7503934,0.0000,1.0
2026-03-31,94.01,95.27,93.43,94.56,94.56,10777563,0.0000,1.0
2026-04-01,94.61,95.26,94.345,94.88,94.88,10911063,0.0000,1.0
2026-04-02,94.34,96.355,94.24,96.25,96.25,5592990,0.0000,1.0
2026-04-06,95.88,96.7,95.74,96.37,96.37,5048567,0.0000,1.0
2026-04-07,96.13,96.85,95.695,96.46,96.46,4685164,0.0000,1.0
2026-04-08,97.81,98.32,97.54,98.19,98.19,6755811,0.0000,1.0
2026-04-09,97.88,99.71,97.68,98.9,98.9,5300403,0.0000,1.0
2026-04-10,98.85,99.35,98.595,99.02,99.02,3885478,0.0000,1.0
2026-04-13,98.7,99.46,98.39,99.45,99.45,5518868,0.0000,1.0
2026-04-14,99.34,100.5199,99.11,100.42,100.42,5568721,0.0000,1.0
2026-04-15,100.38,100.52,99.79,100.47,100.47,4728038,0.0000,1.0
2026-04-16,100.78,101.4675,100.69,101.36,101.36,4417579,0.0000,1.0
2026-04-17,101.76,103.1,101.48,102.98,102.98,5843832,0.0000,1.0
2026-04-20,102.52,103.26,102.52,103.23,103.23,3527172,0.0000,1.0
2026-04-21,103.03,103.32,101.4,101.45,101.45,6975217,0.0000,1.0
2026-04-22,101.8,102.23,100.19,100.63,100.63,5517394,0.0000,1.0
2026-04-23,101.02,101.7,100.6,101.66,101.66,5020135,0.0000,1.0
2026-04-24,101.61,102.21,101.315,101.41,101.41,3991425,0.0000,1.0
2026-04-27,101.05,101.8,100.7,100.83,100.83,4001402,0.0000,1.0
2026-04-28,101.34,101.8,100.44,101.74,101.74,5244827,0.0000,1.0
2026-04-29,101.2,101.95,100.495,100.9,100.9,4983915,0.0000,1.0
2026-04-30,100.845,102.73,100.74,102.63,102.63,8650146,0.0000,1.0
2026-05-01,102.8,102.99,102.06,102.36,102.36,5374537,0.0000,1.0
2026-05-04,101.89,102.565,101.285,101.63,101.63,3805748,0.0000,1.0
2026-05-05,101.85,102.16,101.185,101.94,101.94,3471796,0.0000,1.0
