ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-17,2025-09-05,2026-03-17,2026-03-20,0.275373
2025-12-16,2024-07-05,2025-12-16,2025-12-19,0.862095
2025-09-16,2024-07-05,2025-09-16,2025-09-19,0.615029
2025-06-16,2024-07-05,2025-06-16,2025-06-20,0.494542
2025-03-18,2024-07-05,2025-03-18,2025-03-21,0.358576
2024-12-17,2023-11-28,2024-12-17,2024-12-20,0.798324
2024-09-25,2023-11-28,2024-09-25,2024-09-30,0.712553
2024-06-11,2023-11-28,2024-06-11,2024-06-17,0.546023
2024-03-21,2023-11-28,2024-03-22,2024-03-27,0.336544
2023-12-20,2022-11-25,2023-12-21,2023-12-27,0.7666
2023-09-26,2022-11-25,2023-09-27,2023-10-02,0.90041
2023-06-07,2022-11-25,2023-06-08,2023-06-13,0.395859
2023-03-23,2022-11-25,2023-03-24,2023-03-29,0.450732
2022-12-13,2021-12-13,2022-12-14,2022-12-19,0.78437
2022-09-26,2021-12-13,2022-09-27,2022-09-30,0.892564
2022-06-09,2021-12-13,2022-06-10,2022-06-15,0.344958
2022-03-24,2021-12-13,2022-03-25,2022-03-30,0.432603
2021-12-13,2020-12-11,2021-12-14,2021-12-17,1.137291
2021-09-24,2020-12-11,2021-09-27,2021-09-30,0.290453
2021-06-10,,,,0.523571
2021-03-25,2020-12-11,2021-03-26,2021-03-31,0.443888
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.601375
2020-09-23,2019-12-13,2020-09-24,2020-09-29,0.47945
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.533455
2020-03-25,2019-12-13,2020-03-26,2020-03-31,0.596507
2019-12-16,,,,0.886216
2019-09-24,,,,0.663857
2019-06-17,,,,0.685218
2019-03-20,,,,0.603025
2018-12-17,,,,0.472181
2018-09-26,,,,0.781998
2018-06-26,,,,0.774631
2018-03-22,,,,0.618215
2017-12-19,,,,0.870277
2017-09-26,,,,0.682368
2017-06-27,,,,0.720931
2017-03-24,,,,0.745114
2016-12-21,,,,1.076171
2016-09-26,,,,0.695505
2016-06-21,,,,0.71541
2016-03-23,,,,0.904937
2015-12-24,,,,0.960128
2015-09-25,,,,0.665987
2015-06-24,,,,0.657806
2015-03-25,,,,0.659987
2014-12-24,,,,0.81046
2014-09-24,,,,0.629991
2014-06-24,,,,0.602733
2014-03-25,,,,0.769476
2013-12-23,,,,0.588883
2013-09-24,,,,0.604181
2013-06-26,,,,0.606206
2013-03-25,,,,0.584417
2012-12-19,,,,0.79026
2012-09-25,,,,0.523322
2012-06-19,,,,0.550506
2012-03-26,,,,0.533173
2011-12-22,,,,0.586907
2011-09-23,,,,0.54943
2011-06-24,,,,0.535692
2011-03-25,,,,0.50347
2010-12-22,,,,0.591604
2010-09-23,,,,0.463802
2010-06-24,,,,0.42823
2010-03-25,,,,0.488914
2009-12-23,,,,0.501178
2009-09-22,,,,0.390744
2009-06-24,,,,0.46744
2009-03-25,,,,0.572616
2008-12-23,,,,0.91
2008-09-24,,,,0.78
2008-06-25,,,,0.636164
2008-03-25,,,,0.749811
2007-12-27,,,,0.780856
2007-09-25,,,,0.688284
2007-06-28,,,,0.746201
2007-03-23,,,,0.677469
2006-12-20,,,,1.085905
2006-09-26,,,,0.707687
2006-06-22,,,,0.644359
2006-03-24,,,,0.449688
2005-12-22,,,,0.859347
2005-09-23,,,,0.6623
2005-06-20,,,,0.6428
2005-03-24,,,,1.29
2004-12-23,,,,1.2935
2004-09-24,,,,1.2295
2004-06-25,,,,1.3009
2004-03-26,,,,1.3822
2003-12-12,,,,1.511462
2003-09-12,,,,1.219626
2003-06-13,,,,1.243822
2003-03-07,,,,0.691456
2002-12-13,,,,1.761676
2002-09-13,,,,1.16423
2002-06-14,,,,1.267062
2002-03-08,,,,1.183
2001-12-14,,,,1.1839
2001-10-01,,,,1.8115
2001-06-08,,,,0.7844
2001-03-09,,,,0.2196
2000-12-20,,,,1.0164
2000-10-18,,,,0.9206
2000-07-19,,,,0.6255
