date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2020-06-30,51.3000,52.0800,49.5000,50.9360,30.8285,167800,0.0000
2020-07-31,50.6500,55.6660,50.5200,53.2200,32.5245,1119056,0.4941
2020-08-31,53.2500,54.2490,52.9701,54.1900,33.2981,624124,0.2898
2020-09-30,53.7500,53.9900,51.5500,53.3300,33.0474,743322,0.4534
2020-10-30,53.1200,54.5190,51.7000,52.1390,32.5750,674764,0.4348
2020-11-30,52.4300,55.9200,52.0000,55.3700,34.9343,1009997,0.5150
2020-12-31,55.2900,56.1400,54.5900,55.7500,35.8411,956190,1.0427
2021-01-29,55.7400,56.7500,54.6702,54.8600,35.2689,4195885,0.0000
2021-02-26,55.2000,56.4900,54.7101,54.9700,35.5082,4489820,0.2626
2021-03-31,55.3900,58.3900,53.9600,58.1200,37.7600,9085700,0.3211
2021-04-30,58.0200,59.3800,57.6000,59.2700,38.7388,7349310,0.3483
2021-05-28,59.2700,60.2900,58.7000,59.9300,39.4170,11113744,0.3737
2021-06-30,59.8900,60.7400,59.1802,60.5700,40.0485,9525715,0.3135
2021-07-30,60.3500,61.8300,60.2200,61.7200,41.0758,17533209,0.3954
2021-08-31,61.7200,62.7690,61.3703,62.5300,41.7892,18517561,0.2572
2021-09-30,62.3200,62.4677,59.5900,59.6100,40.0546,19702026,0.3388
2021-10-29,59.5600,62.1700,58.9300,61.9800,41.8865,18448857,0.3434
2021-11-30,61.7000,62.2100,60.4600,60.5700,41.1775,18866160,0.3661
2021-12-31,60.8700,63.6741,59.6600,63.1900,43.5484,29122063,0.8411
2022-01-31,63.2000,63.3900,58.3800,60.9900,42.0322,35078873,0.0000
2022-02-28,60.7500,61.5900,57.0800,59.8600,41.5125,35281803,0.3818
2022-03-31,59.3500,61.9000,58.0550,61.4000,42.9154,38593228,0.4623
2022-04-29,61.0000,62.6000,58.5300,58.5800,41.3388,48977225,0.5878
2022-05-31,58.1900,59.3850,54.9000,58.0700,41.3103,57947739,0.4681
2022-06-30,57.6800,58.0500,52.5400,55.4500,39.8021,43106931,0.5164
2022-07-29,54.7700,57.4900,54.2000,57.4300,41.6846,50582318,0.6210
2022-08-31,56.7200,57.8900,55.2400,55.2600,40.4599,75518611,0.4955
2022-09-30,54.5100,56.5600,51.1598,51.2300,37.8899,70657673,0.5589
2022-10-31,51.1500,54.7800,49.9200,54.5700,40.7338,69362236,0.4808
2022-11-30,54.1000,56.7800,52.9800,56.7800,42.8601,69971766,0.6063
2022-12-30,56.1100,56.9200,54.0600,54.4900,42.0141,79925488,1.1833
2023-01-31,54.7200,55.8900,54.0400,55.4700,42.7697,103773908,0.0000
2023-02-28,54.9999,55.1800,53.5201,53.7900,41.8089,98140815,0.4439
2023-03-31,53.3150,54.6100,51.7900,54.6000,42.7667,108551748,0.4112
2023-04-28,54.1800,55.4000,54.0400,55.4000,43.7493,79139993,0.4451
2023-05-31,54.9700,55.2300,53.6546,54.0200,42.9884,106571234,0.4246
2023-06-30,53.7800,55.3600,53.5800,55.3300,44.3292,96821208,0.3654
2023-07-31,54.9500,55.9700,54.5400,55.8800,45.0624,92105189,0.3593
2023-08-31,55.5000,55.8700,54.1500,55.5900,45.0628,89527717,0.2904
2023-09-29,55.4700,55.6200,53.1700,53.5600,43.6824,74707836,0.3382
2023-10-31,53.1350,54.2199,51.3800,52.6200,43.2102,86153788,0.3633
2023-11-30,52.3400,54.7300,52.3150,54.7100,45.2323,71498738,0.3589
2023-12-29,54.3800,55.3300,54.2700,54.9800,46.1369,74258680,0.8181
2024-01-31,54.8800,56.3500,54.6215,55.9600,46.9593,78279738,0.0000
2024-02-29,55.8000,57.0700,55.6800,56.9700,48.0623,71895851,0.3006
2024-03-28,56.7400,57.9361,56.6200,57.8600,49.0717,67188020,0.3009
2024-04-30,57.5400,57.6200,55.3016,55.9300,47.7207,77516029,0.3452
2024-05-31,55.5900,57.4100,55.3050,56.8300,48.7735,61045467,0.3261
2024-06-28,56.4900,57.0700,55.9250,56.6800,48.9566,51879731,0.3603
2024-07-31,56.4900,57.7100,56.0300,57.4800,49.9398,63389666,0.3302
2024-08-30,57.2400,58.8450,54.7700,58.8300,51.3723,72144784,0.2895
2024-09-30,58.3200,59.5800,57.3630,59.5100,52.3238,55310794,0.3998
2024-10-31,59.1000,59.9700,58.6900,58.6900,51.9451,60783534,0.3922
2024-11-29,58.5600,60.8800,58.2500,60.8300,54.1847,66009113,0.3752
2024-12-31,60.5300,60.5300,57.3500,57.5300,51.9407,73806405,0.7966
2025-01-31,57.8500,59.3500,56.7050,58.9700,53.2408,81043021,0.0000
2025-02-28,58.0700,59.7300,57.9700,59.4100,53.9365,79745051,0.3259
2025-03-31,59.2800,59.3590,55.9735,57.1400,52.1652,91459497,0.3276
2025-04-30,56.5600,57.1300,49.9400,55.5900,51.1148,143536148,0.4079
2025-05-30,55.5100,56.3800,55.0050,56.0900,52.0313,107175916,0.4879
2025-06-30,55.4800,56.8500,55.1500,56.8500,53.2482,89680163,0.5400
2025-07-31,56.4900,57.3500,56.2601,56.4800,53.2739,95393269,0.3995
2025-08-29,55.8600,57.5000,55.4501,57.1500,54.2526,85623257,0.3577
2025-09-30,56.4900,57.2600,56.2750,57.1000,54.5575,95950029,0.3683
2025-10-31,56.7000,57.7100,55.9800,56.8800,54.6924,120849168,0.3610
2025-11-28,56.5300,57.9299,55.8100,57.9100,56.0248,100235604,0.3464
2025-12-31,57.3300,58.0600,57.0200,57.2400,56.1512,102624227,0.7977
2026-01-30,57.3800,58.6800,57.0400,58.5600,57.4461,111878131,0.0000
2026-02-27,58.1700,59.9000,57.9600,59.8800,59.0873,103530385,0.3444
2026-03-10,59.14,59.575,57.26,58.19,58.19,44780350,0.3513
2026-03-31,59.1400,59.5750,55.4450,56.6800,56.2606,130118237,0.3513
2026-04-17,56.4050,57.9300,55.8900,57.7900,57.7900,59135216,0.4205
