ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-12-24,2026-04-01,2026-04-06,0.5586
2026-03-02,2025-12-24,2026-03-02,2026-03-04,0.509
2026-02-02,2025-12-24,2026-02-02,2026-02-04,0.46572
2025-12-31,2025-12-30,2025-12-31,2026-01-05,0.5761
2025-12-01,2025-11-28,2025-12-01,2025-12-03,0.55323
2025-11-03,2025-10-31,2025-11-03,2025-11-05,0.47553
2025-10-01,2025-09-30,2025-10-01,2025-10-03,0.44612
2025-09-02,,,,0.44195
2025-08-01,2025-07-31,2025-08-01,2025-08-05,0.44377
2025-07-01,2025-06-30,2025-07-01,2025-07-03,0.49416
2025-06-02,2025-05-30,2025-06-02,2025-06-04,0.62074
2025-05-01,2025-04-30,2025-05-01,2025-05-05,0.59786
2025-04-01,2025-03-31,2025-04-01,2025-04-03,0.54069
2025-03-03,2025-02-28,2025-03-03,2025-03-05,0.48238
2025-02-03,2025-01-31,2025-02-03,2025-02-05,0.45019
2024-12-31,2024-12-30,2024-12-31,2025-01-03,0.45584
2024-12-02,2024-11-29,2024-12-02,2024-12-04,0.50832
2024-11-01,2024-10-31,2024-11-01,2024-11-05,0.49362
2024-10-01,2024-09-30,2024-10-01,2024-10-03,0.55062
2024-09-03,2024-08-30,2024-09-03,2024-09-05,0.55686
2024-08-01,2024-07-31,2024-08-01,2024-08-05,0.42676
2024-07-01,2024-06-28,2024-07-01,2024-07-03,0.42115
2024-06-03,2024-05-31,2024-06-03,2024-06-05,0.4497
2024-05-01,2024-04-30,2024-05-02,2024-05-06,0.43112
2024-04-01,2024-03-22,2024-04-02,2024-04-04,0.42728
2024-03-01,2024-02-29,2024-03-04,2024-03-06,0.38037
2024-02-01,2024-01-31,2024-02-02,2024-02-06,0.34167
2023-12-28,2023-12-27,2023-12-29,2024-01-03,0.39248
2023-12-01,2022-12-30,2023-12-04,2023-12-06,0.42214
2023-11-01,2022-12-30,2023-11-02,2023-11-06,0.41766
2023-10-02,2022-12-30,2023-10-03,2023-10-05,0.41719
2023-09-01,2022-12-30,2023-09-05,2023-09-07,0.45056
2023-08-01,2022-12-30,2023-08-02,2023-08-04,0.36588
2023-07-03,2022-12-30,2023-07-05,2023-07-07,0.3668
2023-06-01,2023-05-31,2023-06-02,2023-06-06,0.3628
2023-05-01,2022-12-30,2023-05-02,2023-05-04,0.48406
2023-04-03,2022-12-30,2023-04-04,2023-04-06,0.45394
2023-03-01,2022-12-30,2023-03-02,2023-03-06,0.43296
2023-02-01,2022-12-30,2023-02-02,2023-02-06,0.44065
2022-12-29,2022-12-28,2022-12-30,2023-01-04,0.57554
2022-12-01,2022-11-30,2022-12-02,2022-12-06,0.5463
2022-11-01,2022-10-31,2022-11-02,2022-11-04,0.68125
2022-10-03,2022-09-30,2022-10-04,2022-10-06,0.37954
2022-09-01,2022-08-31,2022-09-02,2022-09-07,0.5463
2022-08-01,2022-07-29,2022-08-02,2022-08-04,0.40711
2022-07-01,2022-06-30,2022-07-05,2022-07-07,0.33975
2022-06-01,2022-05-31,2022-06-02,2022-06-06,0.37639
