date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2022-06-30,49.1600,49.5900,43.6001,45.7600,29.9195,2276271,0.3764
2022-07-29,45.2300,49.2500,44.5500,49.1500,32.3766,4836559,0.3397
2022-08-31,48.7500,49.9700,46.1450,46.2400,30.7146,6645437,0.4071
2022-09-30,45.5200,47.3300,41.6500,41.6500,27.9969,10114792,0.5463
2022-10-31,41.6900,43.7400,39.6100,43.1200,29.2452,6679435,0.3795
2022-11-30,42.8400,44.6200,40.0900,44.6200,30.7523,12287907,0.6813
2022-12-30,44.1500,44.7600,40.2700,40.8000,28.8693,12951808,1.1218
2023-01-31,41.1900,43.4480,40.0310,43.3500,30.6737,17710600,0.0000
2023-02-28,42.8700,43.6600,42.0700,42.5900,30.4434,17832906,0.4406
2023-03-31,42.1000,45.0900,41.1500,45.0900,32.5637,27458526,0.4330
2023-04-28,44.5100,45.7700,44.1200,45.7700,33.3917,20113204,0.4539
2023-05-31,45.3200,47.5400,44.6200,47.2500,34.8395,37594207,0.4841
2023-06-30,46.8700,48.4100,46.8402,48.3700,35.9404,38526596,0.3628
2023-07-31,48.0900,49.4800,47.5900,49.4300,37.0085,38018056,0.3668
2023-08-31,48.9900,49.1400,46.5001,49.0000,36.9603,41863249,0.3659
2023-09-29,48.7400,48.8000,46.1000,46.9300,35.7274,38167018,0.4506
2023-10-31,46.5200,47.9700,44.9500,46.1600,35.4542,55309612,0.4172
2023-11-30,45.8700,49.5300,45.8360,49.2800,38.1907,57273741,0.4177
2023-12-29,48.8800,50.3300,48.4000,49.9300,39.3349,50617852,0.8146
2024-01-31,49.7800,52.0800,49.0000,51.4300,40.5166,57202141,0.0000
2024-02-29,51.3100,53.3798,51.1600,53.2900,42.2605,52858488,0.3417
2024-03-28,53.0300,54.4700,52.6401,54.2400,43.3211,51562164,0.3804
2024-04-30,54.0800,54.1700,50.6501,52.0400,41.8933,67164482,0.4273
2024-05-31,51.5000,54.5650,51.1902,54.1900,43.9905,56649653,0.4311
2024-06-28,53.9600,55.8368,53.4104,55.5000,45.4307,49972818,0.4497
2024-07-31,55.1500,56.1800,52.0000,53.7200,44.3091,72535958,0.4212
2024-08-30,53.4000,54.1090,47.6708,54.0800,44.9703,69934512,0.4268
2024-09-30,53.3500,55.0999,51.2800,54.9300,46.1624,53790134,0.5569
2024-10-31,54.3800,55.8600,53.6800,54.5800,46.3364,69959283,0.5506
2024-11-29,54.3200,57.1300,54.1700,57.0900,48.9067,69864862,0.4936
2024-12-31,56.6800,58.2100,56.2800,56.3800,49.1234,86818221,0.9642
2025-01-31,56.7200,58.3100,55.2200,57.4700,50.0732,104059453,0.0000
2025-02-28,56.2200,58.5400,54.7899,55.9800,49.1627,100560049,0.4502
2025-03-31,55.9400,55.9898,50.5701,51.7800,45.8776,134901063,0.4824
2025-04-30,51.1050,52.2250,44.3110,51.3400,45.9643,200911377,0.5407
2025-05-30,51.1700,52.9700,51.0200,52.6300,47.6707,130691263,0.5979
2025-06-30,51.9500,54.4800,51.8200,54.4000,49.8596,126730054,0.6207
2025-07-31,53.8700,55.6400,53.6330,55.1000,50.9649,120659209,0.4942
2025-08-29,54.2600,56.2558,53.6000,55.6800,51.9261,120096753,0.4438
2025-09-30,54.6100,57.5300,54.3300,57.5200,54.0739,103509940,0.4420
2025-10-31,57.0000,59.4200,56.2900,59.1000,55.9925,135234257,0.4461
2025-11-28,58.8900,58.9500,55.3500,58.8100,56.1686,118997816,0.4755
2025-12-31,57.9250,59.4250,57.1250,58.1200,56.5930,99645604,1.1293
2026-01-30,58.5600,60.1400,57.8400,59.4300,57.8686,119472736,0.0000
2026-02-27,58.8300,59.5600,56.7300,58.0400,56.9584,121660684,0.4657
2026-03-10,56.845,58.0769,56.15,57.62,57.62,56593342,0.509
2026-03-31,56.8450,58.0769,53.5100,55.5200,54.9670,170406087,0.5090
2026-04-17,55.3200,58.6900,54.4800,58.6600,58.6600,72379283,0.5586
