date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-01-23,21.55,21.6498,21.43,21.5949,21.5949,18597,0.0000,1.0
2023-01-24,21.56,21.6149,21.45,21.6149,21.6149,31276,0.0000,1.0
2023-01-25,21.4,21.6149,21.4,21.6149,21.6149,15846,0.0000,1.0
2023-01-26,21.8,21.85,21.52,21.73,21.73,6154,0.0000,1.0
2023-01-27,21.61,21.66,21.15,21.47,21.47,32556,0.0000,1.0
2023-01-30,21.26,21.37,21.19,21.23,21.23,11299,0.0000,1.0
2023-01-31,21.22,21.499,21.14,21.488,21.488,56278,0.0000,1.0
2023-02-01,21.2,21.31,20.84,21.2764,21.2764,38507,0.0000,1.0
2023-02-02,21.17,21.4,20.71,20.7285,20.7285,55784,0.0000,1.0
2023-02-03,20.97,21.06,20.45,20.57,20.57,30290,0.0000,1.0
2023-02-06,20.51,20.53,20.12,20.5,20.5,166979,0.0000,1.0
2023-02-07,20.71,20.9249,20.275,20.71,20.71,32547,0.0000,1.0
2023-02-08,20.74,20.74,20.42,20.56,20.56,10990,0.0000,1.0
2023-02-09,20.8,20.84,20.64,20.6751,20.6751,12711,0.0000,1.0
2023-02-10,20.5,20.56,20.38,20.43,20.43,11788,0.0000,1.0
2023-02-13,20.57,20.7199,20.5389,20.6649,20.6649,16122,0.0000,1.0
2023-02-14,20.69,20.87,20.6,20.8148,20.8148,14935,0.0000,1.0
2023-02-15,20.38,20.48,20.25,20.4652,20.4652,17484,0.0000,1.0
2023-02-16,20.6,20.97,20.6,20.9028,20.9028,21024,0.0000,1.0
2023-02-17,20.51,20.9,20.51,20.86,20.86,8940,0.0000,1.0
2023-02-21,21.25,21.39,21.225,21.3,21.3,14781,0.0000,1.0
2023-02-22,21.24,21.34,21.0843,21.1474,21.1474,11001,0.0000,1.0
2023-02-23,21.08,21.08,20.53,20.58,20.58,19545,0.0000,1.0
2023-02-24,20.19,20.2,20.0473,20.1079,20.1079,23841,0.0000,1.0
2023-02-27,20.208,20.48,20.2,20.32,20.32,13018,0.0000,1.0
2023-02-28,20.6113,20.97,20.6113,20.7155,20.7155,79560,0.0000,1.0
2023-03-01,21.02,21.21,20.98,21.21,21.21,8408,0.0000,1.0
2023-03-02,20.72,20.8096,20.65,20.7399,20.7399,69704,0.0000,1.0
2023-03-03,20.84,20.85,20.66,20.69,20.69,8457,0.0000,1.0
2023-03-06,20.69,20.88,20.5,20.685,20.685,7989,0.0000,1.0
2023-03-07,20.6,20.6,20.1789,20.1789,20.1789,16739,0.0000,1.0
2023-03-08,20.4,20.62,20.4,20.4851,20.4851,11396,0.0000,1.0
2023-03-09,20.52,20.52,20.33,20.3768,20.3768,4873,0.0000,1.0
2023-03-10,20.37,20.61,20.3446,20.3446,20.3446,18281,0.0000,1.0
2023-03-13,20.19,20.73,20.19,20.5672,20.5672,27179,0.0000,1.0
2023-03-14,20.61,20.61,20.3177,20.4053,20.4053,12583,0.0000,1.0
2023-03-15,19.89,19.9202,19.555,19.7595,19.7595,32202,0.0000,1.0
2023-03-16,19.55,19.748,19.45,19.74,19.74,11677,0.0000,1.0
2023-03-17,19.846,19.86,19.6908,19.77,19.77,6995,0.0000,1.0
2023-03-20,19.79,20.24,19.77,20.095,20.095,7814,0.0000,1.0
2023-03-21,20.43,20.4486,20.29,20.3792,20.3792,15000,0.0000,1.0
2023-03-22,20.5,20.87,20.48,20.62,20.62,72131,0.0000,1.0
2023-03-23,20.85,20.97,20.78,20.8375,20.8375,28511,0.0000,1.0
2023-03-24,20.74,20.79,20.69,20.7713,20.7713,5457,0.0000,1.0
2023-03-27,20.72,20.9,20.58,20.874,20.874,12105,0.0000,1.0
2023-03-28,20.785,20.87,20.75,20.77,20.77,5616,0.0000,1.0
2023-03-29,21.0,21.0,20.77,20.8,20.8,8591,0.0000,1.0
2023-03-30,20.93,21.01,20.78,21.01,21.01,94403,0.0000,1.0
2023-03-31,20.76,20.87,20.76,20.8101,20.8101,7976,0.0000,1.0
2023-04-03,20.7,20.869,20.62,20.6802,20.6802,13342,0.0000,1.0
2023-04-04,20.43,20.4322,20.09,20.25,20.25,32055,0.0000,1.0
2023-04-05,20.24,20.379,20.236,20.3157,20.3157,9800,0.0000,1.0
2023-04-06,20.32,20.52,20.3,20.4951,20.4951,8392,0.0000,1.0
