date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2018-02-28,50.2200,50.2200,48.1400,48.1500,16.0500,440,0.0000
2018-03-29,48.1500,48.1500,46.5000,46.5000,15.5000,1760,0.0000
2018-04-30,46.5000,49.0600,46.5000,47.5900,15.8633,14086,0.0000
2018-05-31,47.3400,48.5200,47.3400,47.6800,15.8933,19694,0.0000
2018-06-29,47.6800,51.5400,45.9300,45.9300,15.3100,60564,0.0000
2018-07-31,45.5300,45.6100,41.7850,43.9490,14.6497,227982,0.0000
2018-08-31,42.7700,43.0000,39.8000,41.1200,13.7067,33615,0.0000
2018-09-28,40.4400,44.1500,39.9400,43.3000,14.4333,44826,0.0000
2018-10-31,42.7200,43.8230,41.0100,41.0100,13.6700,27661,0.0000
2018-11-30,41.0100,43.4100,41.0100,42.9200,14.3067,26261,0.0000
2018-12-31,43.8300,43.8300,40.6200,40.6533,13.5511,14816,0.0000
2019-01-31,40.0500,43.1200,39.5000,42.9590,14.3197,34243,0.0000
2019-02-28,42.9600,45.7800,42.7600,45.4120,15.1373,41520,0.0000
2019-03-29,45.4700,45.4700,43.2300,45.2620,15.0873,33719,0.0000
2019-04-30,45.5650,45.8400,44.2400,44.8680,14.9560,17710,0.0000
2019-05-31,44.0000,44.0000,40.7500,40.7800,13.5933,27773,0.0000
2019-06-28,40.9300,42.3900,40.4367,42.0060,14.0020,29903,0.0000
2019-07-31,41.6000,43.3800,40.4900,41.2440,13.7480,26468,0.0000
2019-08-30,41.0780,41.2400,39.1900,39.5000,13.1667,116777,0.0000
2019-09-30,38.7000,41.8800,38.6300,39.8100,13.2700,68288,0.0000
2019-10-31,39.4200,41.7900,39.2000,40.9100,13.6367,56825,0.0000
2019-11-29,41.1100,42.3600,40.5760,41.1000,13.7000,52748,0.0000
2019-12-31,41.1220,44.2800,40.5800,43.3900,14.4633,96839,0.0000
2020-01-31,43.5000,45.2000,38.8600,38.9000,12.9667,105112,0.0000
2020-02-28,40.4000,41.0000,37.7300,38.8400,12.9467,201623,0.0000
2020-03-31,39.5900,40.5200,32.0210,34.1700,11.3900,104631,0.0000
2020-04-30,33.0600,37.0700,33.0600,36.1270,12.0423,110921,0.0000
2020-05-29,35.6000,38.7190,35.4700,37.8130,12.6043,103826,0.0000
2020-06-30,38.8000,42.2100,37.0000,42.1900,14.0633,128922,0.0000
2020-07-31,41.9800,47.3400,41.8000,44.1102,14.7034,234116,0.0000
2020-08-31,44.6200,46.7300,42.3000,46.3970,15.4657,161291,0.0000
2020-09-30,47.1300,47.4600,44.1200,45.8845,15.2948,132248,0.0000
2020-10-30,45.0000,48.7173,43.1400,46.3157,15.4386,147837,0.0000
2020-11-30,46.7300,52.7000,46.3527,52.1463,17.3821,108346,0.0000
2020-12-31,52.7400,55.4400,51.9900,53.3592,17.7864,214926,0.0000
2021-01-29,53.8600,56.7400,53.4000,53.5445,17.8482,173406,0.0000
2021-02-26,53.2000,65.8200,53.1550,61.8400,20.6133,662602,0.0000
2021-03-31,63.0000,63.8400,58.4000,60.1352,20.0451,491761,0.0000
2021-04-30,60.9200,68.5900,59.8900,67.2500,22.4167,316387,0.0000
2021-05-28,68.0500,72.5600,67.3700,70.2300,23.4100,969669,0.0000
2021-06-30,70.2500,70.8263,20.7600,21.5200,21.5200,1025987,0.0000
2021-07-30,21.5500,23.0600,20.8910,22.4600,22.4600,886939,0.0000
2021-08-31,22.5200,22.7200,20.1600,21.8700,21.8700,743745,0.0000
2021-09-30,21.4186,22.4400,20.1200,20.5400,20.5400,435140,0.0000
2021-10-29,20.8300,23.9400,20.7000,21.9000,21.9000,899882,0.0000
2021-11-30,21.7600,22.5700,21.1100,21.5700,21.5700,842903,0.0000
2021-12-31,21.6600,22.6000,20.6500,22.3400,22.3400,697641,0.0000
2022-01-31,21.9500,23.1299,21.4201,21.8300,21.8300,814745,0.0000
2022-02-28,22.0000,23.6000,22.0000,22.5828,22.5828,714991,0.0000
2022-03-31,23.0200,24.8700,22.3700,23.6600,23.6600,2441829,0.0000
2022-04-29,23.6100,24.3700,21.8400,21.8500,21.8500,1159467,0.0000
2022-05-31,21.3800,22.2900,20.3600,21.6353,21.6353,844958,0.0000
2022-06-30,21.7200,22.9900,18.3338,18.5070,18.5070,569601,0.0000
2022-07-29,18.2200,18.3272,15.8573,17.9435,17.9435,674059,0.0000
2022-08-31,17.7600,18.8400,17.0800,17.5900,17.5900,494273,0.0000
2022-09-30,17.2800,18.1100,16.3400,16.9800,16.9800,1021262,0.0000
2022-10-31,16.9800,17.8290,16.5910,16.9524,16.9524,554121,0.0000
2022-11-30,17.4100,19.8100,17.0100,19.0850,19.0850,628678,0.0000
2022-12-30,19.1000,19.8300,18.9620,19.3750,19.3750,379101,0.0000
2023-01-31,19.4000,21.9901,18.8500,21.4880,21.4880,840626,0.0000
2023-02-28,21.2000,21.4000,20.0473,20.7155,20.7155,599847,0.0000
2023-03-31,21.0200,21.2100,19.4500,20.8101,20.8101,494087,0.0000
2023-04-28,20.7000,21.3200,19.3900,19.9700,19.9700,541923,0.0000
2023-05-31,20.3500,20.3500,18.1716,18.8000,18.8000,963752,0.0000
2023-06-14,18.9700,19.5600,18.9400,19.5600,19.5600,153634,0.0000
