ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-12-31,2026-04-01,2026-04-06,0.524775
2026-03-02,2025-12-31,2026-03-02,2026-03-05,0.524572
2026-02-02,2025-12-31,2026-02-02,2026-02-05,0.560093
2025-12-18,2025-01-09,2025-12-18,2025-12-23,0.490548
2025-12-01,2025-01-09,2025-12-01,2025-12-04,0.527894
2025-11-03,2025-01-09,2025-11-03,2025-11-06,0.533377
2025-10-01,2025-01-09,2025-10-01,2025-10-06,0.537695
2025-09-02,,,,0.529384
2025-08-01,2025-01-09,2025-08-01,2025-08-06,0.539129
2025-07-01,2025-01-09,2025-07-01,2025-07-07,0.539546
2025-06-02,2025-01-09,2025-06-02,2025-06-05,0.535758
2025-05-01,2025-01-09,2025-05-01,2025-05-06,0.529054
2025-04-01,2025-01-09,2025-04-01,2025-04-04,0.532464
2025-03-03,2025-01-09,2025-03-03,2025-03-06,0.527957
2025-02-03,2025-01-09,2025-02-03,2025-02-06,0.535687
2024-12-19,2024-01-03,2024-12-19,2024-12-24,0.520153
2024-12-02,2024-01-03,2024-12-02,2024-12-05,0.524406
2024-11-01,2024-01-03,2024-11-01,2024-11-06,0.531467
2024-10-01,2024-01-03,2024-10-01,2024-10-04,0.527874
2024-09-03,2024-01-03,2024-09-03,2024-09-06,0.527279
2024-08-01,2024-01-03,2024-08-01,2024-08-06,0.524526
2024-07-01,2024-01-03,2024-07-01,2024-07-05,0.533629
2024-06-03,2024-01-03,2024-06-03,2024-06-06,0.530757
2024-05-01,2024-01-03,2024-05-02,2024-05-07,0.539162
2024-04-01,2024-01-03,2024-04-02,2024-04-05,0.50856
2024-03-01,2024-01-03,2024-03-04,2024-03-07,0.528695
2024-02-01,2024-01-03,2024-02-02,2024-02-07,0.532145
2023-12-18,2023-01-18,2023-12-19,2023-12-22,0.527047
2023-12-01,2023-01-18,2023-12-04,2023-12-07,0.514725
2023-11-01,2023-01-18,2023-11-02,2023-11-07,0.501192
2023-10-02,2023-01-18,2023-10-03,2023-10-06,0.51082
2023-09-01,2023-01-18,2023-09-05,2023-09-08,0.512096
2023-08-01,2023-01-18,2023-08-02,2023-08-07,0.519508
2023-07-03,2023-01-18,2023-07-05,2023-07-10,0.494441
2023-06-01,2023-05-31,2023-06-02,2023-06-07,0.523586
2023-05-01,2023-01-18,2023-05-02,2023-05-05,0.5005
2023-04-03,2023-01-18,2023-04-04,2023-04-10,0.4544
2023-03-01,2023-01-18,2023-03-02,2023-03-07,0.510165
2023-02-01,2023-01-18,2023-02-02,2023-02-07,0.478193
2022-12-19,2022-01-14,2022-12-20,2022-12-23,0.575342
