ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-24,2026-01-09,2026-03-24,2026-03-26,0.17559
2025-12-23,2025-01-06,2025-12-23,2025-12-26,0.25032
2025-09-23,2025-01-06,2025-09-23,2025-09-25,0.16735
2025-06-24,,,,0.17711
2025-03-25,2025-01-06,2025-03-25,2025-03-27,0.15906
2024-12-24,2024-01-04,2024-12-24,2024-12-27,0.24016
2024-09-24,2024-01-04,2024-09-24,2024-09-26,0.1743
2024-06-25,2024-01-04,2024-06-25,2024-06-27,0.18083
2024-03-19,2024-01-04,2024-03-20,2024-03-22,0.11643
2023-12-28,2023-12-27,2023-12-29,2024-01-03,0.01021
2023-12-19,2023-01-02,2023-12-20,2023-12-22,0.19278
2023-09-19,2023-01-02,2023-09-20,2023-09-22,0.141
2023-06-20,2023-01-02,2023-06-21,2023-06-23,0.1387
2023-03-21,2023-01-02,2023-03-22,2023-03-24,0.0988
2022-12-20,2022-02-02,2022-12-21,2022-12-23,0.2005
2022-09-20,2022-02-02,2022-09-21,2022-09-23,0.14451
2022-06-21,2022-06-17,2022-06-22,2022-06-24,0.1623
2022-03-22,2022-02-02,2022-03-23,2022-03-25,0.11095
2021-12-21,2021-12-20,2021-12-22,2021-12-27,0.21177
2021-09-21,2021-09-20,2021-09-22,2021-09-24,0.1336
2021-06-22,2021-06-21,2021-06-23,2021-06-25,0.1171
2021-03-23,2021-03-22,2021-03-24,2021-03-26,0.13703
2020-12-22,2020-12-15,2020-12-23,2020-12-28,0.20564
2020-09-22,2020-09-21,2020-09-23,2020-09-25,0.1172
2020-06-23,,,,0.1028
2020-03-24,,,,0.0923
2019-12-23,,,,0.16
2019-09-24,,,,0.1209
2019-06-25,,,,0.149
2019-03-20,,,,0.0921
2018-12-24,,,,0.147
2018-09-25,,,,0.129
2018-06-26,,,,0.1494
2018-03-21,,,,0.09591
2017-12-26,,,,0.10315
