ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-05-21,2026-03-10,2026-05-21,2026-06-11,0.91
2026-02-19,2025-12-02,2026-02-19,2026-03-12,0.91
2025-11-20,2025-09-15,2025-11-20,2025-12-11,0.91
2025-08-21,2025-06-10,2025-08-21,2025-09-11,0.83
2025-05-15,2025-03-11,2025-05-15,2025-06-12,0.83
2025-02-20,2024-12-03,2025-02-20,2025-03-13,0.83
2024-11-21,2024-09-16,2024-11-21,2024-12-12,0.83
2024-08-15,2024-06-12,2024-08-15,2024-09-12,0.75
2024-05-15,2024-03-12,2024-05-16,2024-06-13,0.75
2024-02-14,2023-11-28,2024-02-15,2024-03-14,0.75
2023-11-15,2023-09-19,2023-11-16,2023-12-14,0.75
2023-08-16,2023-06-13,2023-08-17,2023-09-14,0.68
2023-05-17,2023-03-14,2023-05-18,2023-06-08,0.68
2023-02-15,2022-11-29,2023-02-16,2023-03-09,0.68
2022-11-16,2022-09-20,2022-11-17,2022-12-08,0.68
2022-08-17,2022-06-14,2022-08-18,2022-09-08,0.62
2022-05-18,2022-03-14,2022-05-19,2022-06-09,0.62
2022-02-16,2021-12-07,2022-02-17,2022-03-10,0.62
2021-11-17,2021-09-14,2021-11-18,2021-12-09,0.62
2021-08-18,2021-06-16,2021-08-19,2021-09-09,0.56
2021-05-19,,,,0.56
2021-02-17,2020-12-02,2021-02-18,2021-03-11,0.56
2020-11-18,2020-09-15,2020-11-19,2020-12-10,0.56
2020-08-19,2020-06-17,2020-08-20,2020-09-10,0.51
2020-05-20,2020-03-09,2020-05-21,2020-06-11,0.51
2020-02-19,,,,0.51
2019-11-20,,,,0.51
2019-08-14,,,,0.46
2019-05-15,,,,0.46
2019-02-20,,,,0.46
2018-11-14,,,,0.46
2018-08-15,,,,0.42
2018-05-16,,,,0.42
2018-02-14,,,,0.42
2017-11-15,,,,0.42
2017-08-15,,,,0.39
2017-05-16,,,,0.39
2017-02-14,,,,0.39
2016-11-15,,,,0.39
2016-08-16,,,,0.36
2016-05-17,,,,0.36
2016-02-16,,,,0.36
2015-11-17,,,,0.36
2015-08-18,,,,0.31
2015-05-19,,,,0.31
2015-02-17,,,,0.31
2014-11-18,,,,0.31
2014-08-19,,,,0.28
2014-05-13,,,,0.28
2014-02-18,,,,0.28
2013-11-19,,,,0.28
2013-08-13,,,,0.23
2013-05-14,,,,0.23
2013-02-19,,,,0.23
2012-11-13,,,,0.23
2012-08-14,,,,0.2
2012-05-15,,,,0.2
2012-02-14,,,,0.2
2011-11-15,,,,0.2
2011-08-16,,,,0.16
2011-05-17,,,,0.16
2011-02-15,,,,0.16
2010-11-16,,,,0.16
2010-08-17,,,,0.13
2010-05-18,,,,0.13
2010-02-16,,,,0.13
2009-11-17,,,,0.13
2009-08-18,,,,0.13
2009-05-19,,,,0.13
2009-02-17,,,,0.13
2008-11-18,,,,0.13
2008-08-19,,,,0.11
2008-05-13,,,,0.11
2008-02-19,,,,0.11
2007-11-13,,,,0.11
2007-08-14,,,,0.1
2007-05-15,,,,0.1
2007-02-13,,,,0.1
2006-11-14,,,,0.1
2006-08-15,,,,0.09
2006-05-15,,,,0.09
2006-02-15,,,,0.09
2005-11-15,,,,0.08
2005-08-15,,,,0.08
2005-05-16,,,,0.08
2005-02-15,,,,0.08
2004-11-15,,,,3.08
2004-08-23,,,,0.08
2003-10-15,,,,0.16
2003-02-19,,,,0.08
