date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2015-12-31,14.5300,14.9500,12.8200,13.5500,12.4325,21683895,0.0000
2016-01-29,13.4300,14.2500,11.4500,12.5500,11.5149,20479911,0.0000
2016-02-29,12.1100,12.9500,8.4100,10.8900,9.9918,30114788,0.0000
2016-03-31,11.0600,12.3000,10.4800,11.0600,10.1478,19343262,0.0000
2016-04-29,11.0200,11.9700,10.0600,11.4000,10.4598,18647721,0.0000
2016-05-31,11.5000,15.4000,10.7200,14.0000,12.8453,25097999,0.0000
2016-06-30,14.0000,16.1000,13.1500,15.0750,13.8317,24797350,0.0000
2016-07-29,15.1200,17.0000,14.2800,15.7500,14.4510,27413492,0.0000
2016-08-31,15.7500,16.9900,14.3200,16.1900,14.8547,28935523,0.0000
2016-09-30,16.2400,18.2000,15.0500,17.7900,16.3228,23211537,0.0000
2016-10-31,17.8000,19.7400,16.9600,18.0600,16.5705,20969877,0.0000
2016-11-30,18.1500,18.9699,15.0800,17.9800,16.4971,31932771,0.0000
2016-12-30,17.6000,18.7399,16.5700,17.1000,15.6897,16719147,0.0000
2017-01-31,17.2300,18.6400,16.5700,17.3700,15.9374,23326070,0.0000
2017-02-28,16.4900,18.0900,15.9400,16.1600,14.8272,26191121,0.0000
2017-03-31,16.3100,16.9700,15.4200,16.3300,14.9832,22597947,0.0000
2017-04-28,16.3000,18.9700,16.2650,18.6300,17.0935,22854822,0.0000
2017-05-31,18.7100,20.7450,18.0000,19.4800,17.8734,38457511,0.0000
2017-06-30,19.5200,19.7100,16.5700,17.3800,15.9466,22541726,0.0000
2017-07-31,17.4500,19.1800,17.0700,18.2500,16.7448,21218020,0.0000
2017-08-31,18.2800,22.5900,18.0000,21.7500,19.9562,36035337,0.0000
2017-09-29,21.8500,24.4000,21.7100,23.1900,21.2774,39686476,0.0000
2017-10-31,23.2300,27.0200,23.2300,26.7400,24.5346,30616060,0.0000
2017-11-30,26.9600,32.8700,26.3300,29.4000,26.9752,45833118,0.0000
2017-12-29,29.2500,32.1500,27.5900,31.3100,28.7277,27191944,0.0000
2018-01-31,31.5000,35.4050,30.8460,34.9400,32.0583,27394456,0.0000
2018-02-28,34.8000,43.5200,32.4000,40.0500,36.7469,52977682,0.0000
2018-03-29,39.9500,47.1000,38.4800,44.4400,40.7748,40506127,0.0000
2018-04-30,44.4500,48.6500,40.4700,47.1200,43.2338,31279335,0.0000
2018-05-31,47.2200,47.3200,33.4800,41.1500,37.7562,109606532,0.0000
2018-06-29,41.3600,44.5300,38.2900,38.7400,35.5449,43741396,0.0000
2018-07-31,38.1400,40.4500,35.2000,36.1200,33.1410,38528774,0.0000
2018-08-31,35.9700,52.1200,35.6500,50.0500,45.9221,75789352,0.0000
2018-09-28,50.1100,60.9500,48.7200,57.9100,53.1339,40799584,0.0000
2018-10-31,58.5400,59.3200,47.2500,51.7200,47.4544,49536665,0.0000
2018-11-30,52.0500,54.6800,33.3000,40.2700,36.9487,74940124,0.0000
2018-12-31,41.5100,43.7300,37.0000,42.7700,41.2854,47749485,2.0000
2019-01-31,42.0600,54.5700,40.4700,53.4900,51.6332,33488605,0.0000
2019-02-28,53.4900,60.9100,51.5000,55.3800,53.4576,43146448,0.0000
2019-03-29,55.9800,59.9250,52.3050,56.6100,54.6449,31214009,0.0000
2019-04-30,57.2500,63.1200,53.8300,60.4000,58.3034,30783779,0.0000
2019-05-31,60.6500,75.2810,58.6800,68.6500,66.2670,45877088,0.0000
2019-06-28,68.2800,73.9100,65.3700,67.2700,64.9349,33274310,0.0000
2019-07-31,68.6000,79.3000,67.9390,75.2900,72.6765,28439582,0.0000
2019-08-30,75.3800,95.3180,69.8600,84.8000,81.8564,66199787,0.0000
2019-09-30,84.8000,89.3820,66.5700,71.4400,68.9602,50753028,0.0000
2019-10-31,71.2900,78.3100,69.9300,72.9900,70.4564,41134272,0.0000
2019-11-29,73.1100,74.7600,61.5000,70.4800,68.0335,51112966,0.0000
2019-12-31,70.3900,84.2100,66.6600,82.1100,79.2598,43260271,0.0000
2020-01-31,82.7700,92.5100,78.0100,78.2200,75.5048,36366904,0.0000
2020-02-28,78.2700,83.0100,62.2300,65.0000,62.7437,57545776,0.0000
2020-03-31,65.0000,73.2500,44.7400,66.0400,63.7476,79607024,0.0000
2020-04-30,64.1300,83.5900,60.1700,76.9600,74.2886,43106357,0.0000
2020-05-29,75.6200,91.7720,72.2800,89.0400,85.9492,40437493,0.0000
2020-06-30,89.1200,107.9500,82.5700,107.0500,103.3341,55012210,0.0000
2020-07-31,106.0000,108.4500,87.5600,102.7000,99.1351,115132587,0.0000
2020-08-31,103.7800,123.0000,103.0650,111.6800,107.8033,62880832,0.0000
2020-09-30,110.8700,117.6200,100.2500,110.6500,106.8091,60462582,0.0000
2020-10-30,112.2300,127.4200,107.0500,116.7800,112.7263,43145704,0.0000
2020-11-30,117.5100,143.0900,116.2300,139.2100,134.3777,47354655,0.0000
2020-12-31,141.2100,159.5300,137.3902,151.1900,145.9419,51760531,0.0000
2021-01-29,153.3100,159.8500,130.0000,139.8600,135.0052,46613854,0.0000
2021-02-26,142.4100,174.6800,137.5800,152.8500,147.5442,66458686,0.0000
2021-03-31,157.8700,157.9000,129.6800,137.3800,132.6112,55739268,0.0000
2021-04-30,139.5400,160.2500,138.3000,155.6300,150.2277,34679076,0.0000
