date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2021-03-31,19.0000,19.4300,11.3900,13.7000,13.7000,49576594,0.0000
2021-04-30,14.2300,14.4000,11.4000,12.6700,12.6700,17767247,0.0000
2021-05-28,12.7300,15.2500,10.4500,14.1000,14.1000,14953098,0.0000
2021-06-30,14.2803,17.2694,13.4100,16.2100,16.2100,12696245,0.0000
2021-07-30,16.2400,16.4200,12.8000,15.4500,15.4500,21159770,0.0000
2021-08-31,15.8200,16.7311,13.4100,16.1100,16.1100,48262720,0.0000
2021-09-30,16.2800,23.9700,15.4300,18.9100,18.9100,102157453,0.0000
2021-10-29,18.9817,22.7000,17.5300,22.4500,22.4500,65025644,0.0000
2021-11-30,24.1500,34.8500,19.6300,32.3800,32.3800,164315356,0.0000
2021-12-31,33.2500,37.6000,20.1600,20.6400,20.6400,155676376,0.0000
2022-01-31,21.0450,21.2000,7.5000,9.7300,9.7300,272244391,0.0000
2022-02-28,10.0000,10.4200,5.7100,7.4100,7.4100,281674061,0.0000
2022-03-31,7.5600,9.3600,6.4600,8.1200,8.1200,192947609,0.0000
2022-04-29,8.1600,8.7200,5.4400,5.7400,5.7400,112416301,0.0000
2022-05-31,5.7100,6.0600,3.9400,5.4900,5.4900,166039783,0.0000
2022-06-30,5.5100,5.9250,3.5600,3.6600,3.6600,158204116,0.0000
2022-07-29,3.6500,4.4600,3.5100,4.2500,4.2500,66053574,0.0000
2022-08-31,4.2200,7.4450,4.0604,4.6100,4.6100,146496246,0.0000
2022-09-30,4.5100,4.7500,3.6000,3.7900,3.7900,71407821,0.0000
2022-10-31,3.7900,4.2999,3.2200,3.4900,3.4900,56575802,0.0000
2022-11-30,3.5650,3.9000,2.6200,3.1500,3.1500,92128306,0.0000
2022-12-30,3.2000,3.3300,2.3700,2.8000,2.8000,72867418,0.0000
2023-01-31,2.8700,3.5900,2.5300,3.5200,3.5200,55695821,0.0000
2023-02-28,3.5100,4.0700,3.0000,3.0500,3.0500,62814760,0.0000
2023-03-31,3.0400,3.0700,2.5000,2.7300,2.7300,68523155,0.0000
2023-04-28,2.7000,2.8700,2.3100,2.3300,2.3300,40523601,0.0000
2023-05-31,2.3300,3.0000,2.2000,2.9700,2.9700,64205637,0.0000
2023-06-30,2.9400,3.3899,2.5600,3.1500,3.1500,99900113,0.0000
2023-07-31,3.1100,3.7800,2.8850,3.3900,3.3900,44877479,0.0000
2023-08-31,3.3700,3.5000,2.3301,2.6800,2.6800,54154679,0.0000
2023-09-29,2.7000,2.7400,2.1000,2.1700,2.1700,41794400,0.0000
2023-10-31,2.1700,2.2900,1.8400,2.0400,2.0400,39364413,0.0000
2023-11-30,2.0200,2.7750,1.9200,2.5200,2.5200,53096868,0.0000
2023-12-29,2.5100,2.9887,2.3700,2.6900,2.6900,54266852,0.0000
2024-01-31,2.6600,2.6800,2.1400,2.2500,2.2500,33886446,0.0000
2024-02-29,2.2700,2.5400,2.0100,2.1200,2.1200,56595222,0.0000
2024-03-28,2.1300,2.3400,1.7400,2.2600,2.2600,65927655,0.0000
2024-04-30,2.2800,4.9900,1.7300,4.6000,4.6000,165123770,0.0000
2024-05-31,4.5900,4.6600,4.2600,4.4000,4.4000,60051053,0.0000
2024-06-28,4.4000,4.4800,3.9000,4.4700,4.4700,53102357,0.0000
2024-07-31,4.4000,4.6000,4.0800,4.4400,4.4400,35914888,0.0000
2024-08-30,4.4100,4.5300,3.9402,4.5300,4.5300,35560485,0.0000
2024-09-30,4.4300,4.6500,4.1150,4.5000,4.5000,36851808,0.0000
2024-10-31,4.4800,4.8700,4.4300,4.5600,4.5600,39926174,0.0000
2024-11-29,4.5800,4.9800,4.4600,4.7600,4.7600,38903625,0.0000
2024-12-31,4.7500,5.0000,4.6100,4.7400,4.7400,49921756,0.0000
2025-01-31,4.8000,5.2500,4.7000,5.2100,5.2100,83413918,0.0000
2025-02-28,5.1000,5.4600,5.1000,5.3800,5.3800,121824618,0.0000
