ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-09-05,2026-04-01,2026-04-07,0.282116
2026-03-02,2025-09-05,2026-03-02,2026-03-05,0.29222
2026-02-02,2025-09-05,2026-02-02,2026-02-05,0.279049
2025-12-19,2024-07-04,2025-12-19,2025-12-24,0.285497
2025-12-01,2024-07-04,2025-12-01,2025-12-04,0.288186
2025-11-03,2024-07-04,2025-11-03,2025-11-06,0.275176
2025-10-01,2024-07-04,2025-10-01,2025-10-06,0.287191
2025-09-02,2024-07-04,2025-09-02,2025-09-05,0.280482
2025-08-01,2024-07-04,2025-08-01,2025-08-06,0.27752
2025-07-01,2024-07-04,2025-07-01,2025-07-07,0.280653
2025-06-02,2024-07-04,2025-06-02,2025-06-05,0.275163
2025-05-01,2024-07-04,2025-05-01,2025-05-06,0.284812
2025-04-01,2024-07-04,2025-04-01,2025-04-04,0.277354
2025-03-03,2024-07-04,2025-03-03,2025-03-06,0.281533
2025-02-03,2024-07-04,2025-02-03,2025-02-06,0.27072
2024-12-18,2023-11-22,2024-12-18,2024-12-23,0.272242
2024-12-02,2023-11-22,2024-12-02,2024-12-05,0.27043
2024-11-01,2023-11-22,2024-11-01,2024-11-06,0.268036
2024-10-01,2023-11-22,2024-10-01,2024-10-04,0.275861
2024-09-03,2023-11-22,2024-09-03,2024-09-06,0.268257
2024-08-01,2023-11-22,2024-08-01,2024-08-06,0.264328
2024-07-01,2023-11-22,2024-07-01,2024-07-05,0.260401
2024-06-03,2023-11-22,2024-06-03,2024-06-07,0.278149
2024-05-01,2024-04-30,2024-05-02,2024-05-07,0.261419
2024-04-01,2023-11-22,2024-04-02,2024-04-05,0.259859
2024-03-01,2024-02-29,2024-03-04,2024-03-07,0.26827
2024-02-01,2024-01-31,2024-02-02,2024-02-07,0.258236
2023-12-14,2022-11-24,2023-12-15,2023-12-20,0.254369
2023-12-01,2022-11-24,2023-12-04,2023-12-07,0.251136
2023-11-01,2022-11-24,2023-11-02,2023-11-07,0.252266
2023-10-02,2022-11-24,2023-10-03,2023-10-06,0.241769
2023-09-01,2022-11-24,2023-09-05,2023-09-08,0.233571
2023-08-01,2022-11-24,2023-08-02,2023-08-07,0.236131
2023-07-03,2022-11-24,2023-07-05,2023-07-10,0.24
