date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-18,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-19,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-20,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-21,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-24,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-25,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-26,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-11-28,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-12-01,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-12-02,1e-06,1e-06,1e-06,1e-06,1e-06,500,0.0,1.0
2025-12-03,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-12-04,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0,1.0
2025-12-05,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-08,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-09,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-10,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-11,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-12,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-15,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-16,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-17,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-18,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-19,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-22,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-23,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-24,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-26,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-29,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-30,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2025-12-31,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-02,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-05,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-07,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-08,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-09,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-12,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-13,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-15,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-16,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-20,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-21,1e-06,1e-06,1e-06,1e-06,1e-06,1990,0.0000,1.0
2026-01-23,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-26,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-28,1e-06,1e-06,1e-06,1e-06,1e-06,190,0.0000,1.0
2026-01-29,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-01-30,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-02,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-03,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-04,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-05,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-09,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-10,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-11,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-12,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-13,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-17,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-18,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-19,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-20,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-23,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-24,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-25,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-26,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-02-27,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-02,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-03,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-04,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-05,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-09,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-10,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-11,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-12,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-13,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-16,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-17,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-18,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-19,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-20,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-23,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-24,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-25,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-26,1e-06,1e-06,1e-06,1e-06,1e-06,25,0.0000,1.0
2026-03-27,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-30,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-03-31,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-01,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-02,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-07,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-08,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-09,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-10,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-13,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-14,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-15,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-16,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-17,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-20,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-21,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-22,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-23,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-24,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-27,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-28,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-29,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-04-30,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-05-01,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-05-04,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
2026-05-05,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.0000,1.0
