date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,101.72,103.95,101.72,103.41,102.266905689723,1336827,0.0,1.0
2025-11-24,103.22,103.29,102.47,102.89,101.752653770579,1201518,0.0,1.0
2025-11-25,103.28,104.42,103.28,104.3,103.147067628257,706543,0.0,1.0
2025-11-26,104.3,105.08,104.16,104.82,103.661319547401,679387,0.0,1.0
2025-11-28,104.95,105.38,104.78,105.11,103.948113886923,449099,0.0,1.0
2025-12-01,104.84,105.455,104.565,104.67,103.512977647648,454198,0.0,1.0
2025-12-02,104.75,104.91,103.76,104.13,102.978946808537,569023,0.0,1.0
2025-12-03,104.18,104.96,104.18,104.79,103.63165116745,791067,0.0,1.0
2025-12-04,104.79,105.12,104.235,104.5,103.344856827928,742922,0.0,1.0
2025-12-05,104.46,104.995,104.405,104.65,103.493198727681,651952,0.0,1.0
2025-12-08,104.72,104.72,103.23,103.28,102.138342709937,1101342,0.0,1.0
2025-12-09,103.32,103.98,103.06,103.1,101.960332430233,593482,0.0,1.0
2025-12-10,103.31,104.6258,103.3,104.38,103.226183308125,1035330,0.0000,1.0
2025-12-11,104.56,105.72,104.56,105.53,104.363471206232,771069,0.0000,1.0
2025-12-12,105.73,106.15,105.51,105.71,104.541481485935,2087076,0.0000,1.0
2025-12-15,106.0,106.2,105.5687,106.0,104.828275825458,538331,0.0000,1.0
2025-12-16,105.98,106.24,104.715,105.08,103.918445506973,528026,0.0000,1.0
2025-12-17,105.16,105.89,105.03,105.42,104.254687146413,597619,0.0000,1.0
2025-12-18,105.58,105.96,105.0144,105.2,104.037119026775,459700,0.0000,1.0
2025-12-19,105.27,105.435,105.0,105.05,103.888777127022,331900,0.0000,1.0
2025-12-22,105.14,105.72,104.975,105.54,104.373360666215,315471,0.0000,1.0
2025-12-23,105.56,105.56,105.206,105.23,104.066787406726,373820,0.0000,1.0
2025-12-24,104.66,105.165,104.6,105.09,104.582214193715,583113,0.6612,1.0
2025-12-26,104.97,105.26,104.71,105.14,104.631972598033,431734,0.0000,1.0
2025-12-29,105.07,105.349,104.91,105.06,104.552359151125,462298,0.0000,1.0
2025-12-30,105.13,105.13,104.785,104.92,104.413035619037,523453,0.0000,1.0
2025-12-31,104.92,104.92,104.07,104.07,103.567142745646,390562,0.0000,1.0
2026-01-02,104.2,104.74,103.35,104.46,103.95525829932,795282,0.0000,1.0
2026-01-05,104.5,105.3599,104.09,105.13,104.622020917169,773841,0.0000,1.0
2026-01-06,105.01,106.43,104.89,106.3,105.78636757819,850786,0.0000,1.0
2026-01-07,106.32,106.6,105.08,105.08,104.572262512852,907796,0.0000,1.0
2026-01-08,104.83,107.05,104.7,106.73,106.214289855317,1141220,0.0000,1.0
2026-01-09,106.74,107.27,106.615,107.09,106.5725503664,723388,0.0000,1.0
2026-01-12,107.11,107.74,106.74,107.61,107.090037771298,785127,0.0000,1.0
2026-01-13,107.87,108.395,107.57,108.18,107.657283580513,456088,0.0000,1.0
2026-01-14,108.11,109.45,108.11,109.4,108.871388645851,651285,0.0000,1.0
2026-01-15,109.4,110.01,109.165,109.77,109.239600837798,653584,0.0000,1.0
2026-01-16,109.5,109.7399,109.0,109.32,108.791775198944,483443,0.0000,1.0
2026-01-20,108.51,108.8,107.96,108.33,107.806558793465,755899,0.0000,1.0
2026-01-21,108.74,109.835,108.65,109.62,109.090325624846,1106504,0.0000,1.0
2026-01-22,109.55,110.11,109.47,109.6,109.070422263119,785235,0.0000,1.0
2026-01-23,109.55,109.6,108.95,109.37,108.841533603261,813741,0.0000,1.0
2026-01-26,109.61,109.9,109.26,109.55,109.020663858802,514759,0.0000,1.0
2026-01-27,109.22,109.63,108.93,109.55,109.020663858802,438816,0.0000,1.0
2026-01-28,109.33,109.52,108.38,108.63,108.105109219367,698081,0.0000,1.0
2026-01-29,109.22,109.9992,108.69,109.26,108.732065113763,1060901,0.0000,1.0
2026-01-30,108.75,110.0,108.75,109.97,109.438634455066,716815,0.0000,1.0
2026-02-02,109.98,110.665,109.74,110.53,109.995928583418,762612,0.0000,1.0
2026-02-03,110.06,111.86655,110.0,111.19,110.652739520404,796983,0.0000,1.0
2026-02-04,111.35,113.28,111.35,113.0,112.453993756683,1301414,0.0000,1.0
2026-02-05,112.84,113.31,112.14,112.35,111.807134500561,851493,0.0000,1.0
2026-02-06,112.85,113.985,112.85,113.85,113.299886630074,719075,0.0000,1.0
2026-02-09,113.63,113.85,112.85,113.27,112.722689139996,821093,0.0000,1.0
2026-02-10,113.08,114.225,112.985,113.91,113.359596715255,554348,0.0000,1.0
2026-02-11,114.16,114.78,113.83,114.5,113.946745886197,498718,0.0000,1.0
2026-02-12,114.63,115.31,113.28,113.28,112.732640820859,1300436,0.0000,1.0
2026-02-13,113.41,114.45,113.11,114.0,113.449161843026,778457,0.0000,1.0
2026-02-17,114.0,114.58,112.64,113.17,112.623172331362,709479,0.0000,1.0
2026-02-18,113.15,113.74,112.935,113.58,113.031191246762,714602,0.0000,1.0
2026-02-19,113.43,113.86,112.81,113.18,112.633124012225,534079,0.0000,1.0
2026-02-20,113.0,113.85,112.77,113.67,113.120756374533,601962,0.0000,1.0
2026-02-23,113.49,114.19,113.145,113.44,112.891867714674,514808,0.0000,1.0
2026-02-24,113.22,114.07,113.22,113.96,113.409355119572,527119,0.0000,1.0
2026-02-25,114.13,114.13,112.56,113.33,112.782399225176,481839,0.0000,1.0
2026-02-26,113.78,114.4,113.22,113.84,113.289934949211,497727,0.0000,1.0
2026-02-27,113.4,114.7058,113.3,114.59,114.036311013968,601785,0.0000,1.0
2026-03-02,113.99,114.6559,113.45,114.25,113.697953864611,1061263,0.0000,1.0
2026-03-03,112.92,113.5,111.51,113.1,112.553510565318,1374399,0.0000,1.0
2026-03-04,113.46,113.46,112.22,112.53,111.986264756102,835411,0.0000,1.0
2026-03-05,112.03,112.08,110.6,111.17,110.632836158677,1478979,0.0000,1.0
2026-03-06,110.39,110.46,109.11,110.31,109.776991604422,984241,0.0000,1.0
2026-03-09,109.59,110.42,108.145,110.17,109.637668072335,1191145,0.0000,1.0
2026-03-10,110.04,110.26,108.96,109.11,108.582789900812,1356285,0.0000,1.0
2026-03-11,109.05,109.125,107.95,108.55,108.02549577246,958459,0.0000,1.0
2026-03-12,107.895,108.55,107.27,107.31,106.791487345395,911272,0.0000,1.0
2026-03-13,108.01,108.51,107.29,107.41,106.89100415403,1144234,0.0000,1.0
2026-03-16,108.07,108.54,107.67,107.93,107.408491558928,941553,0.0000,1.0
2026-03-17,108.37,108.76,107.885,107.95,107.428394920655,539852,0.0000,1.0
2026-03-18,107.54,107.54,106.02,106.02,105.507720514014,890287,0.0000,1.0
2026-03-19,105.59,106.105,104.98,105.52,105.010136470843,1029028,0.0000,1.0
2026-03-20,105.35,105.79,103.8,104.15,103.646756192554,1039349,0.0000,1.0
2026-03-23,105.36,106.28,105.0,105.2,104.691682683213,1013915,0.0000,1.0
2026-03-24,104.7,106.105,104.41,105.41,104.900667981345,1546054,0.0000,1.0
2026-03-25,105.4,105.98,104.58,105.5,105.5,912417,0.5122,1.0
2026-03-26,104.94,106.19,104.94,105.2,105.2,1041442,0.0000,1.0
2026-03-27,105.0,105.7,104.43,104.57,104.57,957510,0.0000,1.0
2026-03-30,105.28,105.755,104.39,104.67,104.67,787328,0.0000,1.0
2026-03-31,105.28,106.31,104.59,106.01,106.01,2148649,0.0000,1.0
2026-04-01,105.96,106.47,105.76,105.97,105.97,1014119,0.0000,1.0
