ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-01-16,2026-03-25,2026-03-31,0.512242
2025-12-24,,,,0.661188
2025-09-24,2025-01-20,2025-09-24,2025-09-30,0.548744
2025-06-25,2025-01-20,2025-06-25,2025-07-01,0.550012
2025-03-26,2025-01-20,2025-03-26,2025-04-01,0.465379
2024-12-23,2023-12-22,2024-12-23,2024-12-31,0.586338
2024-09-25,2023-12-22,2024-09-25,2024-10-02,0.522315
2024-06-26,2023-12-22,2024-06-26,2024-07-03,0.550235
2024-03-20,2023-12-22,2024-03-21,2024-03-27,0.386266
2023-12-20,2023-01-23,2023-12-21,2023-12-28,0.655835
2023-09-20,2023-01-23,2023-09-21,2023-09-27,0.521068
2023-06-21,2023-01-23,2023-06-22,2023-06-28,0.462991
2023-03-22,2023-01-23,2023-03-23,2023-03-29,0.353893
2022-12-22,2022-02-07,2022-12-23,2022-12-30,0.60037
2022-09-21,2022-02-07,2022-09-22,2022-09-28,0.403209
2022-06-22,2022-02-07,2022-06-23,2022-06-29,0.388262
2022-03-23,2022-02-07,2022-03-24,2022-03-30,0.352262
2021-12-23,2021-01-20,2021-12-27,2021-12-31,0.633571
2021-09-22,2021-09-21,2021-09-23,2021-09-29,0.413424
2021-06-22,2021-01-20,2021-06-23,2021-06-29,0.437185
2021-03-23,2021-01-20,2021-03-24,2021-03-30,0.376026
2020-12-23,2020-01-30,2020-12-24,2020-12-31,0.534768
2020-09-23,2020-01-30,2020-09-24,2020-09-30,0.415076
2020-06-24,2020-01-30,2020-06-25,2020-07-01,0.413303
2020-03-25,2020-01-30,2020-03-26,2020-04-01,0.343763
2019-12-24,,,,0.440285
2019-09-25,,,,0.363678
2019-06-25,,,,0.385819
2019-03-20,,,,0.240249
2018-12-26,,,,0.420242
2018-09-26,,,,0.347312
2018-06-20,,,,0.426414
2018-03-21,,,,0.242157
2017-12-26,,,,0.372259
2017-09-27,,,,0.332935
2017-06-21,,,,0.215225
2017-03-22,,,,0.193865
2016-12-21,,,,0.423717
2016-09-21,,,,0.273418
2016-06-22,,,,0.246691
2016-03-23,,,,0.205465
2015-12-22,,,,0.291475
2015-09-23,,,,0.248191
2015-06-24,,,,0.258102
2015-03-25,,,,0.198332
2014-12-22,,,,0.23919
2014-09-24,,,,0.214678
2014-06-25,,,,0.165512
2014-03-26,,,,0.179929
2013-12-24,,,,0.134373
