date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2013-11-29,42.8600,43.8300,42.1100,43.3600,33.5232,1548195,0.0000
2013-12-31,43.5100,44.5300,42.6399,44.1200,34.2154,1271720,0.1344
2014-01-31,44.1800,44.1800,41.7400,42.1000,32.6489,2048633,0.0000
2014-02-28,42.2100,44.2500,40.9600,44.0800,34.1844,941592,0.0000
2014-03-31,44.2300,44.6200,43.5000,44.3600,34.5430,1236746,0.1799
2014-04-30,44.5900,44.9500,43.3220,44.8600,34.9323,1500344,0.0000
2014-05-30,44.8900,45.6100,44.4400,45.6100,35.5163,1375450,0.0000
2014-06-30,45.7000,46.5400,45.4690,46.1000,36.0269,1169646,0.1655
2014-07-31,46.2200,46.7200,44.8300,44.8400,35.0422,740923,0.0000
2014-08-29,44.8200,46.7500,44.5414,46.6000,36.4177,728185,0.0000
2014-09-30,46.4900,47.4400,46.2200,46.3600,36.3959,828591,0.2147
2014-10-31,46.3600,48.5000,43.9900,48.3500,37.9582,3036644,0.0000
2014-11-28,48.5900,50.4600,48.1702,50.2900,39.4813,2075991,0.0000
2014-12-31,50.1600,50.9100,48.4373,50.1200,39.5340,3161506,0.2392
2015-01-30,50.4700,50.6300,48.6800,48.7400,38.4455,3314049,0.0000
2015-02-27,48.7000,51.3499,48.3501,51.0200,40.2439,2996339,0.0000
2015-03-31,51.0000,51.2900,49.3517,50.2400,39.7861,3617522,0.1983
2015-04-30,50.1200,51.1300,49.6100,49.7200,39.3743,1969324,0.0000
2015-05-29,49.9500,51.2300,49.6100,50.3600,39.8811,1902193,0.0000
2015-06-30,50.6300,50.9800,49.1400,49.2000,39.1627,2143751,0.2581
2015-07-31,49.9100,50.6200,49.2000,50.4100,40.1259,2471527,0.0000
2015-08-31,50.3600,50.9299,36.9800,47.9000,38.1280,5131722,0.0000
2015-09-30,47.0900,48.7100,45.6586,46.5000,37.2102,3163052,0.2482
2015-10-30,46.5900,50.2100,45.9080,49.9100,39.9390,3041611,0.0000
2015-11-30,50.0200,50.6500,48.4600,50.0300,40.0350,2840634,0.0000
2015-12-31,50.1500,50.4900,48.3500,49.3300,39.7092,3730046,0.2915
2016-01-29,48.8000,48.8000,44.6104,48.2400,38.8318,4662725,0.0000
2016-02-29,48.0000,49.9700,46.3800,49.1500,39.5643,5575646,0.0000
2016-03-31,49.4800,52.6900,49.3960,52.3200,42.2836,9118755,0.2055
2016-04-29,52.0800,53.5900,51.8700,52.7400,42.6230,7979054,0.0000
2016-05-31,52.8600,53.5700,51.6900,53.1400,42.9463,6727511,0.0000
2016-06-30,53.0000,54.4100,51.4800,54.4100,44.1751,9599678,0.2467
2016-07-29,54.4300,56.2800,54.0126,55.6500,45.1819,8053631,0.0000
2016-08-31,55.5000,56.0300,55.0100,55.3500,44.9383,6244217,0.0000
2016-09-30,55.3700,55.7000,53.2696,54.3300,44.3331,7328233,0.2734
2016-10-31,54.2600,54.2600,51.5142,51.8300,42.2931,7396933,0.0000
2016-11-30,51.7500,54.1700,51.2300,53.6200,43.7537,8545756,0.0000
2016-12-30,53.8100,55.3700,53.4700,53.9100,44.3333,7448449,0.4237
2017-01-31,54.0200,54.9800,53.6050,54.2800,44.6376,8730196,0.0000
2017-02-28,54.1900,56.6000,53.7800,56.2700,46.2741,6499673,0.0000
2017-03-31,56.7200,57.0800,55.6875,56.2100,46.3841,6498799,0.1939
2017-04-28,56.1900,57.4199,55.6901,57.0400,47.0690,5271400,0.0000
