date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,56.49,57.16,56.31,56.67,55.4211451731019,7221735,0.0,1.0
2025-11-24,56.9,57.03,56.3,56.49,55.2451118903922,10444721,0.0,1.0
2025-11-25,56.7,57.04,56.465,56.72,55.4700433071879,7259967,0.0,1.0
2025-11-26,56.74,57.4,56.68,57.14,55.8807876335106,5129892,0.0,1.0
2025-11-28,56.91,57.62,56.88,57.61,56.6039910366429,3490804,0.2695,1.0
2025-12-01,57.3,57.59,57.0245,57.43,56.4271342689533,4602078,0.0,1.0
2025-12-02,57.59,57.73,57.0648,57.5,56.4959119008326,4730697,0.0,1.0
2025-12-03,57.74,58.25,57.52,58.09,57.075609083815,6560840,0.0,1.0
2025-12-04,58.105,58.62,57.87,58.21,57.1935135956081,6072561,0.0,1.0
2025-12-05,58.2,58.86,58.1038,58.48,57.4587987471424,5419778,0.0,1.0
2025-12-08,58.47,58.47,57.32,57.32,56.319055133143,7865202,0.0,1.0
2025-12-09,57.52,57.8,57.0,57.05,56.0537699816087,5649922,0.0,1.0
2025-12-10,57.09,57.575,56.65,56.67,55.4469313026488,7983901,0.0000,1.0
2025-12-11,56.98,57.395,56.69,57.22,55.9850610400134,5385902,0.0000,1.0
2025-12-12,57.29,57.92,57.29,57.72,56.4742698921632,5165968,0.0000,1.0
2025-12-15,57.89,58.16,57.64,58.08,56.8265002657109,6600122,0.0000,1.0
2025-12-16,58.11,58.17,57.41,57.44,56.2003129349593,5410374,0.0000,1.0
2025-12-17,57.39,57.88,57.19,57.76,56.5134066003351,6212391,0.0000,1.0
2025-12-18,57.84,58.02,56.61,56.77,55.5447730730787,9714464,0.0000,1.0
2025-12-19,56.83,57.205,56.31,56.33,55.1142692831869,14314543,0.0000,1.0
2025-12-22,56.36,56.75,56.01,56.67,55.4469313026488,6001623,0.0000,1.0
2025-12-23,56.72,56.8,55.86,55.93,54.7229022014672,6825147,0.0000,1.0
2025-12-24,56.15,56.74,56.135,56.67,55.4469313026488,2415475,0.0000,1.0
2025-12-26,56.625,56.84,56.415,56.69,55.4664996567347,4445801,0.0000,1.0
2025-12-29,56.76,57.05,56.72,56.81,55.5839097812507,6390351,0.0000,1.0
2025-12-30,56.93,57.08,56.73,57.03,55.7991616761965,4993740,0.0000,1.0
2025-12-31,56.73,56.75,56.34,56.37,55.4175787715198,4774388,0.2700,1.0
2026-01-02,56.35,57.535,55.92,57.31,56.3416966364342,6203117,0.0000,1.0
2026-01-05,57.3,58.09,56.77,57.85,56.8725728567043,6824386,0.0000,1.0
2026-01-06,57.94,57.94,56.7,57.42,56.4498380887115,12238078,0.0000,1.0
2026-01-07,57.73,57.92,57.0,57.35,56.3810208008987,5629886,0.0000,1.0
2026-01-08,57.32,58.54,57.295,58.29,57.3051386658132,5709600,0.0000,1.0
2026-01-09,58.22,58.67,58.02,58.17,57.1871661724198,5188087,0.0000,1.0
2026-01-12,58.4,59.06,58.3,58.89,57.8950011327798,6354725,0.0000,1.0
2026-01-13,58.95,59.38,58.67,59.23,58.2292565307276,5062131,0.0000,1.0
2026-01-14,59.29,60.32,59.26,60.31,59.2910089712677,6755241,0.0000,1.0
2026-01-15,60.3,60.7498,60.15,60.72,59.6940816570282,6752756,0.0000,1.0
2026-01-16,60.47,61.54,60.38,61.42,60.382254535156,7223374,0.0000,1.0
2026-01-20,61.42,61.945,60.87,61.62,60.5788753574782,7160364,0.0000,1.0
2026-01-21,61.8,61.86,60.945,61.79,60.7460030564521,6318953,0.0000,1.0
2026-01-22,61.76,61.95,60.79,60.85,59.8218851915377,7229830,0.0000,1.0
2026-01-23,60.92,60.95,60.185,60.74,59.7137437392604,5406256,0.0000,1.0
2026-01-26,61.04,61.13,60.26,60.4,59.3794883413127,6867058,0.0000,1.0
2026-01-27,60.41,60.965,60.23,60.92,59.8907024793504,5957982,0.0000,1.0
2026-01-28,60.92,61.16,59.9,60.07,59.055063984481,5077776,0.0000,1.0
2026-01-29,60.33,60.78,60.1,60.78,59.7530679037249,5344194,0.0000,1.0
2026-01-30,60.63,61.23,60.395,61.16,60.3920855762721,7304143,0.2700,1.0
2026-02-02,61.03,61.28,60.45,60.53,59.7699957477396,5991313,0.0000,1.0
2026-02-03,60.54,61.64,60.53,61.46,60.6883188279543,6649041,0.0000,1.0
2026-02-04,61.68,62.532,61.25,62.46,61.6757630002282,8623779,0.0000,1.0
2026-02-05,62.565,63.75,62.47,63.36,62.5644627552747,8392549,0.0000,1.0
2026-02-06,63.4,63.9,62.6501,63.23,62.4360950128791,4717552,0.0000,1.0
2026-02-09,63.18,63.23,62.56,63.09,62.2978528287608,4743254,0.0000,1.0
2026-02-10,63.22,64.14,62.98,63.9,63.0976826083026,5549431,0.0000,1.0
2026-02-11,63.94,64.62,63.625,64.5,63.690149111667,6624451,0.0000,1.0
2026-02-12,64.7,66.28,64.7,64.78,63.9666334799037,13316750,0.0000,1.0
2026-02-13,65.02,66.0,64.75,65.66,64.8355843515047,5767336,0.0000,1.0
2026-02-17,65.75,66.735,65.75,66.49,65.655163014492,6984464,0.0000,1.0
2026-02-18,66.4,66.44,65.02,65.07,64.2529922898631,7854630,0.0000,1.0
2026-02-19,65.21,65.69,64.8676,65.5,64.6775932839409,5367721,0.0000,1.0
2026-02-20,65.83,66.365,65.5,66.14,65.3095575541962,5576767,0.0000,1.0
2026-02-23,66.39,67.15,66.25,66.68,65.8427774072241,5348659,0.0000,1.0
2026-02-24,66.6,66.92,66.225,66.52,65.6847863396603,5999981,0.0000,1.0
