ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-30,2026-04-14,2026-04-30,2026-05-15,0.2705
2026-03-31,2026-03-11,2026-03-31,2026-04-15,0.2705
2026-02-27,2026-02-17,2026-02-27,2026-03-13,0.27
2026-01-30,2026-01-13,2026-01-30,2026-02-13,0.27
2025-12-31,2025-12-09,2025-12-31,2026-01-15,0.27
2025-11-28,2025-11-07,2025-11-28,2025-12-15,0.2695
2025-10-31,2025-10-14,2025-10-31,2025-11-14,0.2695
2025-10-01,2025-09-09,2025-10-01,2025-10-15,0.2695
2025-09-02,2025-08-14,2025-09-02,2025-09-15,0.269
2025-08-01,2025-07-08,2025-08-01,2025-08-15,0.269
2025-07-01,2025-06-10,2025-07-01,2025-07-15,0.269
2025-06-02,2025-05-12,2025-06-02,2025-06-13,0.2685
2025-05-01,2025-04-08,2025-05-01,2025-05-15,0.2685
2025-04-01,2025-03-12,2025-04-01,2025-04-15,0.2685
2025-03-03,2025-02-19,2025-03-03,2025-03-14,0.268
2025-02-03,2025-01-14,2025-02-03,2025-02-14,0.264
2025-01-02,2024-12-10,2025-01-02,2025-01-15,0.264
2024-12-02,2024-11-08,2024-12-02,2024-12-13,0.2635
2024-11-01,2024-10-08,2024-11-01,2024-11-15,0.2635
2024-10-01,2024-09-10,2024-10-01,2024-10-15,0.2635
2024-09-03,2024-08-15,2024-09-03,2024-09-13,0.263
2024-08-01,2024-07-09,2024-08-01,2024-08-15,0.263
2024-07-01,2024-06-11,2024-07-01,2024-07-15,0.263
2024-06-03,2024-05-17,2024-06-03,2024-06-14,0.2625
2024-04-30,2024-04-09,2024-05-01,2024-05-15,0.257
2024-03-28,2024-03-13,2024-04-01,2024-04-15,0.257
2024-02-29,2024-02-13,2024-03-01,2024-03-15,0.2565
2024-01-31,2024-01-09,2024-02-01,2024-02-15,0.2565
2023-12-29,2023-12-12,2024-01-02,2024-01-12,0.2565
2023-11-30,2023-11-08,2023-12-01,2023-12-15,0.256
2023-10-31,2023-10-10,2023-11-01,2023-11-15,0.256
2023-09-29,2023-09-12,2023-10-02,2023-10-13,0.256
2023-08-31,2023-08-15,2023-09-01,2023-09-15,0.2555
