date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,13.36,13.445,13.32,13.42,12.9246179951258,5665545,0.0,1.0
2025-11-24,13.35,13.48,13.325,13.47,12.9727723095637,8650974,0.0,1.0
2025-11-25,13.37,13.425,13.31,13.41,12.9149871322382,3697711,0.0,1.0
2025-11-26,13.46,13.59,13.43,13.59,13.0883426642146,9408584,0.0,1.0
2025-11-28,13.61,13.76,13.61,13.75,13.2424364704158,4833654,0.0,1.0
2025-12-01,13.75,13.78,13.7335,13.76,13.2520673333033,5063788,0.0,1.0
2025-12-02,13.73,13.7619,13.67,13.7,13.1942821559779,3710843,0.0,1.0
2025-12-03,13.77,13.81,13.735,13.76,13.2520673333033,3684534,0.0,1.0
2025-12-04,13.75,13.82,13.7093,13.8,13.2905907848536,3239700,0.0,1.0
2025-12-05,13.88,13.95,13.84,13.89,13.3772685508418,3799579,0.0,1.0
2025-12-08,13.79,13.81,13.71,13.72,13.213543881753,4501949,0.0,1.0
2025-12-09,13.69,13.7199,13.66,13.68,13.1750204302027,2937105,0.0,1.0
2025-12-10,13.66,13.79,13.65,13.78,13.2713290590785,3284619,0.0000,1.0
2025-12-11,13.67,13.77,13.67,13.77,13.2616981961909,5803233,0.0000,1.0
2025-12-12,13.76,13.76,13.605,13.63,13.1268661157649,5850292,0.0000,1.0
2025-12-15,13.63,13.63,13.525,13.57,13.0690809384394,6079585,0.0000,1.0
2025-12-16,13.49,13.5,13.43,13.44,12.9438797209009,3784213,0.0000,1.0
2025-12-17,13.53,13.62,13.521984,13.6,13.0979735271021,4472768,0.0000,1.0
2025-12-18,13.57,13.61,13.5044,13.52,13.0209266240015,3812594,0.0000,1.0
2025-12-19,13.57,13.64,13.57,13.62,13.1172352528773,4183418,0.0000,1.0
2025-12-22,13.25,13.27,13.23,13.27,13.27,3817747,0.5086,1.0
2025-12-23,13.34,13.42,13.2801,13.4,13.4,4621965,0.0000,1.0
2025-12-24,13.425,13.45,13.36,13.42,13.42,2622852,0.0000,1.0
2025-12-26,13.465,13.5,13.4201,13.45,13.45,3911310,0.0000,1.0
2025-12-29,13.39,13.407,13.31,13.34,13.34,5215910,0.0000,1.0
2025-12-30,13.46,13.4799,13.42,13.42,13.42,3448715,0.0000,1.0
2025-12-31,13.36,13.38,13.25,13.25,13.25,11264161,0.0000,1.0
2026-01-02,13.28,13.3,13.225,13.28,13.28,7285846,0.0000,1.0
2026-01-05,13.44,13.55,13.44,13.53,13.53,6645021,0.0000,1.0
2026-01-06,13.62,13.65,13.52,13.54,13.54,5059029,0.0000,1.0
2026-01-07,13.48,13.485,13.393833,13.41,13.41,3980863,0.0000,1.0
2026-01-08,13.39,13.57,13.39,13.56,13.56,4559442,0.0000,1.0
2026-01-09,13.61,13.67,13.56,13.56,13.56,2882453,0.0000,1.0
2026-01-12,13.68,13.79,13.6638,13.76,13.76,4029601,0.0000,1.0
2026-01-13,13.83,13.92,13.815,13.86,13.86,5317751,0.0000,1.0
2026-01-14,13.99,14.03,13.8,13.88,13.88,5854430,0.0000,1.0
2026-01-15,13.75,13.8399,13.72,13.77,13.77,4702193,0.0000,1.0
2026-01-16,13.77,13.79,13.695,13.73,13.73,3593468,0.0000,1.0
2026-01-20,13.97,13.99,13.9101,13.93,13.93,4094415,0.0000,1.0
2026-01-21,14.11,14.12,14.03,14.08,14.08,4219707,0.0000,1.0
2026-01-22,14.09,14.1,14.03,14.09,14.09,4602718,0.0000,1.0
2026-01-23,14.28,14.36,14.275,14.34,14.34,4683238,0.0000,1.0
2026-01-26,14.45,14.5499,14.36,14.42,14.42,5396318,0.0000,1.0
2026-01-27,14.43,14.625,14.38,14.62,14.62,5389345,0.0000,1.0
2026-01-28,14.7,14.83,14.6639,14.82,14.82,4993357,0.0000,1.0
2026-01-29,15.24,15.265,14.705,15.02,15.02,11443305,0.0000,1.0
2026-01-30,14.71,14.76,14.21,14.52,14.52,16827233,0.0000,1.0
2026-02-02,14.04,14.11,13.89,13.97,13.97,22923284,0.0000,1.0
2026-02-03,14.22,14.35,14.175,14.33,14.33,10923792,0.0000,1.0
2026-02-04,14.37,14.415,14.21,14.36,14.36,10540473,0.0000,1.0
2026-02-05,14.115,14.2116,14.04,14.12,14.12,6690202,0.0000,1.0
2026-02-06,14.16,14.35,14.16,14.26,14.26,5807738,0.0000,1.0
2026-02-09,14.26,14.43,14.24,14.4,14.4,9272422,0.0000,1.0
2026-02-10,14.38,14.3999,14.27,14.34,14.34,4896944,0.0000,1.0
2026-02-11,14.49,14.52,14.3966,14.49,14.49,5123054,0.0000,1.0
2026-02-12,14.42,14.43,14.12,14.16,14.16,6093345,0.0000,1.0
2026-02-13,14.16,14.23,14.1,14.17,14.17,6092741,0.0000,1.0
