date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,44.25,45.05,44.06,44.91,44.2065325125717,471228,0.0,1.0
2025-11-24,45.0,45.67,44.8243,45.63,44.9152544767011,183564,0.0,1.0
2025-11-25,45.97,46.23,45.7,46.095,45.3729707452013,148272,0.0,1.0
2025-11-26,46.32,47.2,46.32,46.96,46.2244214382179,185037,0.0,1.0
2025-11-28,47.32,47.5467,47.2,47.4,46.6575293051859,365405,0.0,1.0
2025-12-01,47.9,48.08,47.68,47.76,47.0118902872506,392400,0.0,1.0
2025-12-02,47.82,47.8299,47.26,47.81,47.0611070903151,432799,0.0,1.0
2025-12-03,48.31,49.1,48.265,49.05,48.2816838063157,796801,0.0,1.0
2025-12-04,48.82,49.12,48.65,49.09,48.3210572487674,878839,0.0,1.0
2025-12-05,49.6,49.7898,49.089,49.16,48.3899607730577,450808,0.0,1.0
2025-12-08,49.28,49.3076,48.72,48.89,48.1241900365092,195965,0.0,1.0
2025-12-09,48.65,48.9905,48.08,48.72,47.9568529060898,349960,0.0,1.0
2025-12-10,49.15,49.9,48.9601,49.84,49.0593092947355,520358,0.0000,1.0
2025-12-11,49.8,50.555,49.61,50.39,49.6006941284455,535067,0.0000,1.0
2025-12-12,50.71,50.85,49.395,49.74,48.9608756886064,238884,0.0000,1.0
2025-12-15,50.39,50.39,49.51,49.75,48.9707190492193,344136,0.0000,1.0
2025-12-16,48.86,49.075,48.53,48.78,48.78,176674,0.7762,1.0
2025-12-17,49.33,49.53,49.065,49.2,49.2,748961,0.0000,1.0
2025-12-18,49.43,49.67,49.15,49.41,49.41,121564,0.0000,1.0
2025-12-19,49.63,50.08,49.3934,49.91,49.91,870402,0.0000,1.0
2025-12-22,50.59,51.089,50.3201,51.06,51.06,549434,0.0000,1.0
2025-12-23,51.18,51.56,51.0101,51.49,51.49,848074,0.0000,1.0
2025-12-24,51.83,51.83,51.28,51.54,51.54,780841,0.0000,1.0
2025-12-26,52.01,52.42,51.71,52.35,52.35,413486,0.0000,1.0
2025-12-29,51.41,51.615,50.895,51.07,51.07,482448,0.0000,1.0
2025-12-30,51.54,51.8199,51.47,51.6,51.6,276092,0.0000,1.0
2025-12-31,51.6,51.68,51.16,51.34,51.34,1061800,0.0000,1.0
2026-01-02,52.25,52.45,51.855,52.36,52.36,528365,0.0000,1.0
2026-01-05,53.18,53.79,53.0,53.73,53.73,606312,0.0000,1.0
2026-01-06,54.48,55.3,54.32,55.16,55.16,1990865,0.0000,1.0
2026-01-07,54.71,54.71,53.96,54.35,54.35,1232864,0.0000,1.0
2026-01-08,53.58,53.955,53.01,53.89,53.89,697315,0.0000,1.0
2026-01-09,54.39,54.545,53.86,54.43,54.43,1144360,0.0000,1.0
2026-01-12,55.27,55.67,54.64,55.59,55.59,855065,0.0000,1.0
2026-01-13,56.27,56.36,55.5301,55.66,55.66,671714,0.0000,1.0
2026-01-14,56.19,57.11,56.19,56.99,56.99,2104112,0.0000,1.0
2026-01-15,57.1,57.35,56.78,57.07,57.07,1681929,0.0000,1.0
2026-01-16,56.56,56.56,55.48,56.21,56.21,1493274,0.0000,1.0
2026-01-20,56.5,56.73,56.07,56.6,56.6,931948,0.0000,1.0
2026-01-21,58.23,58.58,57.63,58.18,58.18,1190384,0.0000,1.0
2026-01-22,58.54,58.54,57.5,57.88,57.88,585840,0.0000,1.0
2026-01-23,58.65,59.435,58.1,59.21,59.21,1870448,0.0000,1.0
2026-01-26,61.19,61.2,59.5,59.58,59.58,2379730,0.0000,1.0
2026-01-27,60.17,61.06,59.68,60.95,60.95,1576708,0.0000,1.0
2026-01-28,61.66,61.68,60.51,61.33,61.33,2185467,0.0000,1.0
2026-01-29,63.8,63.8,60.52,61.95,61.95,2230919,0.0000,1.0
2026-01-30,59.86,59.86,57.165,58.31,58.31,3228132,0.0000,1.0
2026-02-02,57.75,58.4447,57.695,58.32,58.32,1850305,0.0000,1.0
2026-02-03,60.35,61.15,59.8706,61.0,61.0,1166694,0.0000,1.0
2026-02-04,62.02,62.02,59.19,60.23,60.23,716653,0.0000,1.0
2026-02-05,58.83,59.09,57.41,57.41,57.41,1008672,0.0000,1.0
2026-02-06,58.78,59.396,58.525,59.28,59.28,483173,0.0000,1.0
2026-02-09,59.99,61.15,59.55,61.02,61.02,482680,0.0000,1.0
2026-02-10,61.22,61.22,60.62,60.99,60.99,1029166,0.0000,1.0
2026-02-11,62.4,62.58,61.35,62.39,62.39,603133,0.0000,1.0
2026-02-12,62.9,62.9,60.47,60.68,60.68,694081,0.0000,1.0
2026-02-13,60.25,60.8799,59.2038,60.63,60.63,396416,0.0000,1.0
2026-02-17,59.78,59.78,58.16,59.63,59.63,707576,0.0000,1.0
2026-02-18,60.49,61.19,60.2696,60.63,60.63,241703,0.0000,1.0
2026-02-19,59.41,60.28,59.13,60.2,60.2,548505,0.0000,1.0
2026-02-20,60.29,61.54,60.2,61.44,61.44,436370,0.0000,1.0
2026-02-23,61.51,62.16,61.07,62.03,62.03,333006,0.0000,1.0
2026-02-24,61.825,63.14,61.825,62.86,62.86,693609,0.0000,1.0
2026-02-25,64.36,64.94,63.9,64.42,64.42,817628,0.0000,1.0
2026-02-26,64.08,64.225,62.64,64.13,64.13,894616,0.0000,1.0
2026-02-27,64.42,64.65,63.88,64.34,64.34,391717,0.0000,1.0
2026-03-02,63.96,64.4785,63.112,64.36,64.36,873210,0.0000,1.0
2026-03-03,60.0,60.96,58.37,60.54,60.54,882743,0.0000,1.0
2026-03-04,61.58,61.59,60.81,61.23,61.23,318250,0.0000,1.0
2026-03-05,60.13,60.13,58.0272,58.79,58.79,600362,0.0000,1.0
2026-03-06,57.52,57.93,56.91,57.37,57.37,1008304,0.0000,1.0
2026-03-09,55.73,58.16,55.25,58.01,58.01,1069922,0.0000,1.0
2026-03-10,58.77,59.9,58.515,58.77,58.77,290785,0.0000,1.0
2026-03-11,58.47,59.15,58.01,58.78,58.78,291260,0.0000,1.0
2026-03-12,58.09,58.25,56.825,57.25,57.25,1017190,0.0000,1.0
2026-03-13,56.98,57.1965,55.23,55.36,55.36,715963,0.0000,1.0
2026-03-16,56.02,56.7867,55.78,56.5,56.5,1023848,0.0000,1.0
2026-03-17,56.81,57.1199,56.3811,56.58,56.58,399220,0.0000,1.0
2026-03-18,55.82,55.83,54.81,54.81,54.81,391108,0.0000,1.0
2026-03-19,52.64,54.09,51.8,53.8,53.8,827527,0.0000,1.0
2026-03-20,53.29,53.8,51.475,51.83,51.83,767151,0.0000,1.0
2026-03-23,53.13,54.6732,53.13,53.96,53.96,939509,0.0000,1.0
2026-03-24,53.19,54.25,52.905,54.06,54.06,514341,0.0000,1.0
2026-03-25,55.54,55.73,54.99,55.32,55.32,441113,0.0000,1.0
2026-03-26,54.0,54.6,53.53,53.59,53.59,304205,0.0000,1.0
2026-03-27,53.32,54.5999,53.3167,53.89,53.89,462078,0.0000,1.0
2026-03-30,55.06,55.37,53.57,53.93,53.93,652498,0.0000,1.0
2026-03-31,55.195,56.84,55.11,56.59,56.59,864575,0.0000,1.0
2026-04-01,57.73,58.5,57.46,57.85,57.85,394310,0.0000,1.0
2026-04-02,56.0,57.775,56.0,57.35,57.35,240995,0.0000,1.0
2026-04-06,57.76,57.76,57.005,57.43,57.43,119990,0.0000,1.0
2026-04-07,57.5,57.72,56.73,57.61,57.61,412951,0.0000,1.0
2026-04-08,61.09,61.8319,60.23,60.7,60.7,629777,0.0000,1.0
2026-04-09,60.64,61.28,60.44,60.88,60.88,1072320,0.0000,1.0
2026-04-10,61.49,61.93,61.06,61.29,61.29,652063,0.0000,1.0
2026-04-13,61.14,62.25,60.88,62.175,62.175,400906,0.0000,1.0
2026-04-14,62.9,63.075,62.53,62.95,62.95,326864,0.0000,1.0
2026-04-15,62.69,62.79,62.19,62.61,62.61,576971,0.0000,1.0
2026-04-16,63.05,63.21,62.475,62.76,62.76,302931,0.0000,1.0
