date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2012-03-30,25.7700,25.7700,23.1740,23.5960,26.4710,100800,0.0000
2012-04-30,23.6000,23.7699,22.4300,23.1500,25.9707,80300,0.0000
2012-05-31,23.3800,23.5200,19.0600,19.3590,21.7177,809800,0.0000
2012-06-29,18.8564,21.4600,18.7400,19.9500,22.5226,65300,0.1295
2012-07-31,20.1700,20.5500,18.2800,19.5200,22.0371,42900,0.0000
2012-08-31,19.5200,20.8400,18.6300,19.3000,21.7888,121500,0.0000
2012-09-28,18.9500,22.9400,18.6700,20.5500,23.2000,554700,0.0000
2012-10-31,20.8900,21.8600,20.4100,20.8900,23.5838,638900,0.0000
2012-11-30,20.8800,21.3399,19.5900,20.8900,23.5838,1411200,0.0000
2012-12-31,20.9200,22.7800,20.8200,22.6400,25.7426,261600,0.1610
2013-01-31,23.2000,23.6500,22.3000,22.7400,25.8563,593900,0.0000
2013-02-28,22.9900,23.2700,20.9600,21.3140,24.2349,387000,0.0000
2013-03-28,21.2100,21.4600,19.6600,19.9400,22.6726,364000,0.0000
2013-04-30,20.0600,20.4000,18.0682,19.1400,21.7630,1331000,0.0000
2013-05-31,19.1800,20.1600,18.6600,18.6700,21.2286,552300,0.0000
2013-06-28,18.8500,18.9400,16.2700,16.3900,18.8874,736900,0.2245
2013-07-31,16.6500,18.2800,16.1425,17.8100,20.5237,340000,0.0000
2013-08-30,18.1100,19.5000,17.5000,17.8200,20.5353,1245200,0.0000
2013-09-30,18.8500,20.4900,18.3700,19.7700,22.7824,1081900,0.0000
2013-10-31,19.7300,21.0500,19.1800,20.4000,23.5084,931100,0.0000
2013-11-29,20.0600,21.1000,19.1580,19.7588,22.7695,5820100,0.0000
2013-12-31,19.4300,20.0400,18.8003,20.0000,23.5905,1546700,0.4538
2014-01-31,20.0000,20.0000,18.3000,18.6640,22.0146,899400,0.0000
2014-02-28,18.8100,20.3299,18.0000,19.7600,23.3074,877800,0.0000
2014-03-31,19.3800,19.9261,18.0400,19.4200,22.9064,499200,0.0000
2014-04-30,19.6000,20.1020,19.2000,19.6000,23.1187,572000,0.0000
2014-05-30,19.5160,20.4700,19.4000,19.5700,23.0833,687100,0.0000
2014-06-30,19.7500,20.6600,19.3000,20.1000,23.9455,404700,0.1984
2014-07-31,20.3700,21.8000,20.0000,20.9600,24.9700,1028200,0.0000
2014-08-29,20.7500,21.2400,20.2000,20.3700,24.2671,778400,0.0000
2014-09-30,20.6500,20.9900,17.8100,18.2400,21.7296,947869,0.0000
2014-10-31,18.1200,18.4000,16.8000,17.7500,21.1459,1611245,0.0000
2014-11-28,17.7300,17.9500,16.7801,16.9000,20.1333,436338,0.0000
2014-12-31,16.8000,16.8600,14.6806,15.6400,18.9451,1474704,0.2531
2015-01-30,15.5000,15.6500,14.1600,14.3000,17.3219,1345634,0.0000
2015-02-27,14.3100,16.3800,14.3100,16.1300,19.5386,1011448,0.0000
2015-03-31,16.0400,16.0600,14.2100,14.7100,17.8186,1197773,0.0000
2015-04-30,14.7700,16.4800,14.5700,16.0400,19.4296,2087198,0.0000
2015-05-29,16.2800,16.6300,15.2800,15.4400,18.7028,1484047,0.0000
2015-06-30,15.5600,15.7863,13.1600,13.1600,17.2524,783716,1.1377
2015-07-31,13.3300,13.3300,11.3900,11.7200,15.3646,2057191,0.0000
2015-08-31,11.6800,12.0900,9.9500,10.7400,14.0799,2029249,0.0000
2015-09-30,10.2500,10.9300,9.0800,9.4100,12.3363,4075900,0.0000
2015-10-30,9.5500,11.4200,9.3900,10.1900,13.3588,6545263,0.0000
2015-11-30,10.1700,10.6499,8.9800,9.1100,11.9430,2855758,0.0000
2015-12-31,9.1500,9.2300,8.0000,8.4200,11.2974,5563055,0.1899
2016-01-29,8.3200,8.6100,6.5650,7.3700,9.8886,3138422,0.0000
2016-02-29,7.3600,8.4991,7.0100,8.2600,11.0828,2526926,0.0000
2016-03-31,8.4100,10.0000,8.3000,9.6200,12.9075,6506803,0.0000
2016-04-29,9.4200,11.4200,9.0100,11.1200,14.9201,9368159,0.0000
2016-05-31,11.1900,11.2000,9.2000,9.6200,12.9075,4949711,0.0000
