ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-06-04,2026-04-17,2026-06-04,2026-06-25,0.92
2026-03-05,2026-01-16,2026-03-05,2026-03-26,0.89
2025-12-04,2025-10-06,2025-12-04,2025-12-18,0.89
2025-09-04,2025-07-07,2025-09-04,2025-09-25,0.89
2025-06-05,2025-04-09,2025-06-05,2025-06-26,0.89
2025-03-06,2025-01-17,2025-03-06,2025-03-27,0.85
2024-12-05,2024-10-07,2024-12-05,2024-12-19,0.85
2024-09-05,2024-07-17,2024-09-05,2024-09-26,0.85
2024-05-30,2024-04-12,2024-05-30,2024-06-20,0.85
2024-02-28,2024-01-19,2024-02-29,2024-03-21,0.8
2023-11-29,2023-10-13,2023-11-30,2023-12-14,0.8
2023-08-30,2023-07-14,2023-08-31,2023-09-21,0.8
2023-05-31,2023-04-12,2023-06-01,2023-06-22,0.8
2023-03-01,2023-01-18,2023-03-02,2023-03-23,0.75
2022-11-30,2022-10-14,2022-12-01,2022-12-15,0.75
2022-08-31,2022-07-15,2022-09-01,2022-09-22,0.75
2022-06-01,2022-04-13,2022-06-02,2022-06-23,0.75
2022-03-02,2022-01-18,2022-03-03,2022-03-24,0.68
2021-12-01,2021-10-13,2021-12-02,2021-12-16,0.68
2021-09-01,2021-07-14,2021-09-02,2021-09-23,0.68
2021-06-02,,,,0.68
2021-03-03,2021-01-20,2021-03-04,2021-03-25,0.65
2020-12-02,2020-10-14,2020-12-03,2020-12-17,0.65
2020-09-02,2020-07-15,2020-09-03,2020-09-24,0.65
2020-06-03,,,,0.65
2020-03-04,,,,0.62
2019-12-04,,,,0.62
2019-09-11,,,,0.62
2019-06-05,,,,0.62
2019-03-06,,,,0.62
2018-12-06,,,,0.62
2018-09-04,,,,0.62
2018-05-29,,,,0.62
2018-02-27,,,,0.57
2017-11-28,,,,0.57
2017-08-28,,,,0.57
2017-05-26,,,,0.57
2017-02-27,,,,0.53
2016-11-28,,,,0.53
2016-08-29,,,,0.53
2016-05-27,,,,0.53
2016-02-29,,,,0.48
2015-11-27,,,,0.48
2015-08-31,,,,0.48
2015-06-01,,,,0.48
2015-03-02,,,,0.42
2014-11-26,,,,0.42
2014-08-29,,,,0.42
2014-06-02,,,,0.42
2014-03-03,,,,0.35
2013-11-27,,,,0.35
2013-08-30,,,,0.35
2013-06-03,,,,0.35
2013-03-06,,,,0.25
2012-12-05,,,,0.25
2012-09-05,,,,0.25
2012-05-30,,,,0.25
2012-02-29,,,,0.215
2012-02-28,,,,0.0
2011-11-21,,,,0.215
2011-08-24,,,,0.215
2011-05-25,,,,0.215
2011-02-23,,,,0.19
2010-11-22,,,,0.19
2010-08-25,,,,0.19
2010-05-26,,,,0.19
2010-02-24,,,,0.17
2009-11-23,,,,0.17
2009-08-26,,,,0.17
2009-05-27,,,,0.17
2009-02-25,,,,0.16
2008-12-09,,,,0.16
2008-08-27,,,,0.16
2008-05-28,,,,0.16
2008-02-27,,,,0.14
2007-12-05,,,,0.14
2007-08-29,,,,0.14
2007-05-30,,,,0.14
2007-02-28,,,,0.12
2006-12-05,,,,0.12
2006-08-23,,,,0.12
2006-05-24,,,,0.12
2006-02-22,,,,0.09
2005-12-05,,,,0.09
2005-08-24,,,,0.09
2005-05-25,,,,0.09
2005-02-23,,,,0.07
2004-12-06,,,,0.07
2004-08-25,,,,0.07
2004-05-26,,,,0.1
2004-02-25,,,,0.07
2003-11-25,,,,0.07
2003-08-27,,,,0.07
2003-05-28,,,,0.05
2003-03-12,,,,0.05
