ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-01-21,2026-03-25,2026-03-31,0.01319
2025-12-24,,,,0.022572
2025-09-24,2025-01-21,2025-09-24,2025-09-30,0.040722
2025-06-25,2025-01-21,2025-06-25,2025-07-01,0.124163
2025-03-26,2025-01-21,2025-03-26,2025-04-01,0.025641
2024-12-23,2023-12-26,2024-12-23,2024-12-31,0.061374
2024-09-25,2023-12-26,2024-09-25,2024-10-02,0.051454
2024-06-26,2023-12-26,2024-06-26,2024-07-03,0.105971
2024-03-20,2023-12-26,2024-03-21,2024-03-27,0.05545
2023-12-20,2023-01-23,2023-12-21,2023-12-28,0.078222
2023-09-20,2023-01-23,2023-09-21,2023-09-27,0.176282
2022-12-22,2022-06-24,2022-12-23,2022-12-30,0.109151
2020-03-25,2020-01-30,2020-03-26,2020-04-01,0.009093
2019-12-24,,,,0.04985
2019-06-25,,,,0.041447
2019-03-20,,,,0.062751
2018-12-26,,,,0.040013
2017-06-21,,,,0.007073
2017-03-22,,,,0.019222
2016-12-21,,,,0.059457
2016-06-22,,,,0.040359
2016-06-21,,,,0.0
2016-03-23,,,,0.084812
2015-12-22,,,,0.045959
2015-03-25,,,,0.0786192
2014-12-22,,,,0.0800932
2014-06-25,,,,0.1803852
2013-03-20,,,,0.131202
2012-12-26,,,,0.0815812
2008-06-24,,,,0.0330504
2007-12-20,,,,5.0876504
2007-03-27,,,,0.01222
2006-12-20,,,,5.4213608
