date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2006-07-31,72.8000,73.1500,60.7000,65.7500,0.8951,4200200,0.0000
2006-08-31,64.5500,72.3000,62.8001,71.7000,0.9761,7395500,0.0000
2006-09-29,72.7000,81.6300,69.4000,77.9000,1.0605,6970900,0.0000
2006-10-31,77.5500,86.3100,74.8400,84.9000,1.1558,8921600,0.0000
2006-11-30,85.5000,93.7500,80.9600,90.0200,1.2255,10716200,0.0000
2006-12-29,90.2300,93.0590,80.1000,81.0400,1.1751,11364100,5.4214
2007-01-31,82.5500,89.4200,78.4100,83.4500,1.2100,15570500,0.0000
2007-02-28,84.4700,89.1300,78.5000,80.4900,1.1671,14636700,0.0000
2007-03-30,77.2000,84.2400,75.6300,80.9800,1.1744,29943800,0.0122
2007-04-30,81.3200,92.1000,79.8400,89.4500,1.2972,16986700,0.0000
2007-05-31,89.5000,94.8200,88.1800,94.7100,1.3735,22780200,0.0000
2007-06-29,95.0700,96.2100,89.3488,95.1300,1.3796,26869200,0.0000
2007-07-31,95.1500,106.8600,93.5200,94.0000,1.3632,32080200,0.0000
2007-08-31,93.3300,99.6000,81.3800,97.9300,1.4202,62583400,0.0000
2007-09-28,98.4800,109.0200,93.6700,108.1000,1.5677,35589500,0.0000
2007-10-31,108.2700,122.7500,107.5201,122.4700,1.7760,57028900,0.0000
2007-11-30,121.0000,121.7000,95.2000,105.4600,1.5294,103788000,0.0000
2007-12-31,105.2500,111.4100,95.1000,99.2200,1.5131,76788600,5.0877
2008-01-31,99.4000,100.0000,64.5300,75.0500,1.1445,275453000,0.0000
2008-02-29,77.0100,78.3900,66.1300,68.7400,1.0483,204388600,0.0000
2008-03-31,68.3500,74.4500,62.0100,69.9500,1.0668,275377800,0.0000
2008-04-30,72.4500,83.9400,69.6300,80.8500,1.2330,259728000,0.0000
2008-05-30,81.0600,92.1900,80.9400,90.5000,1.3802,293341100,0.0000
2008-06-30,89.8600,92.5500,72.5000,73.3500,1.1191,322162400,0.0331
2008-07-31,71.7200,76.2800,66.9400,73.6700,1.1240,389345100,0.0000
2008-08-29,73.7000,83.5500,69.7700,75.1100,1.1459,280708500,0.0000
2008-09-30,77.5700,78.2100,46.8000,52.0000,0.7934,508675900,0.0000
2008-10-31,51.6000,52.0700,25.5400,34.7800,0.5306,1217173600,0.0000
2008-11-28,34.7440,37.2900,19.7200,26.4400,0.4034,945298200,0.0000
2008-12-31,25.3300,29.1700,22.3100,26.8900,0.4103,688856400,0.0000
2009-01-30,27.0800,30.4500,23.6400,25.3300,0.3865,595120400,0.0000
2009-02-27,24.8600,30.1100,22.3200,22.5200,0.3436,727418500,0.0000
2009-03-31,21.8800,29.0000,19.4600,27.0100,0.4121,810400600,0.0000
2009-04-30,26.2500,35.3700,26.0000,34.1200,0.5206,560656300,0.0000
2009-05-29,34.1600,36.2500,31.5200,36.1000,0.5508,396514800,0.0000
2009-06-30,36.8800,39.9800,34.8800,38.1000,0.5813,383556300,0.0000
2009-07-31,38.4600,46.3000,33.8800,44.5800,0.6801,299642200,0.0000
2009-08-31,45.6300,48.2400,42.3300,45.7700,0.6983,238849800,0.0000
2009-09-30,45.4500,53.2700,43.5200,50.9700,0.7776,206434700,0.0000
2009-10-30,50.6300,54.6800,47.3100,47.7000,0.7277,232425000,0.0000
2009-11-30,47.8100,56.6000,46.9700,53.7200,0.8196,179406900,0.0000
2009-12-31,54.5700,60.8200,53.0500,59.4800,0.9075,129985100,0.0000
2010-01-29,60.8300,61.7000,51.3400,51.7400,0.7894,168898400,0.0000
2010-02-26,52.0200,57.2000,50.0500,56.4800,0.8617,159814700,0.0000
2010-03-31,56.9000,66.5700,56.9000,65.4400,0.9984,133972000,0.0000
2010-04-30,65.8700,72.1900,64.3500,68.2000,1.0405,162860100,0.0000
2010-05-28,68.6600,70.6900,48.1400,57.7900,0.8817,232574400,0.0000
