date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2020-11-30,111.6500,123.3000,109.7000,123.0100,118.8443,1334056,0.0000
2020-12-31,124.0700,129.3600,122.4410,128.9100,124.7470,1873916,0.2063
2021-01-29,129.6000,135.6800,125.4500,129.3700,125.1921,2388342,0.0000
2021-02-26,130.9100,138.9301,127.8850,129.7200,125.5308,2492487,0.0000
2021-03-31,131.2300,133.3700,122.3300,131.2200,127.1350,3074108,0.1575
2021-04-30,132.6500,140.8500,132.5600,138.8300,134.5081,2172844,0.0000
2021-05-28,139.4200,139.7100,129.9100,137.2300,132.9579,2634770,0.0000
2021-06-30,137.8500,145.9500,135.0000,145.7300,141.3753,2303443,0.1824
2021-07-30,145.5900,151.5899,144.7500,149.8400,145.3625,4823549,0.0000
2021-08-31,150.5700,156.4745,147.9400,156.1300,151.4646,6309411,0.0000
2021-09-30,156.6300,157.3098,147.0000,147.1100,142.8718,10999220,0.1662
2021-10-29,147.4000,158.7600,143.9800,158.7500,154.1765,8838618,0.0000
2021-11-30,158.9700,167.9100,158.0400,161.8900,157.2260,14422294,0.0000
2021-12-31,163.7800,166.3800,155.2600,163.5500,158.9892,12561400,0.1488
2022-01-31,164.1100,165.4000,137.4400,149.3100,145.1463,25254131,0.0000
2022-02-28,149.9000,152.1900,130.8775,142.7900,138.8081,18045702,0.0000
2022-03-31,142.2000,152.9200,130.6000,148.9700,145.0104,20108359,0.1936
2022-04-29,149.2200,151.9000,128.6000,128.9400,125.5128,15811342,0.0000
2022-05-31,128.7000,135.8300,115.2800,126.9400,123.5660,26080746,0.0000
2022-06-30,127.7100,129.3600,110.7800,115.2000,112.3370,14724794,0.2052
2022-07-29,114.6900,130.1100,113.8600,129.7900,126.5644,13998289,0.0000
2022-08-31,129.0600,137.5500,122.8100,123.2200,120.1577,19425846,0.0000
2022-09-30,122.0300,127.9600,109.8600,109.9500,107.4372,19165593,0.2454
2022-10-31,110.7700,117.0500,104.6200,114.3500,111.7367,22230595,0.0000
2022-11-30,115.8700,120.7400,106.5700,120.7400,117.9806,20950752,0.0000
2022-12-30,120.8200,122.1000,106.8800,109.5300,107.2875,21932577,0.2704
2023-01-31,110.5000,122.7000,107.1400,121.2200,118.7381,16730121,0.0000
2023-02-28,121.1200,129.0500,119.3299,120.7900,118.3169,22368295,0.0000
2023-03-31,120.6200,132.0700,117.3500,132.0100,129.5687,31928096,0.2543
2023-04-28,131.0600,132.6800,127.4700,132.6800,130.2263,14292829,0.0000
2023-05-31,132.4600,145.5600,129.6000,143.0900,140.4438,22339255,0.0000
2023-06-30,143.0600,153.3600,142.6000,151.9800,149.3835,29256249,0.2167
2023-07-31,152.2200,159.5700,149.5100,157.9300,155.2318,19262595,0.0000
2023-08-31,157.2800,157.7800,145.9100,155.4300,152.7745,26366089,0.0000
2023-09-29,156.5100,156.6700,144.5300,147.4100,145.1242,22078527,0.2448
2023-10-31,147.4800,153.6700,140.8400,144.3300,142.0919,34265148,0.0000
2023-11-30,144.6900,162.1500,144.6600,159.9500,157.4697,34212048,0.0000
2023-12-29,159.5200,169.9400,157.4400,168.5400,166.3037,29873265,0.3807
2024-01-31,167.0300,176.9400,162.7400,171.6100,169.3330,38047812,0.0000
2024-02-29,172.3800,181.3800,172.0000,180.6900,178.2925,36109066,0.0000
2024-03-28,181.0900,184.8790,178.1600,182.6900,180.6118,39186178,0.3454
2024-04-30,183.0800,184.1300,169.9600,174.6800,172.6930,39517544,0.0000
2024-05-31,174.0800,189.5600,173.0800,185.8700,183.7557,34506438,0.0000
2024-06-28,187.1200,200.4700,184.3400,197.1100,195.1874,27074287,0.3199
2024-07-31,197.5500,207.2400,186.9200,193.7600,191.8701,40403964,0.0000
2024-08-30,194.1700,199.8100,174.2300,196.0800,194.1675,48610736,0.0000
2024-09-30,194.7400,203.1600,184.4800,200.8500,199.1909,45709509,0.2999
2024-10-31,200.7700,206.3300,196.4900,199.1300,197.4851,37235258,0.0000
2024-11-29,199.8000,212.1899,199.3200,209.8000,208.0670,32700173,0.0000
2024-12-31,210.3300,221.9200,209.7000,210.4500,209.0125,39530024,0.3103
2025-01-31,211.7500,219.7700,205.7384,214.9900,213.5215,48548900,0.0000
2025-02-28,211.4200,222.6400,204.5800,209.2600,207.8306,40774967,0.0000
2025-03-31,210.6000,211.2000,188.2900,193.0200,192.0032,57827651,0.3176
2025-04-30,192.3600,197.4150,165.7200,195.8500,194.8182,88501602,0.0000
2025-05-30,199.0200,216.7699,196.3600,213.7500,212.6239,63419821,0.0000
2025-06-30,212.9600,227.5400,212.4600,227.1000,226.2300,56330272,0.3161
2025-07-31,226.3000,236.5300,224.1900,232.5700,231.6790,60465914,0.0000
2025-08-29,230.0500,240.1100,227.0000,234.8100,233.9104,76680829,0.0000
2025-09-30,231.0700,248.1700,230.3700,247.1200,246.4736,74041671,0.3024
2025-10-31,245.8300,262.2342,242.5000,258.9600,258.2827,106291509,0.0000
2025-11-28,261.4800,261.7500,239.1000,254.9000,254.2333,109348743,0.0000
2025-12-31,252.6500,259.0300,247.1400,252.9200,252.5781,102016442,0.3230
2026-01-30,255.2950,262.1000,249.9400,256.0500,255.7039,115609994,0.0000
2026-02-27,254.7700,258.8600,244.3000,250.0600,249.7220,106776835,0.0000
2026-03-31,246.6100,252.5200,228.7500,237.6200,237.6200,93058737,0.3277
2026-04-17,239.4000,267.6200,235.5000,267.1300,267.1300,41774729,0.0000
