date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,17.2,17.3899,17.02,17.31,16.4634525530464,10438443,0.0,1.0
2025-11-24,17.21,17.335,17.2,17.33,16.646823647918,8463152,0.1728,1.0
2025-11-25,17.32,17.39,17.2549,17.38,16.6948525678485,9176226,0.0,1.0
2025-11-26,17.41,17.44,17.4,17.42,16.733275703793,6902967,0.0,1.0
2025-11-28,17.44,17.47,17.43,17.47,16.7813046237235,3076829,0.0,1.0
2025-12-01,17.44,17.48,17.43,17.47,16.7813046237235,3155016,0.0,1.0
2025-12-02,17.49,17.5,17.47,17.5,16.8101219756818,4498452,0.0,1.0
2025-12-03,17.485,17.51,17.48,17.51,16.8197277596679,3885297,0.0,1.0
2025-12-04,17.51,17.52,17.5,17.52,16.829333543654,3425688,0.0,1.0
2025-12-05,17.52,17.54,17.52,17.54,16.8485451116262,2462049,0.0,1.0
2025-12-08,17.545,17.55,17.53,17.55,16.8581508956123,2958552,0.0,1.0
2025-12-09,17.54,17.55,17.53,17.54,16.8485451116262,2161811,0.0,1.0
2025-12-10,17.54,17.56,17.54,17.55,16.6893703218095,3911142,0.0000,1.0
2025-12-11,17.56,17.57,17.55,17.57,16.7083895472475,3843927,0.0000,1.0
2025-12-12,17.57,17.58,17.54,17.56,16.6988799345285,4040654,0.0000,1.0
2025-12-15,17.56,17.57,17.56,17.56,16.6988799345285,3492623,0.0000,1.0
2025-12-16,17.56,17.58,17.56,17.57,16.7083895472475,3211793,0.0000,1.0
2025-12-17,17.57,17.58,17.56,17.57,16.7083895472475,3888566,0.0000,1.0
2025-12-18,17.585,17.62,17.56,17.58,16.7178991599664,4286043,0.0000,1.0
2025-12-19,17.63,17.8,17.63,17.76,16.8890721889081,9385722,0.0000,1.0
2025-12-22,17.67,17.69,17.66,17.66,16.9631520719889,4614644,0.1779,1.0
2025-12-23,17.66,17.72,17.66,17.72,17.0207845252346,4801733,0.0000,1.0
2025-12-24,17.7,17.74,17.7,17.73,17.0303899341089,2527457,0.0000,1.0
2025-12-26,17.74,17.76,17.73,17.75,17.0496007518575,3004388,0.0000,1.0
2025-12-29,17.72,17.75,17.71,17.74,17.0399953429832,4555176,0.0000,1.0
2025-12-30,17.73,17.76,17.725,17.73,17.0303899341089,4812699,0.0000,1.0
2025-12-31,17.73,17.74,17.67,17.67,16.9727574808632,4961318,0.0000,1.0
2026-01-02,17.75,17.78,17.62,17.68,16.9823628897375,10828498,0.0000,1.0
2026-01-05,17.725,17.789,17.72,17.76,17.0592061607318,5838315,0.0000,1.0
2026-01-06,17.77,17.83,17.77,17.83,17.1264440228518,6603746,0.0000,1.0
2026-01-07,17.83,17.86,17.82,17.83,17.1264440228518,6273228,0.0000,1.0
2026-01-08,17.83,17.83,17.78,17.8,17.0976277962289,7861119,0.0000,1.0
2026-01-09,17.83,17.89,17.8101,17.89,17.1840764760975,4719884,0.0000,1.0
2026-01-12,17.86,17.9,17.85,17.9,17.1936818849718,4058803,0.0000,1.0
2026-01-13,17.89,17.91,17.88,17.89,17.1840764760975,4897386,0.0000,1.0
2026-01-14,17.88,17.89,17.82,17.89,17.1840764760975,6917639,0.0000,1.0
2026-01-15,17.92,17.935,17.8501,17.89,17.1840764760975,4217574,0.0000,1.0
2026-01-16,17.97,18.0,17.8,17.88,17.1744710672232,7791172,0.0000,1.0
2026-01-20,17.53,17.6,17.45,17.48,16.9618073147465,11120235,0.1786,1.0
2026-01-21,17.51,17.7052,17.48,17.65,17.1267676833682,10447750,0.0000,1.0
2026-01-22,17.74,17.75,17.67,17.72,17.1946925410359,7960959,0.0000,1.0
2026-01-23,17.72,17.8,17.7,17.77,17.2432102965129,6484923,0.0000,1.0
2026-01-26,17.76,17.83,17.76,17.81,17.2820245008945,8489911,0.0000,1.0
2026-01-27,17.84,17.87,17.83,17.85,17.3208387052761,4549806,0.0000,1.0
2026-01-28,17.88,17.9,17.85,17.88,17.3499493585622,5349650,0.0000,1.0
2026-01-29,17.87,17.88,17.68,17.85,17.3208387052761,8599383,0.0000,1.0
2026-01-30,17.8,17.86,17.73,17.79,17.2626173987037,9738750,0.0000,1.0
2026-02-02,17.74,17.9,17.73,17.88,17.3499493585622,6994310,0.0000,1.0
2026-02-03,17.89,17.9,17.6,17.72,17.1946925410359,11048466,0.0000,1.0
