ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-03-20,2026-03-23,2026-03-26,0.1715
2026-02-23,2026-02-20,2026-02-23,2026-02-26,0.1771
2026-01-20,,,,0.1786
2025-12-22,2025-12-19,2025-12-22,2025-12-30,0.1779
2025-11-24,2025-11-21,2025-11-24,2025-12-02,0.1728
2025-10-20,2025-10-17,2025-10-20,2025-10-27,0.1731
2025-09-22,2025-09-19,2025-09-22,2025-09-29,0.1704
2025-08-18,2025-08-15,2025-08-18,2025-08-25,0.1677
2025-07-21,2025-07-17,2025-07-21,2025-07-28,0.1653
2025-06-23,2025-06-20,2025-06-23,2025-06-30,0.1657
2025-05-19,2025-05-16,2025-05-19,2025-05-27,0.165
2025-04-21,2025-04-18,2025-04-21,2025-04-28,0.1598
2025-03-24,2025-03-21,2025-03-24,2025-03-31,0.1703
2025-02-24,2025-02-21,2025-02-24,2025-03-03,0.165
2025-01-21,,,,0.1877
2024-12-30,2024-12-27,2024-12-30,2025-01-07,0.33863
2024-11-18,2024-11-15,2024-11-18,2024-11-25,0.1804
2024-10-21,2024-10-18,2024-10-21,2024-10-28,0.1831
2024-09-23,2024-09-20,2024-09-23,2024-09-30,0.1807
2024-08-19,2024-08-16,2024-08-19,2024-08-26,0.1791
2024-07-22,2024-07-19,2024-07-22,2024-07-29,0.1774
2024-06-24,2024-06-21,2024-06-24,2024-07-01,0.1686
2024-05-20,2024-05-17,2024-05-21,2024-05-29,0.1628
2024-04-22,2024-04-19,2024-04-23,2024-04-30,0.1723
2024-03-18,2024-03-15,2024-03-19,2024-03-26,0.178
2024-02-20,2024-02-16,2024-02-21,2024-02-28,0.1772
2024-01-22,2024-01-19,2024-01-23,2024-01-30,0.179
2023-12-28,2023-12-27,2023-12-29,2024-01-08,0.1659
2023-11-20,2023-11-17,2023-11-21,2023-11-29,0.1611
2023-10-23,2023-10-20,2023-10-24,2023-10-31,0.1668
2023-09-18,2023-09-15,2023-09-19,2023-09-26,0.171942
2023-08-21,2023-08-18,2023-08-22,2023-08-29,0.1731
2023-07-24,2023-07-21,2023-07-25,2023-08-01,0.1797
2023-06-20,2023-06-16,2023-06-21,2023-06-28,0.1768
2023-05-22,2023-05-19,2023-05-23,2023-05-31,0.1682
2023-04-24,2023-04-21,2023-04-25,2023-05-02,0.17301
2023-03-20,2023-03-17,2023-03-21,2023-03-28,0.16896
2023-02-21,,,,0.167347
2023-01-23,2023-01-20,2023-01-24,2023-01-31,0.1696
2022-12-29,2022-12-28,2022-12-30,2023-01-09,0.161077
