date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2014-01-31,25.4400,25.7700,24.8500,25.1300,6.6284,46300,0.2574
2014-02-28,24.9300,25.8300,24.5700,25.8000,6.8566,24400,0.1933
2014-03-31,25.5699,26.0000,25.0000,25.1900,6.7461,141100,0.1934
2014-04-30,25.3800,25.5900,24.1000,24.7402,6.6962,48800,0.2625
2014-05-30,24.9600,25.3400,24.6100,25.0700,6.8518,36307,0.2445
2014-06-30,25.0700,25.5800,24.9000,25.1600,6.9348,63500,0.2125
2014-07-31,25.7299,25.7299,24.9748,24.9748,6.9408,306500,0.2094
2014-08-29,25.0000,25.4500,24.9400,25.3090,7.0957,204420,0.2218
2014-09-30,25.4500,25.5000,24.6400,24.8120,7.0105,119859,0.1948
2014-10-31,24.6600,24.9400,23.0000,24.0700,6.8697,107441,0.2412
2014-11-28,24.0612,24.2800,23.7600,23.8200,6.8564,171066,0.2034
2014-12-31,23.8000,24.1700,23.0700,24.0100,6.9527,150011,0.1444
2015-01-30,24.0400,24.0599,23.1700,23.3399,6.8254,63554,0.2302
2015-02-27,23.3400,23.9100,23.2600,23.7099,6.9787,160248,0.1542
2015-03-31,23.6400,24.2800,23.1300,23.4800,6.9582,202186,0.1597
2015-04-30,23.1500,24.0200,23.0730,23.5700,7.0303,100463,0.1533
2015-05-29,23.6700,23.8999,23.4043,23.6400,7.1020,101154,0.1694
2015-06-30,23.6000,24.0086,23.2200,23.2200,7.0199,186241,0.1503
2015-07-31,23.4000,24.9100,22.9100,23.8270,7.2494,527145,0.1521
2015-08-31,23.7800,24.1000,17.9600,22.0000,6.7569,288693,0.2035
2015-09-30,21.8000,23.2620,21.5700,22.2300,6.8942,195518,0.2216
2015-10-30,22.0890,23.7400,22.0200,23.5900,7.3836,184432,0.2142
2015-11-30,23.7000,23.8200,23.4649,23.5700,7.4341,313552,0.1810
2015-12-31,23.8100,24.1998,22.8100,23.4080,7.4509,617947,0.2145
2016-01-29,23.3100,23.3900,20.6800,21.6900,6.9736,543723,0.2139
2016-02-29,21.6800,22.1000,20.5000,21.9450,7.1268,407220,0.2203
2016-03-31,22.0500,23.0000,21.9400,22.3758,7.3186,450111,0.1579
2016-04-29,22.4000,22.6990,21.4400,21.5745,7.1055,403999,0.1556
2016-05-31,21.6082,22.4300,21.3100,21.7700,7.2263,300407,0.1713
2016-06-30,21.8900,21.9978,20.7700,21.7199,7.2774,418627,0.2024
2016-07-29,21.7700,22.0500,21.6408,21.9050,7.3870,411496,0.1414
2016-08-31,21.8800,22.1750,21.8200,21.9013,7.4296,343479,0.1298
2016-09-30,21.8800,22.4200,21.6520,22.1550,7.5818,241026,0.1945
2016-10-31,22.2000,22.8000,22.0000,22.1501,7.6310,333275,0.1494
2016-11-30,22.1700,22.7800,21.6100,22.3100,7.7417,581641,0.1620
2016-12-30,22.3100,22.7400,22.1000,22.3500,7.8058,402649,0.1455
2017-01-31,22.5000,23.0700,22.3112,22.9000,8.0423,481709,0.1275
2017-02-28,22.9000,23.3299,22.8829,23.0700,8.1370,524636,0.0999
2017-03-31,23.3400,23.3400,22.8801,23.2500,8.2445,561980,0.1233
2017-04-28,23.3100,23.6900,23.1000,23.4600,8.3702,466479,0.1445
2017-05-31,23.5900,24.0700,23.3784,23.7500,8.5187,647388,0.1260
2017-06-30,23.9700,24.1200,23.4361,23.6400,8.5582,813853,0.2214
2017-07-31,23.5500,24.1600,23.4900,23.8200,8.6806,1823268,0.1585
2017-08-31,23.9000,24.1800,23.5000,23.9300,8.7956,836453,0.2028
2017-09-29,24.0300,24.1000,23.5000,23.9000,8.8412,969056,0.1537
2017-10-31,24.0000,24.3900,23.8750,24.3600,9.0672,697691,0.1490
2017-11-30,24.4100,24.5600,24.2300,24.4000,9.1312,915072,0.1322
2017-12-29,24.3900,24.9800,24.0700,24.5310,9.2721,634637,0.2466
2018-01-31,24.5300,25.3500,24.5300,24.8580,9.4903,1665765,0.2502
2018-02-28,24.8900,25.2000,22.6700,24.9100,9.6054,1655508,0.2487
2018-03-29,25.0200,25.5000,23.2300,23.8000,9.2698,2377576,0.2487
2018-04-30,23.7500,24.8800,22.8200,23.9600,9.4245,1791851,0.2341
2018-05-31,23.9800,24.9100,23.8200,24.5700,9.7496,2141218,0.2163
2018-06-29,24.6500,24.8200,23.7500,24.0400,9.6169,2937447,0.1995
2018-07-31,24.0000,25.1290,23.8700,24.5300,9.8842,2618693,0.1814
2018-08-31,24.5300,25.2600,24.4750,25.1500,10.2258,3105151,0.2258
2018-09-28,25.1800,25.3300,24.9200,25.1300,10.2998,3754753,0.2014
2018-10-31,25.1900,25.2800,22.3100,23.5200,9.7438,4171389,0.2470
2018-11-30,23.5900,24.2500,22.3200,23.3300,9.7613,3126147,0.2250
2018-12-31,23.6600,23.7000,19.4300,21.3100,8.9890,4303986,0.1721
2019-01-31,20.9400,22.1730,20.9400,22.0700,9.4031,3103594,0.2174
2019-02-28,22.0800,22.5000,22.0700,22.4100,9.6273,3208626,0.1850
2019-03-29,22.5000,22.9900,22.0600,22.7000,9.8395,3899403,0.2035
2019-04-30,22.8100,23.1400,22.7500,22.9000,10.0038,5755636,0.1789
2019-05-31,22.9700,23.0000,21.6100,21.6900,9.5649,6097404,0.2114
