date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,92.12,93.27,88.229,89.25,89.25,10463048,0.0,1.0
2025-11-24,87.89,90.7,87.08,90.58,90.58,11949130,0.0,1.0
2025-11-25,89.76,91.25,87.94,91.07,91.07,7060169,0.0,1.0
2025-11-26,92.17,94.74,92.01,92.73,92.73,6793373,0.0,1.0
2025-11-28,93.61,95.74,93.075,95.03,95.03,3131333,0.0,1.0
2025-12-01,93.01,94.17,90.65,93.79,93.79,6282483,0.0,1.0
2025-12-02,94.19,95.36,93.45,93.7,93.7,6748822,0.0,1.0
2025-12-03,92.155,93.8,91.055,92.1,92.1,5598993,0.0,1.0
2025-12-04,92.6,96.14,91.18,95.21,95.21,8113752,0.0,1.0
2025-12-05,95.665,97.92,94.145,96.28,96.28,6841330,0.0,1.0
2025-12-08,96.22,97.69,94.78,97.64,97.64,5023278,0.0,1.0
2025-12-09,97.32,99.27,96.78,99.0,99.0,5797213,0.0,1.0
2025-12-10,99.98,99.98,94.35,94.36,94.36,8642009,0.0000,1.0
2025-12-11,94.19,96.27,93.07,94.34,94.34,6114960,0.0000,1.0
2025-12-12,90.875,91.88,88.055,88.51,88.51,8443789,0.0000,1.0
2025-12-15,87.96,88.37,85.91,86.96,86.96,7752237,0.0000,1.0
2025-12-16,87.18,87.86,86.15,87.44,87.44,8234041,0.0000,1.0
2025-12-17,87.5,89.19,85.2601,85.91,85.91,6185959,0.0000,1.0
2025-12-18,86.68,87.27,83.52,83.91,83.91,9933899,0.0000,1.0
2025-12-19,84.1,84.2,81.245,81.94,81.94,15127088,0.0000,1.0
2025-12-22,82.415,83.19,81.4,81.98,81.98,6687819,0.0000,1.0
2025-12-23,81.77,82.04,80.3001,80.99,80.99,6092956,0.0000,1.0
2025-12-24,80.69,82.12,80.42,81.88,81.88,2684187,0.0000,1.0
2025-12-26,81.72,82.34,80.87,82.22,82.22,3863678,0.0000,1.0
2025-12-29,81.12,82.14,80.95,81.52,81.52,4526935,0.0000,1.0
2025-12-30,81.68,82.56,81.36,81.81,81.81,5904547,0.0000,1.0
2025-12-31,81.76,81.76,80.61,81.03,81.03,5311131,0.0000,1.0
2026-01-02,81.45,81.78,78.8,80.95,80.95,6972181,0.0000,1.0
2026-01-05,81.4,82.38,79.88,81.04,81.04,7991787,0.0000,1.0
2026-01-06,79.37,79.37,74.95,75.83,75.83,15611495,0.0000,1.0
2026-01-07,76.265,77.63,75.4,76.42,76.42,10932995,0.0000,1.0
2026-01-08,74.86,74.98,71.78,73.89,73.89,13371121,0.0000,1.0
2026-01-09,73.75,74.0,72.06,73.27,73.27,11416639,0.0000,1.0
2026-01-12,73.05,77.0,72.83,76.72,76.72,11555390,0.0000,1.0
2026-01-13,76.925,85.48,76.59,84.8,84.8,25200085,0.0000,1.0
2026-01-14,86.75,87.25,82.15,82.87,82.87,12480586,0.0000,1.0
2026-01-15,83.85,88.23,82.9,84.65,84.65,13949893,0.0000,1.0
2026-01-16,86.0,91.09,85.26,87.28,87.28,16423803,0.0000,1.0
2026-01-20,84.55,84.76,78.345,78.84,78.84,14407917,0.0000,1.0
2026-01-21,78.67,78.84,75.12,75.68,75.68,13209985,0.0000,1.0
2026-01-22,76.48,77.23,73.41,74.7,74.7,14217906,0.0000,1.0
2026-01-23,75.11,75.11,73.07,74.12,74.12,9458539,0.0000,1.0
2026-01-26,73.25,74.2999,70.55,74.01,74.01,15789653,0.0000,1.0
2026-01-27,74.72,75.16,72.02,72.14,72.14,8134943,0.0000,1.0
2026-01-28,73.46,76.5,72.02,75.27,75.27,8974525,0.0000,1.0
2026-01-29,75.13,75.75,72.43,75.73,75.73,9220613,0.0000,1.0
2026-01-30,74.33,75.33,64.5403,65.76,65.76,29755145,0.0000,1.0
2026-02-02,67.02,69.41,66.31,67.48,67.48,12804138,0.0000,1.0
2026-02-03,66.945,66.945,63.13,65.4,65.4,16381448,0.0000,1.0
2026-02-04,64.5,65.06,61.83,63.07,63.07,15301788,0.0000,1.0
2026-02-05,62.8,64.84,60.07,60.57,60.57,21106858,0.0000,1.0
2026-02-06,67.41,69.2,60.34,66.42,66.42,34085856,0.0000,1.0
2026-02-09,68.76,74.43,68.28,73.45,73.45,19558338,0.0000,1.0
2026-02-10,74.7,76.58,71.15,71.94,71.94,13043190,0.0000,1.0
2026-02-11,71.7,73.16,66.93,68.99,68.99,11717009,0.0000,1.0
2026-02-12,68.34,68.79,61.605,63.15,63.15,14760977,0.0000,1.0
2026-02-13,64.01,64.54,62.775,63.17,63.17,8424703,0.0000,1.0
2026-02-17,63.88,64.5982,62.49,63.0,63.0,8686070,0.0000,1.0
2026-02-18,62.74,65.798,62.5,63.06,63.06,9432898,0.0000,1.0
2026-02-19,63.0,65.51,62.81,64.44,64.44,12135092,0.0000,1.0
2026-02-20,63.62,63.65,60.33,62.0,62.0,17740175,0.0000,1.0
2026-02-23,61.7,62.84,59.7,62.43,62.43,11557373,0.0000,1.0
2026-02-24,61.845,67.23,60.64,67.09,67.09,11469469,0.0000,1.0
2026-02-25,66.985,68.34,66.2,68.07,68.07,7823557,0.0000,1.0
2026-02-26,68.14,71.53,67.83,71.4,71.4,8930695,0.0000,1.0
2026-02-27,69.72,71.19,68.15,68.66,68.66,12019765,0.0000,1.0
2026-03-02,66.5,68.11,65.22,67.44,67.44,7205794,0.0000,1.0
2026-03-03,64.67,67.69,63.26,66.97,66.97,9128206,0.0000,1.0
2026-03-04,65.63,68.92,65.3164,67.4,67.4,6757139,0.0000,1.0
2026-03-05,67.78,69.91,65.0446,66.08,66.08,7985760,0.0000,1.0
2026-03-06,64.29,64.65,62.82,63.53,63.53,8147553,0.0000,1.0
2026-03-09,62.455,64.09,61.67,62.65,62.65,11183416,0.0000,1.0
2026-03-10,63.55,64.0,58.73,58.83,58.83,13852337,0.0000,1.0
2026-03-11,59.45,60.76,58.7,60.39,60.39,6713003,0.0000,1.0
2026-03-12,59.79,60.1299,56.3,56.3,56.3,9721707,0.0000,1.0
2026-03-13,56.99,58.015,55.85,56.42,56.42,7396022,0.0000,1.0
2026-03-16,56.88,59.49,56.82,59.17,59.17,8331206,0.0000,1.0
2026-03-17,58.805,60.56,57.25,57.79,57.79,7339118,0.0000,1.0
2026-03-18,57.35,59.78,57.0,58.27,58.27,11067995,0.0000,1.0
2026-03-19,57.65,59.26,56.16,57.52,57.52,8549588,0.0000,1.0
2026-03-20,57.085,57.3,55.16,56.96,56.96,8864837,0.0000,1.0
2026-03-23,57.06,57.84,55.81,56.84,56.84,6536912,0.0000,1.0
2026-03-24,56.85,57.005,54.33,55.0,55.0,7471750,0.0000,1.0
2026-03-25,56.59,57.98,55.5,56.65,56.65,5838365,0.0000,1.0
2026-03-26,55.5,56.65,53.48,53.85,53.85,7757832,0.0000,1.0
2026-03-27,53.19,53.405,51.72,52.31,52.31,7536183,0.0000,1.0
2026-03-30,52.28,52.91,51.23,51.91,51.91,7700104,0.0000,1.0
2026-03-31,53.06,57.34,52.8,56.56,56.56,13156940,0.0000,1.0
2026-04-01,57.065,58.91,56.465,57.63,57.63,10894981,0.0000,1.0
2026-04-02,56.37,60.23,55.8,60.11,60.11,10830251,0.0000,1.0
2026-04-06,59.79,60.66,56.87,57.2,57.2,13447529,0.0000,1.0
2026-04-07,56.83,57.71,55.91,57.5,57.5,3789006,0.0000,1.0
2026-04-08,60.105,60.54,55.16,55.43,55.43,6754931,0.0000,1.0
2026-04-09,54.8,55.75,53.2039,55.17,55.17,10161000,0.0000,1.0
2026-04-10,55.22,55.77,52.72,55.59,55.59,7105191,0.0000,1.0
2026-04-13,55.51,58.9599,55.5,57.66,57.66,10975806,0.0000,1.0
2026-04-14,57.94,59.09,56.68,58.3,58.3,7586747,0.0000,1.0
2026-04-15,59.0,61.2,58.88,59.79,59.79,7322012,0.0000,1.0
2026-04-16,61.36,62.1129,59.5,60.44,60.44,6827263,0.0000,1.0
2026-04-17,61.74,62.99,59.66,60.34,60.34,7999881,0.0000,1.0
2026-04-20,60.0,62.275,59.69,61.83,61.83,5693289,0.0000,1.0
2026-04-21,62.01,64.42,60.84,61.26,61.26,7915842,0.0000,1.0
2026-04-22,62.31,63.0,59.63,59.64,59.64,7668568,0.0000,1.0
2026-04-23,58.46,58.46,53.97,55.45,55.45,10759941,0.0000,1.0
2026-04-24,54.85,56.19,52.62,56.09,56.09,11981442,0.0000,1.0
2026-04-27,55.725,57.86,55.45,57.52,57.52,7355034,0.0000,1.0
2026-04-28,57.06,58.89,55.92,56.11,56.11,6501456,0.0000,1.0
2026-04-29,55.65,56.89,53.91,56.28,56.28,7028545,0.0000,1.0
2026-04-30,55.71,56.82,54.91,55.26,55.26,23970795,0.0000,1.0
2026-05-01,42.38,47.4383,41.75,45.13,45.13,53403932,0.0000,1.0
2026-05-04,44.92,48.43,44.6,47.57,47.57,17674462,0.0000,1.0
2026-05-05,47.13,47.58,43.5,44.04,44.04,18962209,0.0000,1.0
