date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,185.04,190.15,180.01,183.48,183.48,4009229,0.0,1.0
2025-11-24,186.6,195.69,184.78,195.0,195.0,5268047,0.0,1.0
2025-11-25,198.0,219.8,196.57,218.48,218.48,7751496,0.0,1.0
2025-11-26,216.0,220.7642,207.29,207.56,207.56,4680879,0.0,1.0
2025-11-28,209.15,218.0,207.34,216.47,216.47,2388670,0.0,1.0
2025-12-01,211.72,226.25,211.5,223.4,223.4,4819797,0.0,1.0
2025-12-02,224.69,231.51,221.72,222.76,222.76,3445339,0.0,1.0
2025-12-03,222.66,225.82,220.0,220.84,220.84,2706064,0.0,1.0
2025-12-04,222.19,225.87,215.0,222.75,222.75,3493497,0.0,1.0
2025-12-05,225.15,237.59,224.175,234.11,234.11,6141274,0.0,1.0
2025-12-08,230.0,238.2,225.26,236.95,236.95,3642890,0.0,1.0
2025-12-09,230.85,237.5,229.55,236.11,236.11,2783975,0.0,1.0
2025-12-10,235.3,240.18,231.47,238.11,238.11,3816555,0.0000,1.0
2025-12-11,235.54,238.0,227.2971,233.54,233.54,4386042,0.0000,1.0
2025-12-12,233.06,237.4,222.85,224.78,224.78,4932169,0.0000,1.0
2025-12-15,222.045,225.77,213.35,218.5,218.5,5415763,0.0000,1.0
2025-12-16,215.264,224.63,215.264,224.0,224.0,4332179,0.0000,1.0
2025-12-17,226.83,235.42,226.83,227.34,227.34,5721755,0.0000,1.0
2025-12-18,232.82,246.15,229.4544,231.34,231.34,6060380,0.0000,1.0
2025-12-19,235.85,239.44,230.99,233.19,233.19,5942860,0.0000,1.0
2025-12-22,235.95,240.4899,230.3,233.15,233.15,4042041,0.0000,1.0
2025-12-23,231.53,237.5,225.45,225.82,225.82,3487745,0.0000,1.0
2025-12-24,225.77,228.4,222.785,225.85,225.85,982577,0.0000,1.0
2025-12-26,225.79,226.22,220.26,225.77,225.77,1904008,0.0000,1.0
2025-12-29,225.15,236.0,223.9101,234.65,234.65,3901188,0.0000,1.0
2025-12-30,235.92,236.9299,229.08,233.36,233.36,2489821,0.0000,1.0
2025-12-31,232.24,233.7128,227.5,229.87,229.87,2149087,0.0000,1.0
2026-01-02,232.18,242.8699,228.15,241.89,241.89,3547051,0.0000,1.0
2026-01-05,248.84,250.0,241.0,244.05,244.05,3365244,0.0000,1.0
2026-01-06,248.21,254.78,242.1517,253.81,253.81,4159940,0.0000,1.0
2026-01-07,252.0,260.5,251.05,255.5,255.5,3002303,0.0000,1.0
2026-01-08,255.34,259.55,248.1,253.95,253.95,3015212,0.0000,1.0
2026-01-09,257.67,263.4999,235.01,244.56,244.56,5542455,0.0000,1.0
2026-01-12,244.72,251.87,240.61,244.02,244.02,2595300,0.0000,1.0
2026-01-13,246.22,263.335,246.1,258.93,258.93,4516253,0.0000,1.0
2026-01-14,258.8,258.8,246.85,252.38,252.38,4829883,0.0000,1.0
2026-01-15,250.09,251.0,225.2501,228.75,228.75,10876269,0.0000,1.0
2026-01-16,228.5,236.499,222.85,231.01,231.01,5450428,0.0000,1.0
2026-01-20,220.125,228.98,217.34,225.36,225.36,3634981,0.0000,1.0
2026-01-21,224.485,224.925,208.5,210.13,210.13,5204258,0.0000,1.0
2026-01-22,214.0,216.0,209.78,214.54,214.54,2708186,0.0000,1.0
2026-01-23,212.6,220.82,209.0,218.88,218.88,2612780,0.0000,1.0
2026-01-26,216.64,222.65,212.6287,213.63,213.63,2621510,0.0000,1.0
2026-01-27,203.14,204.56,193.11,196.3,196.3,6897513,0.0000,1.0
2026-01-28,195.0,199.05,189.526,193.14,193.14,4372417,0.0000,1.0
2026-01-29,200.0,201.1214,188.65,190.05,190.05,3936159,0.0000,1.0
2026-01-30,188.24,190.471,180.0,180.27,180.27,4248199,0.0000,1.0
2026-02-02,180.0,184.35,176.14,177.15,177.15,5887556,0.0000,1.0
2026-02-03,178.4,179.01,161.71,165.41,165.41,6812351,0.0000,1.0
2026-02-04,162.51,163.265,146.35,152.69,152.69,9451444,0.0000,1.0
2026-02-05,151.005,155.34,148.5,151.05,151.05,11083865,0.0000,1.0
2026-02-06,161.53,164.3999,137.02,139.83,139.83,22081617,0.0000,1.0
2026-02-09,139.39,145.9376,136.61,141.74,141.74,8487343,0.0000,1.0
2026-02-10,145.06,152.44,143.51,149.98,149.98,9003182,0.0000,1.0
2026-02-11,148.86,152.44,137.25,139.29,139.29,8409677,0.0000,1.0
2026-02-12,138.45,138.45,127.705,131.07,131.07,8703535,0.0000,1.0
2026-02-13,141.85,141.85,135.37,139.65,139.65,7462441,0.0000,1.0
2026-02-17,138.2,143.92,135.85,139.23,139.23,5470594,0.0000,1.0
2026-02-18,140.9,148.18,139.26,147.46,147.46,5965873,0.0000,1.0
