date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2024-04-30,48.9500,51.3500,37.3500,44.4400,44.4400,75395852,0.0000
2024-05-31,44.8700,66.1500,44.6000,54.2400,54.2400,100486814,0.0000
2024-06-28,57.5500,69.5900,53.9550,63.8900,63.8900,53517866,0.0000
2024-07-31,64.2000,78.0800,57.3600,60.8500,60.8500,62431657,0.0000
2024-08-30,64.4000,64.6400,49.1300,60.0300,60.0300,103970851,0.0000
2024-09-30,59.2450,69.1100,55.2511,65.9200,65.9200,79718766,0.0000
2024-10-31,65.9300,123.6000,64.5150,119.3000,119.3000,153472617,0.0000
2024-11-29,114.0000,158.4900,108.6847,140.6900,140.6900,143425827,0.0000
2024-12-31,144.0000,182.2000,138.7500,163.4400,163.4400,128669497,0.0000
2025-01-31,164.4300,208.6200,156.0357,199.5500,199.5500,95239081,0.0000
2025-02-28,189.1200,230.4100,154.2000,161.7800,161.7800,144914660,0.0000
2025-03-31,165.4550,174.2200,97.6100,104.9000,104.9000,200925842,0.0000
2025-04-30,105.7950,123.2900,79.7499,116.5700,116.5700,150786340,0.0000
2025-05-30,125.6350,130.1100,94.8900,112.3500,112.3500,222071172,0.0000
2025-06-30,109.1600,155.0000,109.1600,150.5700,150.5700,170046554,0.0000
2025-07-31,151.8200,164.5500,138.1100,160.5900,160.5900,136630821,0.0000
2025-08-29,182.0000,253.1400,177.7700,225.0800,225.0800,168062792,0.0000
2025-09-30,219.9800,282.9500,213.1500,229.9900,229.9900,118739861,0.0000
2025-10-31,213.0000,230.9700,189.0200,208.9500,208.9500,145063915,0.0000
2025-11-28,211.0600,220.7642,173.5600,216.4700,216.4700,92305152,0.0000
2025-12-31,211.7200,246.1500,211.5000,229.8700,229.8700,86597006,0.0000
2026-01-30,232.1800,263.4999,180.0000,180.2700,180.2700,87136341,0.0000
2026-02-27,180.0000,184.3500,127.7050,145.8100,145.8100,143266018,0.0000
2026-03-25,142.25,153.78,131.31,139.63,139.63,86449137,0.0
2026-03-31,142.2500,153.7800,119.2700,134.6500,134.6500,110529531,0.0000
2026-04-17,136.3750,168.7000,128.6300,163.8000,163.8000,45257348,0.0000
