ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.0692
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.0821
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.0743
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.0703
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0649
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.083
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.2065
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.2033
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.1867
2023-12-06,2023-03-10,2023-12-07,2023-12-11,0.2243
2023-09-20,2023-03-10,2023-09-21,2023-09-25,0.1902
2023-06-21,2023-03-10,2023-06-22,2023-06-26,0.1855
2023-03-22,2023-03-10,2023-03-23,2023-03-27,0.1776
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.2117
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.1869
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.179
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.1446
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0188
2021-12-08,2021-02-02,2021-12-09,2021-12-13,0.4169
2021-09-22,2021-02-02,2021-09-23,2021-09-27,0.3352
2021-06-23,2021-02-02,2021-06-24,2021-06-28,0.316
2021-03-24,2021-02-02,2021-03-25,2021-03-29,0.2805
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.3646
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.4867
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.2961
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.3374
2019-12-12,,,,0.4623
2019-09-25,,,,0.3405
2019-06-26,,,,0.3039
2019-03-20,,,,0.2777
2018-12-12,,,,0.332
2018-09-25,,,,0.3102
2018-06-26,,,,0.2874
2018-03-16,,,,0.267
2017-12-18,,,,0.31
2017-09-18,,,,0.2557
2017-06-19,,,,0.265
2017-03-20,,,,0.2348
2016-12-19,,,,0.3513
2016-09-19,,,,0.1711
2016-06-20,,,,0.2427
2016-03-21,,,,0.2436
2015-12-21,,,,0.2496
2015-09-21,,,,0.2363
2015-06-22,,,,0.2759
2015-03-23,,,,0.2202
2014-12-22,,,,0.2175
2014-09-22,,,,0.2122
2014-06-23,,,,0.2202
2014-03-24,,,,0.2086
2013-12-23,,,,0.2042
2013-09-23,,,,0.1843
2013-06-24,,,,0.183
2013-03-18,,,,0.1626
2012-12-24,,,,0.2562
2012-09-17,,,,0.1686
2012-06-18,,,,0.1586
2012-03-19,,,,0.1502
2011-12-19,,,,0.1459
2011-09-19,,,,0.145
2011-06-20,,,,0.1415
2011-03-21,,,,0.1349
2010-12-20,,,,0.1231
2010-09-20,,,,0.12
2010-06-21,,,,0.09
2010-03-22,,,,0.11
2009-12-23,,,,0.06
