date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2009-12-31,25.9800,26.7500,25.5800,26.3600,3.3256,4445700,0.0600
2010-01-29,26.6500,27.2600,25.4000,25.4670,3.2129,4369100,0.0000
2010-02-26,25.6100,26.5600,24.7400,26.3100,3.3192,2730400,0.0000
2010-03-31,26.4300,28.1100,26.4280,27.8320,3.5252,3911400,0.1100
2010-04-30,27.9800,29.2100,27.8660,28.3780,3.5943,5278400,0.0000
2010-05-28,28.5200,77.1600,22.2000,26.1400,3.3109,6972000,0.0000
2010-06-30,25.9800,27.0700,24.5510,24.6370,3.1311,5366800,0.0900
2010-07-30,24.6000,26.8600,24.1200,26.3300,3.3462,4361100,0.0000
2010-08-31,26.7000,26.9910,24.8100,25.0990,3.1898,3824900,0.0000
2010-09-30,25.4700,27.7100,25.4310,27.3500,3.4911,3930600,0.1200
2010-10-29,27.5700,28.6800,27.1000,28.4110,3.6266,3744700,0.0000
2010-11-30,28.5400,29.5200,28.2360,28.5600,3.6456,5773600,0.0000
2010-12-31,28.9900,30.5000,28.9800,30.3800,3.8937,8300300,0.1231
2011-01-31,30.6700,31.4600,30.4400,31.0700,3.9822,7273800,0.0000
2011-02-28,31.2600,32.6100,31.2500,32.1700,4.1232,6073400,0.0000
2011-03-31,32.3300,32.3300,30.3600,32.1800,4.1422,10007900,0.1349
2011-04-29,32.3400,33.1600,31.3900,33.1400,4.2657,5126300,0.0000
2011-05-31,33.3300,33.3300,31.8500,32.7700,4.2181,6113700,0.0000
2011-06-30,32.6600,32.6900,30.5640,32.0300,4.1417,6672900,0.1415
2011-07-29,32.0700,32.9900,31.0000,31.2500,4.0409,5792500,0.0000
2011-08-31,31.7000,31.8400,26.5000,29.4300,3.8055,13821200,0.0000
2011-09-30,29.5000,29.7600,26.7100,27.0900,3.5205,8290900,0.1450
2011-10-31,26.9800,31.1500,25.6700,30.2000,3.9247,7549700,0.0000
2011-11-30,29.3200,30.8350,27.9100,30.0800,3.9091,7334900,0.0000
2011-12-30,30.0100,30.6000,28.8600,30.2200,3.9471,8632500,0.1459
2012-01-31,30.7800,32.1792,30.3600,31.6900,4.1391,7635100,0.0000
2012-02-29,31.9100,33.4100,31.9100,33.0100,4.3115,5304900,0.0000
2012-03-30,33.1600,34.2200,32.3900,33.9200,4.4499,6110300,0.1502
2012-04-30,33.9200,34.2760,32.6300,33.7100,4.4223,4465500,0.0000
2012-05-31,33.7300,34.1400,31.0800,31.6100,4.1468,6530400,0.0000
2012-06-29,31.1700,32.6800,30.4800,32.6800,4.3083,4816500,0.1586
2012-07-31,32.8000,33.3200,31.8400,33.0500,4.3571,4255300,0.0000
2012-08-31,33.2000,34.3000,32.4300,33.8500,4.4626,3779000,0.0000
2012-09-28,33.8600,35.6000,33.6200,34.5400,4.5754,4753800,0.1686
2012-10-31,34.6900,35.3000,33.7000,33.9700,4.4999,6284400,0.0000
2012-11-30,34.0400,34.6300,32.3300,34.2000,4.5304,7901800,0.0000
2012-12-31,34.3800,35.1200,33.6800,34.4100,4.5922,9364900,0.2562
2013-01-31,35.0900,36.5200,34.9500,36.2800,4.8417,10646400,0.0000
2013-02-28,36.4900,37.1500,35.9650,36.6700,4.8938,8112200,0.0000
2013-03-28,36.5900,38.0300,36.3800,37.9600,5.0879,7577500,0.1626
2013-04-30,37.9800,38.6400,37.0700,38.6200,5.1763,8050100,0.0000
2013-05-31,38.5700,40.9000,38.2000,39.5500,5.3010,9757400,0.0000
2013-06-28,39.6700,40.1380,37.6500,38.9100,5.2403,12145700,0.1830
2013-07-31,39.0900,41.2800,38.9100,40.9800,5.5191,7440000,0.0000
2013-08-30,41.3200,41.5900,39.6800,39.7800,5.3575,6885300,0.0000
2013-09-30,40.2000,42.3300,39.7800,41.0900,5.5585,6950100,0.1843
2013-10-31,41.1000,43.3290,40.1501,42.8500,5.7966,9810900,0.0000
2013-11-29,42.9500,44.2500,42.4900,44.0500,5.9590,7441300,0.0000
2013-12-31,44.1200,45.0400,43.2200,45.0100,6.1168,9062200,0.2042
2014-01-31,44.9400,45.1700,43.2400,43.5700,5.9211,11747400,0.0000
2014-02-28,43.5800,45.8800,42.3900,45.6400,6.2024,10463000,0.0000
2014-03-31,45.3200,46.3390,44.8600,45.7100,6.2404,9216200,0.2086
2014-04-30,45.8700,46.3400,44.1200,45.7600,6.2473,9139800,0.0000
2014-05-30,45.7800,46.8000,45.1700,46.7900,6.3879,6177800,0.0000
2014-06-30,46.8600,47.9700,46.5740,47.7200,6.5449,7242700,0.2202
2014-07-31,47.8700,48.3100,46.8300,46.8300,6.4229,6303400,0.0000
2014-08-29,46.7200,48.9500,46.2610,48.7490,6.6860,6106100,0.0000
2014-09-30,48.8400,49.0790,47.3900,47.5500,6.5503,6391376,0.2122
2014-10-31,47.4800,48.8900,43.9501,48.8200,6.7253,16865877,0.0000
2014-11-28,48.9000,50.2600,48.4200,50.0500,6.8947,7744432,0.0000
2014-12-31,49.9500,50.5990,47.8200,49.8200,6.8928,14524207,0.2175
2015-01-30,49.9900,50.1900,48.1310,48.4400,6.7019,13608579,0.0000
2015-02-27,48.6200,51.5885,48.0590,51.2100,7.0851,9786148,0.0000
2015-03-31,51.2600,51.6799,49.8010,50.4800,7.0141,11934497,0.2202
2015-04-30,50.4600,51.8400,50.0100,50.7400,7.0502,10344339,0.0000
2015-05-29,50.9600,52.0300,50.3010,51.4100,7.1433,6525743,0.0000
2015-06-30,51.5500,52.0400,50.0890,50.2300,7.0166,10409028,0.2759
2015-07-31,50.7300,51.7399,49.7300,51.1100,7.1395,15157173,0.0000
2015-08-31,51.1600,51.3490,39.5000,48.0200,6.7079,24091175,0.0000
2015-09-30,46.9400,49.3000,45.2800,46.3800,6.5109,20226121,0.2363
2015-10-30,46.5000,50.4000,45.7620,50.0600,7.0275,13437249,0.0000
2015-11-30,50.2000,51.0000,48.7400,50.3600,7.0696,12131076,0.0000
2015-12-31,50.5000,50.8800,48.0300,49.0400,6.9197,18332028,0.2496
2016-01-29,48.2100,48.4950,43.1501,46.2400,6.5247,29844821,0.0000
2016-02-29,45.9900,46.8990,43.0600,46.2300,6.5232,20831752,0.0000
2016-03-31,46.6000,49.5400,46.5000,49.2800,6.9882,17804745,0.2436
2016-04-29,49.0200,50.5739,48.6299,49.5600,7.0279,10415616,0.0000
2016-05-31,49.6600,50.6000,48.5800,50.4300,7.1513,11286756,0.0000
2016-06-30,50.2800,51.1687,47.6700,50.3000,7.1675,18683949,0.2427
2016-07-29,50.2500,52.3900,49.7100,52.2933,7.4515,13367385,0.0000
2016-08-31,52.2700,52.9200,51.6320,52.4000,7.4667,7959461,0.0000
2016-09-30,52.4300,52.9010,51.1700,52.3200,7.4800,12920946,0.1711
2016-10-31,52.2100,52.3700,50.9900,51.2000,7.3199,10521735,0.0000
2016-11-30,51.2600,53.8600,50.1800,53.4800,7.6459,17148950,0.0000
2016-12-30,53.6100,55.3700,53.1335,54.1800,7.7957,16421727,0.3513
2017-01-31,54.5800,55.7700,54.2621,55.2100,7.9439,14582623,0.0000
2017-02-28,55.4400,57.5200,55.0201,57.2500,8.2375,10618293,0.0000
2017-03-31,57.7400,58.1657,55.8700,57.0600,8.2438,16638190,0.2348
2017-04-28,57.1100,58.0500,56.2200,57.6300,8.3262,10571569,0.0000
2017-05-31,57.8000,58.4300,56.8280,58.2600,8.4172,12789574,0.0000
2017-06-30,58.3700,59.2500,58.0600,58.4600,8.4839,9138031,0.2650
2017-07-31,58.7400,60.0000,58.1100,59.6400,8.6552,7472870,0.0000
2017-08-31,59.8100,60.0900,58.2400,59.7200,8.6668,11613479,0.0000
2017-09-29,59.8200,60.9100,59.1400,60.9100,8.8769,7699733,0.2557
2017-10-31,60.9500,62.3690,60.9210,62.2300,9.0693,7768940,0.0000
2017-11-30,62.4600,64.3500,61.6810,64.1000,9.3418,7591109,0.0000
2017-12-29,64.0700,64.9600,63.0300,64.5200,9.4480,10522199,0.3100
2018-01-31,64.7700,69.0700,64.6600,67.8800,9.9400,15565207,0.0000
2018-02-28,67.7000,68.1800,61.0700,65.3600,9.5710,27920272,0.0000
2018-03-29,65.4200,67.7600,62.5400,63.7900,9.3787,18158732,0.2670
2018-04-30,63.6200,65.7600,61.7400,64.0300,9.4140,15945647,0.0000
2018-05-31,63.9200,66.5900,62.8500,65.8400,9.6801,13568623,0.0000
2018-06-29,66.2300,67.9900,65.3200,65.9900,9.7443,12796753,0.2874
2018-07-31,65.5900,68.9400,65.5400,68.2100,10.0721,10635974,0.0000
2018-08-31,68.2800,70.8600,67.7500,70.5300,10.4147,11580210,0.0000
2018-09-28,70.4800,71.3600,69.5000,70.3900,10.4398,10321804,0.3102
2018-10-31,70.7600,70.8600,62.5600,65.1500,9.6626,38655275,0.0000
2018-11-30,65.3800,67.7300,63.2800,66.4000,9.8480,27735426,0.0000
2018-12-31,67.5200,67.5200,56.1200,59.9300,8.9349,78137662,0.3320
2019-01-31,59.0100,65.1600,58.4800,65.0600,9.6997,31741589,0.0000
2019-02-28,65.1300,68.0300,64.6600,67.3500,10.0411,26308539,0.0000
2019-03-29,67.7800,68.7619,65.7100,68.0500,10.1871,19019126,0.2777
2019-04-30,68.5000,70.8800,68.4400,70.7300,10.5882,16117414,0.0000
2019-05-31,70.9300,70.9400,66.1000,66.1600,9.9041,22763420,0.0000
2019-06-28,66.1400,71.2500,65.6500,70.5300,10.6044,20460702,0.3039
2019-07-31,71.3700,72.6300,70.7500,71.5500,10.7577,13482822,0.0000
2019-08-30,71.6000,72.3300,67.6400,70.0500,10.5322,26980605,0.0000
2019-09-30,69.5900,72.5600,69.2800,71.0200,10.7290,12809115,0.3405
2019-10-31,71.2100,72.8400,68.1400,72.5000,10.9526,15398420,0.0000
2019-11-29,72.8900,75.5900,72.8600,75.2800,11.3726,9313721,0.0000
2019-12-31,75.3800,77.3700,73.5700,76.8800,11.6855,11622314,0.4623
2020-01-31,77.3300,79.5400,76.5000,76.8100,11.6749,16841353,0.0000
2020-02-28,77.1900,81.0400,68.2500,70.5800,10.7280,31399651,0.0000
2020-03-31,71.1000,74.7600,51.3800,60.4300,9.2387,93938429,0.3374
2020-04-30,58.3200,69.6800,57.1300,68.4800,10.4694,49232305,0.0000
2020-05-29,67.1200,72.8000,64.9300,72.1500,11.0304,25117997,0.0000
2020-06-30,72.0800,77.0200,70.3700,73.4700,11.2783,26562448,0.2961
2020-07-31,73.6200,77.9900,73.4800,77.6800,11.9246,18796628,0.0000
2020-08-31,78.1200,83.6400,77.9900,83.2700,12.7827,13821833,0.0000
2020-09-30,83.3500,85.2400,75.8939,79.6400,12.3031,16563666,0.4867
2020-10-30,80.3300,84.5218,77.2000,78.0600,12.0590,13323153,0.0000
2020-11-30,78.9300,88.1100,78.1801,87.5800,13.5297,13093018,0.0000
2020-12-31,88.5100,91.2133,87.8850,90.9900,14.1142,11095701,0.3646
2021-01-29,91.4100,94.6000,88.7800,90.6200,14.0568,13394733,0.0000
2021-02-26,91.5300,97.3499,90.9500,93.5000,14.5035,12090099,0.0000
2021-03-31,94.9400,97.8282,90.7500,96.7100,15.0460,13822754,0.2805
2021-04-30,97.2700,102.7200,97.1800,101.6200,15.8099,10265441,0.0000
2021-05-28,102.2300,102.4834,97.9300,102.0200,15.8721,10088510,0.0000
2021-06-30,102.6900,104.5200,101.1190,104.2700,16.2719,8206954,0.3160
2021-07-30,104.5000,107.0444,101.9700,106.1400,16.5638,10552327,0.0000
2021-08-31,106.6700,109.5250,105.0101,109.1500,17.0335,8595655,0.0000
2021-09-30,109.4400,109.8101,103.8200,103.8600,16.2592,11599427,0.3352
2021-10-29,104.3400,110.9600,103.1600,110.9000,17.3613,9734552,0.0000
2021-11-30,111.2400,113.9842,109.1400,109.3000,17.1108,9753395,0.0000
2021-12-31,110.5800,114.0999,107.2100,113.0100,17.7604,13594177,0.4357
2022-01-31,113.4300,114.1900,99.3000,106.1500,16.6823,21812761,0.0000
2022-02-28,106.4300,108.5290,96.8900,103.5600,16.2753,20756744,0.0000
2022-03-31,103.1800,104.4500,49.0000,53.3900,16.8276,30769742,0.1446
2022-04-29,53.5500,54.0680,48.4300,48.4900,15.2832,38079728,0.0000
2022-05-31,48.5300,50.5800,44.6950,48.4200,15.2611,73781323,0.0000
2022-06-30,48.6700,49.0500,42.6050,44.1900,13.9848,63424111,0.1790
2022-07-29,44.1000,48.4350,43.4750,48.3300,15.2949,39009154,0.0000
2022-08-31,48.0100,50.8500,46.4700,46.4700,14.7063,30678357,0.0000
2022-09-30,46.2100,48.4500,41.9600,41.9900,13.3445,69509618,0.1869
2022-10-31,42.4500,45.7555,40.9200,45.4000,14.4282,42715254,0.0000
2022-11-30,45.8600,47.7900,43.3295,47.7800,15.1845,33698044,0.0000
2022-12-30,47.9400,48.0900,43.8900,44.8100,14.3065,34091792,0.2117
2023-01-31,45.0500,48.0403,44.2600,47.8900,15.2898,19557738,0.0000
2023-02-28,47.8000,49.4200,46.4300,46.7900,14.9386,16927037,0.0000
2023-03-31,46.7100,48.0400,44.5700,47.8500,15.3363,27350418,0.1776
2023-04-28,47.8400,48.4810,46.9900,48.3600,15.4997,11602973,0.0000
2023-05-31,48.3300,49.1685,46.9200,48.6100,15.5799,15771752,0.0000
2023-06-30,48.6400,51.8900,48.4700,51.7000,16.6308,15670361,0.1855
2023-07-31,51.6800,53.7108,50.8682,53.5700,17.2324,11999184,0.0000
2023-08-31,53.3900,53.4771,50.4550,52.5400,16.9011,15948282,0.0000
2023-09-29,52.8500,52.9500,49.2150,49.8500,16.0955,14702834,0.1902
2023-10-31,49.7700,50.9700,47.4630,48.5000,15.6596,18652125,0.0000
2023-11-30,48.5600,53.2800,48.5000,53.0700,17.1352,17803546,0.0000
2023-12-29,52.9800,56.0000,52.7501,55.6700,18.0510,20293706,0.2243
2024-01-31,55.3000,57.3200,54.5100,56.2800,18.2488,20399681,0.0000
2024-02-29,56.5000,59.4300,56.3100,59.3100,19.2313,15228143,0.0000
2024-03-28,59.3700,61.1800,58.8800,61.0500,19.8565,16257038,0.1867
2024-04-30,61.1300,61.1350,57.4101,58.4000,18.9945,19255852,0.0000
2024-05-31,58.3200,61.9700,58.1400,61.1900,19.9020,18152067,0.0000
2024-06-28,61.4500,63.5200,60.6300,62.8700,20.5145,10764559,0.2033
2024-07-31,63.0800,65.5700,62.4400,64.0200,20.8897,14858631,0.0000
2024-08-30,64.1900,65.4100,59.0000,65.3600,21.3270,17272363,0.0000
2024-09-30,64.9900,66.5899,62.4350,66.5200,21.7734,14408654,0.2065
2024-10-31,66.4400,66.8700,22.0000,22.0100,21.6130,33545423,0.0000
2024-11-29,22.1200,23.5300,21.9900,23.4900,23.0663,50476441,0.0000
2024-12-31,23.5000,23.7299,22.5100,22.7000,22.3691,75783625,0.0830
2025-01-31,22.8200,23.7028,22.2872,23.3600,23.0195,79822831,0.0000
2025-02-28,22.9800,23.7655,22.4950,22.9200,22.5859,65075664,0.0000
2025-03-31,23.0300,23.0700,21.0500,21.5300,21.2789,122938940,0.0649
2025-04-30,21.4500,21.8700,18.5250,21.3500,21.1010,167872070,0.0000
2025-05-30,21.5700,22.9699,21.4300,22.7200,22.4550,87120277,0.0000
2025-06-30,22.6700,23.8700,22.5300,23.8300,23.6229,90578378,0.0703
2025-07-31,23.7700,24.6800,23.7300,24.3700,24.1582,94833239,0.0000
2025-08-29,24.1500,25.1100,23.8500,24.9400,24.7232,125657112,0.0000
2025-09-30,24.6300,25.8798,24.5500,25.7100,25.5607,121192391,0.0743
2025-10-31,25.5900,26.5684,25.1800,26.2800,26.1274,152295366,0.0000
2025-11-28,26.4000,26.4000,24.9850,26.3200,26.1672,194492355,0.0000
2025-12-31,26.1100,26.6300,25.7900,26.2300,26.1586,171209093,0.0821
2026-01-30,26.3700,26.9363,26.1700,26.6500,26.5775,159027658,0.0000
2026-02-27,26.5600,26.9299,26.0500,26.4900,26.4179,193622572,0.0000
2026-03-04,26.19,26.5999,25.82,26.45,26.45,39351972,0.0
2026-03-31,26.1900,26.5999,24.2800,25.1000,25.1000,294412354,0.0692
2026-04-17,25.2500,27.5300,24.9050,27.4300,27.4300,122036128,0.0000
