ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.2569
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.2782
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.2604
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.2602
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.2488
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.2645
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.7545
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.8241
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.611
2023-12-06,2023-03-10,2023-12-07,2023-12-11,0.7423
2023-09-20,2023-03-10,2023-09-21,2023-09-25,0.6545
2023-06-21,2023-03-10,2023-06-22,2023-06-26,0.6647
2023-03-22,2023-03-10,2023-03-23,2023-03-27,0.5965
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.7034
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.6367
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.7038
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.5176
2021-12-08,2021-02-02,2021-12-09,2021-12-13,0.6198
2021-09-22,2021-02-02,2021-09-23,2021-09-27,0.587
2021-06-23,2021-02-02,2021-06-24,2021-06-28,0.5396
2021-03-24,2021-02-02,2021-03-25,2021-03-29,0.5026
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.6015
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.543
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.442
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.4419
2019-12-12,,,,0.4658
2019-09-25,,,,0.4855
2019-06-26,,,,0.4209
2019-03-20,,,,0.352
2018-12-12,,,,0.405
2018-09-25,,,,0.3668
2018-06-26,,,,0.4056
2018-03-16,,,,0.2615
2017-12-18,,,,0.3448
2017-09-18,,,,0.3439
2017-06-19,,,,0.3312
2017-03-20,,,,0.3258
2016-12-19,,,,0.3987
2016-09-19,,,,0.2438
2016-06-20,,,,0.3174
2016-03-21,,,,0.2981
2015-12-21,,,,0.2715
2015-09-21,,,,0.2989
2015-06-22,,,,0.3063
2015-03-23,,,,0.2699
2014-12-22,,,,0.2754
2014-09-22,,,,0.2544
2014-06-23,,,,0.2693
2014-03-24,,,,0.2478
2013-12-23,,,,0.2489
2013-09-23,,,,0.2306
2013-06-24,,,,0.225
2013-03-18,,,,0.1993
2012-12-24,,,,0.2581
2012-09-17,,,,0.2078
2012-06-18,,,,0.2062
2012-03-19,,,,0.1379
2011-12-19,,,,0.1217
