date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-11-30,25.2000,26.0300,24.2500,25.9200,5.4572,4940900,0.0000
2011-12-30,26.0200,26.6000,25.1300,26.1800,5.5385,3708700,0.1217
2012-01-31,26.5700,27.1000,26.1400,26.6100,5.6295,5696300,0.0000
2012-02-29,26.7700,27.5500,26.7400,27.3700,5.7903,3797000,0.0000
2012-03-30,27.4500,27.9700,26.9700,27.8900,5.9296,3214700,0.1379
2012-04-30,27.8900,28.2500,27.0500,27.8600,5.9232,2336000,0.0000
2012-05-31,27.8600,28.0900,26.5000,26.8000,5.6978,2328100,0.0000
2012-06-29,26.4600,27.7600,26.1300,27.7600,5.9463,2534500,0.2062
2012-07-31,27.8100,28.6380,27.3120,28.4400,6.0920,2550100,0.0000
2012-08-31,28.5600,28.9200,27.9380,28.6100,6.1284,4342500,0.0000
2012-09-28,28.6100,29.3200,28.3900,28.7500,6.2026,2747000,0.2078
2012-10-31,28.8300,29.2700,28.2900,28.4800,6.1444,3367400,0.0000
2012-11-30,28.5400,28.8400,27.2920,28.6140,6.1733,5295700,0.0000
2012-12-31,28.7100,29.1200,27.9000,28.3400,6.1696,3399100,0.2581
2013-01-31,28.8700,30.2100,28.7300,29.9100,6.5114,8643700,0.0000
2013-02-28,30.0500,30.7600,29.9000,30.5400,6.6485,4400400,0.0000
2013-03-28,30.4600,31.8200,30.4000,31.7900,6.9651,6840800,0.1993
2013-04-30,31.7600,32.7500,31.3300,32.7400,7.1732,6477000,0.0000
2013-05-31,32.7400,34.3900,32.4800,33.2000,7.2740,7270200,0.0000
2013-06-28,33.2800,33.8300,31.9200,32.7000,7.2145,7125200,0.2250
2013-07-31,32.8900,34.3900,32.6400,34.2020,7.5459,5764400,0.0000
2013-08-30,34.4200,34.5200,32.8900,32.9900,7.2785,4495000,0.0000
2013-09-30,33.1900,34.9500,32.9000,33.6500,7.4742,5017100,0.2306
2013-10-31,33.6200,35.6100,33.0550,35.3300,7.8473,6860600,0.0000
2013-11-29,35.4100,36.4500,35.2300,36.2300,8.0472,9868300,0.0000
2013-12-31,36.2700,36.6900,35.4200,36.6600,8.1988,6274000,0.2489
2014-01-31,36.5400,36.5700,34.7100,35.0300,7.8343,8800200,0.0000
2014-02-28,35.0200,36.5400,33.9800,36.3900,8.1384,6763000,0.0000
2014-03-31,36.0400,36.9200,35.9500,36.8500,8.2976,5958600,0.2478
2014-04-30,36.9000,37.5599,36.2300,37.5200,8.4485,6643500,0.0000
2014-05-30,37.5300,38.0300,37.1400,38.0160,8.5602,6496100,0.0000
2014-06-30,38.0600,38.8800,37.8400,38.2700,8.6776,5987100,0.2693
2014-07-31,38.3300,39.0000,37.6090,37.6100,8.5280,4932300,0.0000
2014-08-29,37.4900,38.9000,37.1810,38.9000,8.8205,5324900,0.0000
2014-09-30,38.9600,39.4890,38.3900,38.5600,8.8005,6662128,0.2544
2014-10-31,38.4700,39.3550,35.9310,39.3200,8.9739,12571036,0.0000
2014-11-28,39.3600,40.7100,39.1300,40.4900,9.2410,6931513,0.0000
2014-12-31,40.3500,40.6500,38.6400,39.8500,9.1570,12570923,0.2754
2015-01-30,39.9300,40.4500,38.5490,38.6100,8.8721,22811624,0.0000
2015-02-27,38.7100,40.7890,38.3800,40.6300,9.3363,16239223,0.0000
2015-03-31,40.6000,40.8300,38.8700,39.4100,9.1171,18948983,0.2699
2015-04-30,39.3900,40.2390,39.0300,39.7100,9.1865,15455662,0.0000
2015-05-29,39.9200,40.4850,39.3800,39.9100,9.2328,6560479,0.0000
2015-06-30,40.0200,40.0400,38.2000,38.2900,8.9266,8613388,0.3063
2015-07-31,38.5900,39.3210,37.7510,38.5600,8.9896,9422926,0.0000
2015-08-31,38.5500,38.7900,31.7500,36.5100,8.5117,13792507,0.0000
