date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,32.56,32.895,32.39,32.78,31.8926170094132,3100234,0.0,1.0
2025-11-24,32.84,33.095,32.835,33.08,32.1844957495848,1438217,0.0,1.0
2025-11-25,33.11,33.225,32.9,33.22,32.3207058283315,1674213,0.0,1.0
2025-11-26,33.32,33.44,33.25,33.39,32.4861037810954,1599729,0.0,1.0
2025-11-28,33.42,33.52,33.375,33.52,32.6125845685031,722220,0.0,1.0
2025-12-01,33.4,33.5655,33.3801,33.49,32.5833966944859,1701759,0.0,1.0
2025-12-02,33.42,33.426,33.245,33.4,32.4958330724345,2546652,0.0,1.0
2025-12-03,33.27,33.37,33.21,33.36,32.4569159070783,1254001,0.0,1.0
2025-12-04,33.48,33.48,33.3366,33.43,32.5250209464516,1514640,0.0,1.0
2025-12-05,33.68,33.7882,33.4726,33.51,32.602855277164,2582353,0.0,1.0
2025-12-08,33.54,33.54,33.31,33.42,32.5152916551126,2307623,0.0,1.0
2025-12-09,33.23,33.35,33.2001,33.34,32.4374573244002,2201752,0.0,1.0
2025-12-10,33.42,33.6777,33.345,33.62,32.7098774818936,2161088,0.0000,1.0
2025-12-11,32.52,32.63,32.385,32.63,32.63,2928763,0.9079,1.0
2025-12-12,32.66,32.6604,32.19,32.26,32.26,1383412,0.0000,1.0
2025-12-15,32.43,32.455,32.2,32.22,32.22,2493322,0.0000,1.0
2025-12-16,32.04,32.09,31.875,32.0,32.0,4027714,0.0000,1.0
2025-12-17,32.11,32.19,31.76,31.76,31.76,3754489,0.0000,1.0
2025-12-18,32.12,32.2668,32.0656,32.11,32.11,2425513,0.0000,1.0
2025-12-19,32.33,32.525,32.33,32.41,32.41,1531272,0.0000,1.0
2025-12-22,32.58,32.59,32.495,32.56,32.56,1473277,0.0000,1.0
2025-12-23,32.54,32.729,32.505,32.72,32.72,1164955,0.0000,1.0
2025-12-24,32.72,32.72,32.6599,32.68,32.68,697812,0.0000,1.0
2025-12-26,32.76,32.91,32.7477,32.91,32.91,1612770,0.0000,1.0
2025-12-29,32.63,32.66,32.53,32.65,32.65,1729309,0.0000,1.0
2025-12-30,32.77,32.83,32.7406,32.77,32.77,1647287,0.0000,1.0
2025-12-31,32.82,32.845,32.7194,32.75,32.75,1365744,0.0000,1.0
2026-01-02,33.31,33.515,33.31,33.51,33.51,1121634,0.0000,1.0
2026-01-05,33.57,33.76,33.49,33.76,33.76,1386377,0.0000,1.0
2026-01-06,33.94,34.0875,33.923,33.94,33.94,1529528,0.0000,1.0
2026-01-07,33.85,33.85,33.6855,33.69,33.69,1660919,0.0000,1.0
2026-01-08,33.6,33.745,33.5789,33.73,33.73,1092424,0.0000,1.0
2026-01-09,33.78,33.7999,33.59,33.78,33.78,1584195,0.0000,1.0
2026-01-12,33.94,34.36,33.94,34.36,34.36,1671463,0.0000,1.0
2026-01-13,34.23,34.2703,34.0522,34.14,34.14,1839719,0.0000,1.0
2026-01-14,34.1,34.21,34.04,34.21,34.21,1641074,0.0000,1.0
2026-01-15,34.35,34.495,34.23,34.36,34.36,1538508,0.0000,1.0
2026-01-16,34.2,34.25,34.005,34.14,34.14,1376754,0.0000,1.0
2026-01-20,33.93,34.09,33.8084,33.87,33.87,1718363,0.0000,1.0
2026-01-21,34.15,34.305,34.01,34.22,34.22,4049236,0.0000,1.0
2026-01-22,34.44,34.62,34.39,34.46,34.46,2944610,0.0000,1.0
2026-01-23,34.39,34.63,34.325,34.62,34.62,1984882,0.0000,1.0
2026-01-26,34.62,34.779,34.605,34.69,34.69,1337378,0.0000,1.0
2026-01-27,34.98,35.165,34.93,35.15,35.15,1243316,0.0000,1.0
2026-01-28,35.35,35.3599,35.11,35.28,35.28,1021706,0.0000,1.0
2026-01-29,35.47,35.47,34.675,35.16,35.16,2419737,0.0000,1.0
2026-01-30,34.81,34.845,34.24,34.39,34.39,4037062,0.0000,1.0
2026-02-02,34.25,34.68,34.18,34.59,34.59,2819485,0.0000,1.0
2026-02-03,34.72,34.765,34.315,34.61,34.61,5042743,0.0000,1.0
2026-02-04,34.73,34.76,34.1736,34.34,34.34,4262236,0.0000,1.0
2026-02-05,34.24,34.435,34.05,34.16,34.16,1903273,0.0000,1.0
2026-02-06,34.59,34.95,34.59,34.95,34.95,2563521,0.0000,1.0
2026-02-09,34.94,35.2799,34.9077,35.22,35.22,2637240,0.0000,1.0
2026-02-10,35.37,35.469,35.27,35.37,35.37,2927629,0.0000,1.0
