ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-11,2025-02-18,2025-12-11,2025-12-16,0.9079
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.0352
2024-12-13,2024-02-19,2024-12-13,2024-12-18,0.7737
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.0343
2023-12-06,2023-03-10,2023-12-07,2023-12-11,0.8224
2023-06-21,2023-03-10,2023-06-22,2023-06-26,0.1273
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.6052
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.0754
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0121
2021-12-08,2021-02-24,2021-12-09,2021-12-13,0.6319
2021-06-23,2021-02-24,2021-06-24,2021-06-28,0.2021
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.5342
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.1075
2019-12-12,,,,0.7335
2019-06-26,,,,0.1606
2018-12-12,,,,0.621
2017-12-18,,,,0.6463
2016-12-19,,,,0.4884
2015-12-21,,,,0.4876
2014-12-22,,,,0.6838
2013-12-23,,,,0.6292
2012-12-24,,,,0.557
2011-12-19,,,,1.1352
2010-12-29,,,,0.0142
2010-12-20,,,,0.2182
