ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-11,2025-02-18,2025-12-11,2025-12-16,0.678
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.1436
2024-12-13,2024-02-19,2024-12-13,2024-12-18,0.4217
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.3625
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.7038
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.3926
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.6274
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.276
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0468
2021-12-08,2021-02-24,2021-12-09,2021-12-13,0.853
2021-06-23,2021-02-24,2021-06-24,2021-06-28,0.3407
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.5097
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.2385
2019-12-12,,,,0.734
2019-06-26,,,,0.2574
2018-12-12,,,,0.868
2017-12-18,,,,0.8008
2016-12-19,,,,0.7131
2015-12-21,,,,0.6222
2014-12-22,,,,0.8389
2013-12-23,,,,0.697
2012-12-24,,,,0.7238
2011-12-19,,,,0.7506
2010-12-20,,,,0.4748
2009-12-23,,,,0.04
