ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.0363
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.0318
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.0297
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.0281
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0272
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.0316
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.11
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.1066
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.0971
2023-12-28,2023-12-27,2023-12-29,2024-01-03,0.0245
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.1037
2023-09-20,2023-03-15,2023-09-21,2023-09-25,0.0836
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.0892
2023-03-22,2023-03-15,2023-03-23,2023-03-27,0.0845
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.0864
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.0786
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.0767
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.0638
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0405
2021-12-08,2021-02-24,2021-12-09,2021-12-13,0.2288
2021-09-22,2021-02-24,2021-09-23,2021-09-27,0.1462
2021-06-23,2021-02-24,2021-06-24,2021-06-28,0.1444
2021-03-24,2021-02-24,2021-03-25,2021-03-29,0.1335
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.1689
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.1736
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.1617
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.1668
2019-12-12,,,,0.1956
2019-09-25,,,,0.209
2019-06-26,,,,0.2015
2019-03-20,,,,0.1565
2018-12-28,,,,0.1807
2018-12-12,,,,0.218
2018-09-25,,,,0.1608
2018-06-26,,,,0.1687
2018-03-16,,,,0.1499
2017-12-18,,,,0.181
2017-09-18,,,,0.2153
2017-06-19,,,,0.1831
2017-03-20,,,,0.136
2016-12-19,,,,0.2068
2016-09-19,,,,0.0934
2016-06-20,,,,0.1511
2016-03-21,,,,0.129
2015-12-21,,,,0.1515
2015-09-21,,,,0.1407
2015-06-22,,,,0.2225
2015-03-23,,,,0.1294
2014-12-22,,,,0.1377
2014-09-22,,,,0.1416
2014-06-23,,,,0.1515
2014-03-24,,,,0.134
2013-12-23,,,,0.1224
2013-09-23,,,,0.1456
2013-06-24,,,,0.1322
2013-03-18,,,,0.0858
2012-12-24,,,,0.2087
2012-09-17,,,,0.0975
2012-06-18,,,,0.0865
2012-03-19,,,,0.0755
2011-12-19,,,,0.1049
2011-09-19,,,,0.078
2011-06-20,,,,0.071
2011-03-21,,,,0.0508
2010-12-29,,,,0.0057
2010-12-20,,,,0.0585
2010-09-20,,,,0.05
2010-06-21,,,,0.05
2010-03-22,,,,0.05
2009-12-23,,,,0.01
