date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,20.98,21.28,20.925,21.21,20.8737309040796,17395089,0.0,1.0
2025-11-24,21.21,21.26,21.065,21.23,20.893413818652,8245563,0.0,1.0
2025-11-25,21.27,21.5,21.27,21.39,21.0508771352316,8265228,0.0,1.0
2025-11-26,21.33,21.62,21.33,21.5,21.15913316538,6371299,0.0,1.0
2025-11-28,21.49,21.65,21.4735,21.57,21.2280233663836,4183183,0.0,1.0
2025-12-01,21.4,21.465,21.33,21.34,21.0016698488005,7071232,0.0,1.0
2025-12-02,21.4,21.42,21.2,21.28,20.9426211050831,8792667,0.0,1.0
2025-12-03,21.26,21.37,21.204,21.3,20.9623040196556,10518069,0.0,1.0
2025-12-04,21.245,21.395,21.215,21.25,20.9130967332245,12520349,0.0,1.0
2025-12-05,21.22,21.32,21.185,21.22,20.8835723613658,11417740,0.0,1.0
2025-12-08,21.22,21.23,21.08,21.09,20.7556334166449,12022483,0.0,1.0
2025-12-09,21.15,21.28,20.96,20.97,20.6375359292102,13906511,0.0,1.0
2025-12-10,20.83,20.975,20.79,20.85,20.7381156226754,11760714,0.2222,1.0
2025-12-11,20.88,21.0,20.83,20.9,20.7878473148161,14131787,0.0000,1.0
2025-12-12,20.97,21.07,20.835,20.89,20.777900976388,14270039,0.0000,1.0
2025-12-15,21.0,21.04,20.875,21.02,20.9072033759538,13152198,0.0000,1.0
2025-12-16,21.02,21.075,20.8,20.84,20.7281692842473,13858864,0.0000,1.0
2025-12-17,20.83,21.0098,20.82,20.92,20.8077399916724,17027534,0.0000,1.0
2025-12-18,21.01,21.06,20.79,20.8,20.6883839305347,13980081,0.0000,1.0
2025-12-19,20.755,20.855,20.7,20.7,20.5889205462533,10674543,0.0000,1.0
2025-12-22,20.685,20.835,20.63,20.81,20.6983302689628,9896915,0.0000,1.0
2025-12-23,20.82,20.82,20.71,20.78,20.6684912536784,6115672,0.0000,1.0
2025-12-24,20.81,20.96,20.79,20.93,20.8176863301005,4095654,0.0000,1.0
2025-12-26,20.89,20.96,20.85,20.96,20.847525345385,7846621,0.0000,1.0
2025-12-29,21.02,21.0586,20.94,21.01,20.8972570375257,8197651,0.0000,1.0
2025-12-30,21.02,21.06,20.9701,21.04,20.9270960528101,8330287,0.0000,1.0
2025-12-31,21.06,21.06,20.87,20.89,20.777900976388,11047404,0.0000,1.0
2026-01-02,20.87,20.985,20.72,20.91,20.7977936532443,9188441,0.0000,1.0
2026-01-05,20.85,21.0,20.715,20.9,20.7878473148161,12228394,0.0000,1.0
2026-01-06,20.825,21.1,20.815,21.04,20.9270960528101,11079250,0.0000,1.0
2026-01-07,21.15,21.19,20.865,20.88,20.7679546379598,10202481,0.0000,1.0
2026-01-08,20.78,21.1351,20.77,21.06,20.9469887296664,9920486,0.0000,1.0
2026-01-09,21.04,21.2199,21.04,21.13,21.0166130986634,8873424,0.0000,1.0
2026-01-12,21.14,21.2665,21.1,21.15,21.0365057755197,9148523,0.0000,1.0
2026-01-13,21.15,21.3,20.98,21.26,21.1459154982292,7483573,0.0000,1.0
2026-01-14,21.28,21.48,21.28,21.47,21.3547886052202,8005826,0.0000,1.0
2026-01-15,21.57,21.7079,21.505,21.59,21.4741446663579,8113918,0.0000,1.0
2026-01-16,21.53,21.89,21.51,21.86,21.7426958039177,7496866,0.0000,1.0
2026-01-20,21.7,21.745,21.474,21.5,21.3846276205046,9667103,0.0000,1.0
2026-01-21,21.62,21.665,21.37,21.54,21.4244129742172,12921220,0.0000,1.0
2026-01-22,21.55,21.6,21.26,21.28,21.1658081750855,9306980,0.0000,1.0
2026-01-23,21.27,21.369,21.1687,21.33,21.2155398672262,7337760,0.0000,1.0
2026-01-26,21.4,21.45,21.25,21.28,21.1658081750855,6907191,0.0000,1.0
2026-01-27,21.27,21.32,21.17,21.29,21.1757545135136,5839494,0.0000,1.0
2026-01-28,21.27,21.35,21.0,21.06,20.9469887296664,11993557,0.0000,1.0
2026-01-29,21.18,21.415,21.0599,21.38,21.2652715593669,14793302,0.0000,1.0
2026-01-30,21.35,21.45,21.17,21.41,21.2951105746513,15750391,0.0000,1.0
2026-02-02,21.45,21.52,21.22,21.23,21.1160764829448,8374175,0.0000,1.0
2026-02-03,21.2,21.3399,21.115,21.3,21.1857008519418,13831644,0.0000,1.0
2026-02-04,21.41,21.75,21.38,21.64,21.5238763584986,8477694,0.0000,1.0
2026-02-05,21.59,21.72,21.4597,21.64,21.5238763584986,10948807,0.0000,1.0
2026-02-06,21.8,21.995,21.74,21.97,21.8521055266273,7468848,0.0000,1.0
2026-02-09,21.92,22.055,21.815,22.03,21.9117835571961,7057939,0.0000,1.0
2026-02-10,22.05,22.405,22.05,22.35,22.2300663868967,8450009,0.0000,1.0
2026-02-11,22.42,22.5575,22.345,22.46,22.3394761096062,11024325,0.0000,1.0
2026-02-12,22.68,22.93,22.5,22.5,22.3792614633188,13264932,0.0000,1.0
2026-02-13,22.53,22.89,22.53,22.81,22.6875979545912,9750087,0.0000,1.0
2026-02-17,22.93,23.07,22.78,23.06,22.9362564152947,7016722,0.0000,1.0
2026-02-18,22.97,23.0,22.61,22.67,22.5483492165972,7325284,0.0000,1.0
2026-02-19,22.67,22.785,22.5301,22.64,22.5185102013128,5143146,0.0000,1.0
2026-02-20,22.66,22.82,22.605,22.82,22.6975442930193,5937624,0.0000,1.0
2026-02-23,22.8,23.02,22.7766,22.88,22.7572223235882,5179558,0.0000,1.0
2026-02-24,22.84,22.925,22.75,22.91,22.7870613388726,5516899,0.0000,1.0
2026-02-25,22.9,22.96,22.74,22.85,22.7273833083037,6232928,0.0000,1.0
2026-02-26,22.93,23.02,22.85,22.98,22.8566857078696,6139218,0.0000,1.0
2026-02-27,22.93,23.2099,22.91,23.03,22.9064174000103,11130937,0.0000,1.0
2026-03-02,22.93,23.1899,22.825,23.13,23.0058807842917,11199754,0.0000,1.0
2026-03-03,22.755,23.06,22.58,22.99,22.8666320462977,10974474,0.0000,1.0
2026-03-04,22.92,23.035,22.74,23.03,22.9064174000103,7703079,0.0000,1.0
2026-03-05,22.82,22.82,22.5901,22.79,22.6677052777349,9249612,0.0000,1.0
2026-03-06,22.65,22.65,22.4239,22.56,22.4389394938876,9546489,0.0000,1.0
2026-03-09,22.35,22.6601,22.075,22.59,22.4687785091721,10032307,0.0000,1.0
2026-03-10,22.54,22.8001,22.445,22.6,22.4787248476002,7713809,0.0000,1.0
2026-03-11,22.5,22.5134,22.2902,22.37,22.2499590637529,6952743,0.0000,1.0
2026-03-12,22.2,22.385,22.135,22.22,22.1007639873308,8023727,0.0000,1.0
2026-03-13,22.45,22.535,22.21,22.24,22.1206566641871,9206365,0.0000,1.0
2026-03-16,22.42,22.6,22.396,22.43,22.3096370943218,13762921,0.0000,1.0
2026-03-17,22.59,22.6799,22.485,22.49,22.3693151248906,14055707,0.0000,1.0
2026-03-18,22.44,22.445,22.15,22.15,22.0311396183338,16849662,0.0000,1.0
2026-03-19,22.1,22.205,21.96,22.08,21.9615152493368,16302410,0.0000,1.0
2026-03-20,22.07,22.1,21.27,21.35,21.2354325440825,21748944,0.0000,1.0
