ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.1147
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.2222
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.1555
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.1588
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0985
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.2421
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.1397
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.1899
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.1074
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.2245
2023-09-20,2023-03-15,2023-09-21,2023-09-25,0.1409
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.1861
2023-03-22,2023-03-15,2023-03-23,2023-03-27,0.1198
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.1681
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.1467
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.1424
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.0344
2021-12-08,2021-02-24,2021-12-09,2021-12-13,0.336
2021-09-22,2021-02-24,2021-09-23,2021-09-27,0.2267
2021-06-23,2021-02-24,2021-06-24,2021-06-28,0.2028
2021-03-24,2021-02-24,2021-03-25,2021-03-29,0.025
2020-12-30,2020-12-29,2020-12-31,2021-01-05,0.1185
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.3732
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.2463
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.2315
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.117
2019-12-12,,,,0.5566
2019-09-25,,,,0.3086
2019-06-26,,,,0.3304
2019-03-20,,,,0.1207
2018-12-12,,,,0.499
2018-09-25,,,,0.3279
2018-06-26,,,,0.3059
2018-03-16,,,,0.268
2017-12-18,,,,0.3295
2017-09-18,,,,0.2378
2017-06-19,,,,0.2457
2017-03-20,,,,0.111
2016-12-19,,,,0.4957
2016-09-19,,,,0.2332
2016-06-20,,,,0.2287
2016-03-21,,,,0.1936
2015-12-29,,,,0.0127
2015-12-21,,,,0.3511
2015-09-21,,,,0.223
2015-06-22,,,,0.2032
2015-03-23,,,,0.193
2014-12-22,,,,0.2701
2014-09-22,,,,0.2068
2014-06-23,,,,0.1611
2014-03-24,,,,0.2124
2013-12-23,,,,0.2953
2013-09-23,,,,0.1493
2013-06-24,,,,0.1636
2013-03-18,,,,0.1741
2012-12-24,,,,0.2622
2012-09-17,,,,0.1175
2012-06-18,,,,0.1998
2012-03-19,,,,0.188
2011-12-19,,,,0.06
2011-09-19,,,,0.1954
2011-06-20,,,,0.2127
2011-03-21,,,,0.139
