date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-02-28,26.3700,27.3100,25.9200,27.3000,9.0576,2705700,0.0000
2011-03-31,27.4100,27.4100,25.4300,26.7500,8.9222,1991700,0.1390
2011-04-29,26.9400,28.5600,26.1600,28.3300,9.4492,1578300,0.0000
2011-05-31,28.4600,28.7600,27.4000,28.7600,9.5926,1540300,0.0000
2011-06-30,28.7000,28.7000,26.5500,27.5800,9.2706,1624900,0.2127
2011-07-29,27.6600,29.1000,27.6000,28.0600,9.4319,1642200,0.0000
2011-08-31,28.3700,28.4400,22.4200,26.4900,8.9042,2660800,0.0000
2011-09-30,26.5200,26.6000,23.2100,23.4000,7.9257,1455200,0.1954
2011-10-31,23.1700,27.2260,21.6600,26.8390,9.0905,3928000,0.0000
2011-11-30,26.0200,26.9400,23.9500,25.7600,8.7250,2610100,0.0000
2011-12-30,25.6900,27.3200,25.0100,26.9200,9.1392,1511100,0.0600
2012-01-31,27.5000,28.8990,26.4800,28.6400,9.7232,3328800,0.0000
2012-02-29,28.8600,29.4500,28.2000,28.3320,9.6186,2404200,0.0000
2012-03-30,28.3700,29.6500,28.1700,29.6100,10.1168,2904000,0.1880
2012-04-30,29.6500,30.5900,28.2910,30.4840,10.4154,2108700,0.0000
2012-05-31,30.5000,31.0400,28.3200,29.0700,9.9323,2291800,0.0000
2012-06-29,28.5000,30.4900,27.9200,30.4480,10.4731,2397500,0.1998
2012-07-31,30.7800,31.5100,30.1400,31.0800,10.6905,1735700,0.0000
2012-08-31,31.2200,31.4400,30.3500,30.9880,10.6589,2477000,0.0000
2012-09-28,31.0000,32.1300,30.0700,30.2100,10.4298,1915800,0.1175
2012-10-31,30.3900,30.8600,29.4700,29.9700,10.3469,3048400,0.0000
2012-11-30,30.0100,30.5200,28.6900,29.8000,10.2883,2157100,0.0000
2012-12-31,29.9700,30.9300,29.8000,30.6382,10.6682,2093200,0.2622
2013-01-31,31.3100,32.2500,30.8580,31.6800,11.0309,4309800,0.0000
2013-02-28,31.8200,32.5100,31.5600,31.9800,11.1354,2550500,0.0000
2013-03-28,31.9200,32.7100,31.7300,32.6440,11.4280,2421100,0.1741
2013-04-30,32.6600,34.8500,32.4740,34.8500,12.2002,3603000,0.0000
2013-05-31,34.9200,36.4400,32.7700,32.8000,11.4826,4222800,0.0000
2013-06-28,32.8400,33.1390,29.9300,32.0800,11.2907,3864700,0.1636
2013-07-31,32.1600,33.9600,31.4410,32.3100,11.3716,2778100,0.0000
2013-08-30,32.5200,32.5200,29.4500,30.0000,10.5586,3078800,0.0000
2013-09-30,30.2600,32.6600,29.5160,30.9000,10.9272,2231700,0.1493
2013-10-31,30.9900,33.1900,30.5200,32.1700,11.3763,2550200,0.0000
2013-11-29,32.1500,32.5200,30.3690,30.4200,10.7574,2162300,0.0000
2013-12-31,30.4300,33.6400,29.7700,30.2500,10.8018,2696300,0.2953
